"TRANSF", "SWEEP", "off(A)"
          0,  0, 7.83299961646861647E+001
          1,  1, 7.82905795138615588E+001
         64,  1, 7.72267341403389480E+001
        128,  1, 7.61906629388501528E+001
        192,  1, 7.51327255598981623E+001
        256,  1, 7.46044804562865096E+001
        320,  1, 7.41313872474695756E+001
        384,  1, 7.37104593338089984E+001
        448,  1, 7.34749451193248859E+001
        512,  1, 7.30693030546064506E+001
        576,  1, 7.29329077942214212E+001
        640,  1, 7.28141788090177471E+001
        704,  1, 7.26930874911172253E+001
        768,  1, 7.25948348824529717E+001
        832,  1, 7.24146702418887429E+001
        896,  1, 7.23292952339639044E+001
        960,  1, 7.22585812224387496E+001
       1024,  1, 7.21803364685688535E+001
       1088,  1, 7.21467952790823119E+001
       1152,  1, 7.21069082828578303E+001
       1216,  1, 7.20826633236206789E+001
       1280,  1, 7.20646591965446106E+001
       1344,  1, 7.20499721957882144E+001
       1408,  1, 7.20375061975903463E+001
       1472,  1, 7.20245805238437384E+001
       1536,  1, 7.20150140935100751E+001
       1600,  1, 7.20095061293310863E+001
       1664,  1, 7.20056262189271479E+001
       1728,  1, 7.19997008195560397E+001
       1792,  1, 7.19981624974537766E+001
       1856,  1, 7.19959671141725153E+001
       1920,  1, 7.19944266878717656E+001
       1984,  1, 7.19927079766778064E+001
       2048,  1, 6.62428273860131327E+001
       2112,  1, 6.02641260820693816E+001
       2176,  1, 5.38146638107745758E+001
       2240,  1, 4.98927294813701607E+001
       2304,  1, 4.59023909209259386E+001
       2368,  1, 4.32516737981006898E+001
       2432,  1, 3.98366570492377363E+001
       2496,  1, 3.71441979894279939E+001
       2560,  1, 3.39874907886778601E+001
       2624,  1, 3.20682208725919509E+001
       2688,  1, 3.01609652968249975E+001
       2752,  1, 2.91379340234988398E+001
       2816,  1, 2.71382363631152295E+001
       2880,  1, 2.54125957977769232E+001
       2944,  1, 2.34664302102030291E+001
       3008,  1, 2.19340214687068453E+001
       3072,  1, 2.05589990885242138E+001
       3136,  1, 1.89695591826817704E+001
       3200,  1, 1.76287851400996907E+001
       3264,  1, 1.67184788283251038E+001
       3328,  1, 1.57806152269333904E+001
       3392,  1, 1.48087476521097745E+001
       3456,  1, 1.42016189017142267E+001
       3520,  1, 1.36500842138364042E+001
       3584,  1, 1.29896354698271139E+001
       3648,  1, 1.26082005682241540E+001
       3712,  1, 1.20768558553452650E+001
       3776,  1, 1.16065075726386855E+001
       3840,  1, 1.10582566179219626E+001
       3904,  1, 1.06020503867489211E+001
       3968,  1, 1.02142088338873656E+001
       4032,  1, 9.78136416222632477E+000
       4096,  1, 9.54133018884834883E+000
       4160,  1, 9.28402965318482742E+000
       4224,  1, 9.06477415949730236E+000
       4288,  1, 8.87270172433574444E+000
       4352,  1, 8.70091547452090808E+000
       4416,  1, 8.47478717266148429E+000
       4480,  1, 8.25593050355180935E+000
       4544,  1, 8.11778272829635839E+000
       4608,  1, 7.99707726026263810E+000
       4672,  1, 7.87756812733445866E+000
       4736,  1, 7.76974896313855101E+000
       4800,  1, 7.62677937403691253E+000
       4864,  1, 7.51866910279161260E+000
       4928,  1, 7.45751048555439588E+000
       4992,  1, 7.38715650405669599E+000
       5056,  1, 7.29728436144043968E+000
       5120,  1, 7.23039470343550494E+000
       5184,  1, 7.15571278806728017E+000
       5248,  1, 7.10311699749373293E+000
       5312,  1, 7.05667974198624570E+000
       5376,  1, 7.02047756298971226E+000
       5440,  1, 6.94792724458919864E+000
       5504,  1, 6.90595185079772378E+000
       5568,  1, 6.88250382857088017E+000
       5632,  1, 6.85799422793200986E+000
       5696,  1, 6.83620998934046487E+000
       5760,  1, 6.81218580173278365E+000
       5824,  1, 6.79746506715334942E+000
       5888,  1, 6.78746379206949513E+000
       5952,  1, 6.78101057642450034E+000
       6016,  1, 6.77604797151871452E+000
       6080,  1, 6.77344471370450485E+000
       6144,  1, 6.69827249527525392E+000
       6208,  1, 6.66195424693381177E+000
       6272,  1, 6.63097752304808541E+000
       6336,  1, 6.59131630685317393E+000
       6400,  1, 6.56956065226324437E+000
       6464,  1, 6.54581716535807434E+000
       6528,  1, 6.53618530455696423E+000
       6592,  1, 6.51479504945969712E+000
       6656,  1, 6.48632677880913189E+000
       6720,  1, 6.47303152379325120E+000
       6784,  1, 6.45996180651539387E+000
       6848,  1, 6.44876843626194685E+000
       6912,  1, 6.43448580602128928E+000
       6976,  1, 6.41998292987628272E+000
       7040,  1, 6.40880267356005806E+000
       7104,  1, 6.39653607708050398E+000
       7168,  1, 6.38492979135421646E+000
       7232,  1, 6.37465370255560515E+000
       7296,  1, 6.36726671424122337E+000
       7360,  1, 6.35790079016393328E+000
       7424,  1, 6.34665539168267578E+000
       7488,  1, 6.33875538210338174E+000
       7552,  1, 6.33190059126908178E+000
       7616,  1, 6.32287324860068267E+000
       7680,  1, 6.31435559252601042E+000
       7744,  1, 6.30614728823322856E+000
       7808,  1, 6.29854443312073897E+000
       7872,  1, 6.29122617268066353E+000
       7936,  1, 6.28402130344496612E+000
       8000,  1, 6.27920323335366692E+000
       8064,  1, 6.27383125268496045E+000
       8128,  1, 6.27033123480883070E+000
       8129,  2, 6.26673589368916151E+000
       8192,  2, 6.24372038788411565E+000
       8256,  2, 6.22489758887074451E+000
       8320,  2, 6.21170871519362322E+000
       8384,  2, 6.19422093187682954E+000
       8448,  2, 6.18242872954495848E+000
       8512,  2, 6.16710096619550363E+000
       8576,  2, 6.16121798918054253E+000
       8640,  2, 6.14996075276401122E+000
       8704,  2, 6.13964604794389324E+000
       8768,  2, 6.12876298523422403E+000
       8832,  2, 6.11793474039070784E+000
       8896,  2, 6.10906630242306381E+000
       8960,  2, 6.09625422001335160E+000
       9024,  2, 6.08838724185191271E+000
       9088,  2, 6.07773882320701553E+000
       9152,  2, 6.06905136847197735E+000
       9216,  2, 6.05787948756515249E+000
       9280,  2, 6.05144133253679239E+000
       9344,  2, 6.04336529145755286E+000
       9408,  2, 6.03487409813136200E+000
       9472,  2, 6.02490298683107994E+000
       9536,  2, 6.01657474803231285E+000
       9600,  2, 6.01056176297936773E+000
       9664,  2, 6.00383944723553320E+000
       9728,  2, 5.99731038245920889E+000
       9792,  2, 5.99034384263628983E+000
       9856,  2, 5.98716872070314565E+000
       9920,  2, 5.98295815262675923E+000
       9984,  2, 5.97749413548363950E+000
      10048,  2, 5.97382676853883243E+000
      10112,  2, 5.97202859484180326E+000
      10176,  2, 5.38445345312021484E+000
      10240,  2, 4.94392578572279806E+000
      10304,  2, 4.66768084843515307E+000
      10368,  2, 4.37001066242178471E+000
      10432,  2, 4.09794962382239536E+000
      10496,  2, 3.86109355337788429E+000
      10560,  2, 3.71027233532072431E+000
      10624,  2, 3.55295262027561565E+000
      10688,  2, 3.43595034778823960E+000
      10752,  2, 3.28591565005417996E+000
      10816,  2, 3.16335443552215434E+000
      10880,  2, 3.07755260258326846E+000
      10944,  2, 2.99881532968470799E+000
      11008,  2, 2.92577676963441213E+000
      11072,  2, 2.86500363661102853E+000
      11136,  2, 2.81837730060530811E+000
      11200,  2, 2.77366995529508076E+000
