"RUN", "THge08", "N", "REDET_ε", "RECH_ε", "RESHR_ε", "RESHI_ε"
 1,   -8516104, 1073741824, 1.104580092E+01, 2.099662564E+01, 3.236622098E+01, 3.152685575E+01
 2,   -8511399, 1073741824, 1.187201577E+01, 2.078201634E+01, 3.185238931E+01, 3.250515372E+01
 3,   -8517588, 1073741824, 1.101767069E+01, 2.128520612E+01, 3.218290501E+01, 3.287738979E+01
 4,   -8518577, 1073741824, 1.217588711E+01, 2.095786937E+01, 3.228878446E+01, 3.202796339E+01
 5,   -8516235, 1073741824, 1.108813262E+01, 2.086896299E+01, 3.208930737E+01, 3.192011877E+01
 6,   -8509925, 1073741824, 1.142629474E+01, 2.167302560E+01, 3.135123866E+01, 3.171690103E+01
 7,   -8518365, 1073741824, 1.154084355E+01, 2.078639442E+01, 3.202441083E+01, 3.166146324E+01
 8,   -8511435, 1073741824, 1.178138310E+01, 2.140396917E+01, 3.320307798E+01, 3.102551662E+01
 9,   -8517392, 1073741824, 1.135409683E+01, 2.104307507E+01, 3.112801411E+01, 3.109083993E+01
10,   -8513952, 1073741824, 1.093788253E+01, 2.106092053E+01, 3.200194203E+01, 3.198763808E+01
11,   -8514964, 1073741824, 1.107449923E+01, 2.133144852E+01, 3.207665425E+01, 3.158198128E+01
12,   -8512446, 1073741824, 1.142002338E+01, 2.138055845E+01, 3.270024934E+01, 3.177533005E+01
13,   -8517709, 1073741824, 1.124470717E+01, 2.208488817E+01, 3.181246229E+01, 3.307258859E+01
14,   -8517412, 1073741824, 1.118913645E+01, 2.120058349E+01, 3.207098317E+01, 3.249548633E+01
15,   -8514014, 1073741824, 1.126748061E+01, 2.088954603E+01, 3.218632264E+01, 3.140029169E+01
16,   -8520390, 1073741824, 1.133114773E+01, 2.112767243E+01, 3.164318593E+01, 3.145827965E+01
17,   -8516651, 1073741824, 1.125975734E+01, 2.123984089E+01, 3.197230803E+01, 3.343957259E+01
18,   -8517531, 1073741824, 1.113302571E+01, 2.128415646E+01, 3.160545229E+01, 3.218604430E+01
19,   -8517501, 1073741824, 1.102701443E+01, 2.079970401E+01, 3.127157373E+01, 3.238484593E+01
20,   -8516235, 1073741824, 1.108813262E+01, 2.086896299E+01, 3.208930737E+01, 3.192011877E+01
21,   -8520401, 1073741824, 1.074043013E+01, 2.156503583E+01, 3.193742425E+01, 3.093307319E+01
22,   -8516410, 1073741824, 1.130314892E+01, 2.213277166E+01, 3.182637092E+01, 3.199328813E+01
23,   -8514888, 1073741824, 1.136151165E+01, 2.080703335E+01, 3.137618877E+01, 3.197033595E+01
24,   -8516534, 1073741824, 1.145862269E+01, 2.080221228E+01, 3.203303406E+01, 3.267442128E+01
25,   -8517649, 1073741824, 1.091520137E+01, 2.183206317E+01, 3.194978871E+01, 3.162980866E+01
26,   -8515174, 1073741824, 1.073474163E+01, 2.148469618E+01, 3.214691394E+01, 3.162331390E+01
27,   -8519359, 1073741824, 1.156831163E+01, 2.152368697E+01, 3.198158357E+01, 3.277249522E+01
28,   -8518510, 1073741824, 1.089505053E+01, 2.039583430E+01, 3.083486507E+01, 3.129996940E+01
29,   -8515037, 1073741824, 1.083244342E+01, 2.133722867E+01, 3.164942344E+01, 3.134428696E+01
30,   -8517590, 1073741824, 1.089546174E+01, 2.151654235E+01, 3.172358490E+01, 3.136885454E+01
31,   -8513467, 1073741824, 1.116997480E+01, 2.131014918E+01, 3.120886714E+01, 3.168031550E+01
