"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "||G-UΣV^-1||_F/||G||_F", "||U^HU-I||_F", "||V^HJV-J||_F"
   1,    0,          1,           0,  1022,       0.000337, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          2,           1,  1020,       0.000437, 0.00000000000000000E+000, 3.96904694630504904E-017, 1.76441102231052061E-016, 1.27594242875769498E-016
   4,    2,          5,          20,  1020,       0.000627, 4.44956557581470562E-016, 5.71047363198977169E-016, 4.18620739892965431E-016, 1.15200208367156475E-015
   8,    4,          6,         120,  1019,       0.001187, 1.02056023840334426E-015, 7.12830020804690962E-016, 6.79383201751166117E-016, 2.34036143542784401E-015
  16,    8,          7,         574,  1018,       0.003953, 2.62349699900226123E-015, 1.58337586463269262E-015, 1.47192518264366372E-015, 8.07545808281151686E-015
  32,   16,          9,        2761,  1016,       0.021234, 3.99680288865056749E-015, 2.13939509511794310E-015, 4.13150650711443180E-015, 2.62531613199993600E-014
  64,   32,          9,       12482,  1015,       0.134805, 5.30795360441769990E-015, 3.60256501422492739E-015, 1.15954566612272671E-014, 7.58845451347393073E-014
 128,   64,         10,       56252,  1014,       0.987147, 1.24683298921634767E-014, 6.04227859051553588E-015, 2.25141074205989653E-014, 2.37997720050458323E-013
 256,  128,         11,      243533,  1013,       7.604709, 2.37032360618206031E-014, 1.52364920822448430E-014, 9.26703085961381905E-014, 7.74036702699497684E-013
 512,  256,         12,     1054771,  1012,      62.299953, 4.46803169789281605E-014, 2.17536674216497365E-014, 2.01034559532899342E-013, 2.79757945092942503E-012
1024,  512,         14,     4469841,  1011,     512.590190, 9.35803095197696510E-014, 5.17292373419225796E-014, 8.88632518915522315E-013, 1.16365963428225387E-011
2048, 1024,         15,    19069044,  1010,    4298.686962, 1.79609120950061222E-013, 1.26987010623548242E-013, 1.72614215952020886E-012, 3.76850432182999519E-011
4096, 2048,         17,    78950557,  1008,   35488.637763, 3.37300524578622146E-013, 2.07764140113885996E-013, 6.08762480649352029E-012, 1.29680358833323383E-010
