"N", "J", "GS", "SWEEPS", "TIMEs", "MAXREΛ", "||G-UΣV^-1||_F/||G||_F"
  1,   0,  1022,          1,    0.000105, 0.00000000000000000E+000, 0.00000000000000000E+000
  2,   1,  1020,          2,    0.000214, 2.22044604925031296E-016, 5.84930621653938238E-017
  4,   2,  1020,          5,    0.000183, 7.08821054248667916E-016, 6.68551129839618150E-016
  8,   4,  1019,          6,    0.000309, 5.59451292365264836E-016, 4.99033631145449014E-016
 16,   8,  1018,          7,    0.000870, 2.37748330739123892E-015, 1.42105494212000720E-015
 32,  16,  1016,          8,    0.005169, 4.18435059221481340E-015, 2.08273498421835136E-015
 64,  32,  1015,         10,    0.042315, 9.67930395328907929E-015, 4.04796742810299230E-015
128,  64,  1014,         10,    0.352540, 1.87486936526601026E-014, 8.22507863732270554E-015
256, 128,  1013,         11,    2.974439, 2.73748788992481644E-014, 1.36292241241273266E-014
512, 256,  1012,         12,   25.489771, 3.88232342538998280E-014, 2.19755258287370781E-014
