"N", "J", "GS", "SWEEPS", "TIMEs", "MAXREL", "||G-UΣV^-1||_F/||G||_F"
  1,   0,  1022,          1,    0.000087, 0.00000000000000000E+000, 0.00000000000000000E+000
  2,   1,  1020,          2,    0.000177, 2.22044604925031296E-016, 5.84930621653938238E-017
  4,   2,  1020,          5,    0.000256, 1.55431223447521855E-015, 8.41624668239829058E-016
  8,   4,  1019,          6,    0.000458, 7.97263653935428829E-016, 5.94120454578438230E-016
 16,   8,  1018,          7,    0.001561, 3.41453709958278625E-015, 1.59758106739191770E-015
 32,  16,  1016,          8,    0.005265, 3.51478265306403896E-015, 2.09431182024535263E-015
 64,  32,  1015,          9,    0.041715, 8.63024789834283862E-015, 4.00939424237733057E-015
128,  64,  1014,         10,    0.345896, 1.61223886753910773E-014, 6.73251484535050013E-015
256, 128,  1013,         11,    2.973224, 2.67744469597548945E-014, 1.37718700915587827E-014
512, 256,  1012,         12,   25.131019, 4.63143020992786020E-014, 2.80390575207932736E-014
