"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "||G-UΣV^-1||_F/||G||_F", "||U^HU-I||_F", "||V^HJV-J||_F", "max||GVj-UjΣj||_F"
   1,    0,          1,           0,  1022,       0.000293, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          3,           2,  1020,       0.000455, 0.00000000000000000E+000, 1.15033178617546913E-016, 1.57803314265438871E-016, 2.96465211617022997E-016, 2.25846728452940285E-016
   4,    2,          5,          20,  1020,       0.000636, 7.08821054248667926E-016, 5.32717992552139242E-016, 4.27202116984225664E-016, 7.18028916709022041E-016, 4.67005332947422107E-016
   8,    4,          6,         120,  1019,       0.001234, 1.23780876551561203E-015, 6.21277761096568446E-016, 5.74504069212861596E-016, 1.91776811980734867E-015, 6.60827629923292412E-016
  16,    8,          7,         574,  1018,       0.004149, 2.21405108611856646E-015, 1.21937715408076644E-015, 1.53149740506342384E-015, 7.64787210745917110E-015, 2.43428738801637497E-015
  32,   16,          8,        2757,  1017,       0.021402, 2.91509292861024922E-015, 1.90574646702588641E-015, 4.47049286730239396E-015, 2.52781787353051451E-014, 9.76884109159468961E-015
  64,   32,          9,       12480,  1015,       0.140820, 6.93889390390724100E-015, 3.52449377007477210E-015, 1.16494210726214129E-014, 7.97440123906005833E-014, 1.64413098480257586E-014
 128,   64,         11,       56254,  1014,       1.008015, 1.17742409641223804E-014, 6.42507830647965395E-015, 2.17381022798854463E-014, 2.43861794921948026E-013, 4.56120068725361570E-014
 256,  128,         11,      243523,  1013,       7.566819, 2.64857375796427186E-014, 1.50142126884061580E-014, 9.27008901552471346E-014, 7.81557713925542940E-013, 1.05846687503897571E-013
 512,  256,         13,     1054760,  1012,      62.167565, 4.23529758967102620E-014, 2.19125593381020430E-014, 2.00558581900893999E-013, 2.73416819120008431E-012, 3.17751292894121283E-013
1024,  512,         14,     4469761,  1011,     507.608999, 8.02395103836725298E-014, 5.11240684443102354E-014, 8.89084602010934345E-013, 1.16783887017970005E-011, 8.61397406670635137E-013
2048, 1024,         15,    19069654,  1010,    4247.974736, 1.76708556314175373E-013, 1.24840051130276224E-013, 1.74190448885017408E-012, 3.78463924210946780E-011, 2.28081171340372555E-012
4096, 2048,         17,    79005846,  1008,   35098.467251, 3.29840736638558093E-013, 2.04996272274421510E-013, 6.15050654203417420E-012, 1.29214864334066586E-010, 5.80781123931467995E-012
