"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "max||GVj-UjΣj||_F", "||G-UΣV^-1||_F/||G||_F", "||U^HU-I||_F", "||V^HJV-J||_F"
   1,    0,          1,           0,  1022,       0.000368, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          2,           1,  1020,       0.000551, 2.22044604925031308E-016, 1.30037552128115646E-016, 6.21612604501163197E-017, 3.75993499325132190E-016, 1.27594242875769498E-016
   4,    2,          5,          20,  1020,       0.000813, 8.88178419700125430E-016, 5.14546547606843892E-016, 6.10284855798882636E-016, 4.06548443008113300E-016, 1.32739129536330380E-015
   8,    4,          6,         120,  1019,       0.001444, 1.80874039728933648E-015, 7.60768692828620691E-016, 9.76259357170003833E-016, 6.59222959458346360E-016, 3.25515032849902685E-015
  16,    8,          7,         579,  1018,       0.004797, 3.01637627790894687E-015, 2.31785477013182804E-015, 1.58281070841815880E-015, 1.48394918936102477E-015, 9.40909801864143889E-015
  32,   16,          8,        2862,  1017,       0.021566, 3.79897234936766000E-015, 1.04176138806393830E-014, 2.44538905577891520E-015, 3.58481953763161851E-015, 3.17903140898246848E-014
  64,   32,         10,       13475,  1015,       0.105871, 8.27576754945047833E-015, 1.45496109183787354E-014, 3.80617077786539518E-015, 9.75582897899957211E-015, 8.02347163300230258E-014
 128,   64,         11,       58910,  1014,       0.500431, 1.40866329798643666E-014, 4.05279629897779903E-014, 7.50962729033170833E-015, 3.14734941302678193E-014, 2.49650611493374914E-013
 256,  128,         12,      261438,  1013,       2.921493, 2.45083826351126710E-014, 1.23636229331440687E-013, 1.34964113136042472E-014, 6.42673064807140194E-014, 8.26509060950056134E-013
 512,  256,         13,     1105131,  1012,      17.386351, 5.02157866701725862E-014, 3.29205917302129627E-013, 2.32581191527853317E-014, 2.47050291274088343E-013, 2.89291669847340776E-012
1024,  512,         14,     4721788,  1011,     116.074128, 1.04566648222198174E-013, 1.05963562453090965E-012, 5.98123425073287993E-014, 8.05001022867300370E-013, 1.12481146566578771E-011
2048, 1024,         15,    19688777,  1010,     835.498331, 1.76531091987426301E-013, 3.96054409036406152E-012, 1.22141178655815412E-013, 1.92376818076508713E-012, 3.65325492691511491E-011
4096, 2048,         18,    82181135,  1008,    6934.259726, 3.55505959432350119E-013, 8.00685217976038848E-012, 2.18701945501701944E-013, 7.27762431123981892E-012, 1.44910190685934935E-010
