"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "||G-UΣV^-1||_F/||G||_F"
   1,    0,          1,           0,  1022,       0.000396, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          2,           1,  1020,       0.000705, 0.00000000000000000E+000, 3.96904694630504887E-017
   4,    2,          5,          21,  1020,       0.001892, 1.11022302462515623E-015, 8.07532659324008999E-016
   8,    4,          6,         118,  1019,       0.003421, 1.57698750209078569E-015, 8.15197785873913975E-016
  16,    8,          7,         576,  1018,       0.012959, 1.94749577889631263E-015, 1.15178913557776284E-015
  32,   16,          8,        2769,  1016,       0.079026, 3.97888777268973825E-015, 2.06702096661545726E-015
  64,   32,          9,       12284,  1015,       0.597500, 7.34302602386874697E-015, 3.66561810330282920E-015
 128,   64,         10,       56565,  1014,       5.183027, 1.32676523874091728E-014, 6.63829112087253477E-015
 256,  128,         11,      245605,  1013,      44.055403, 2.76608889585963380E-014, 1.52243113469269696E-014
 512,  256,         12,     1063679,  1012,     379.627381, 4.75582841201325372E-014, 2.37912319222120447E-014
1024,  512,         14,     4484807,  1011,    3222.292346, 8.97620566701471700E-014, 5.13433017087066138E-014
2048, 1024,         14,    19257960,  1010,   27378.452293, 1.77867408448588259E-013, 1.24554188678930801E-013
