"TRANSF", "SWEEP", "off(A)"
          0,  0, 5.17966796883682832E+002
          1,  1, 5.17963511790732809E+002
        256,  1, 5.11845766991457253E+002
        512,  1, 5.09515782964321261E+002
        768,  1, 5.06254429411681144E+002
       1024,  1, 5.03869656839630579E+002
       1280,  1, 5.01734721166490090E+002
       1536,  1, 4.99864596898155924E+002
       1792,  1, 4.97975830029773704E+002
       2048,  1, 4.96364258995533646E+002
       2304,  1, 4.95127392964741318E+002
       2560,  1, 4.93750205435609871E+002
       2816,  1, 4.92385454532563870E+002
       3072,  1, 4.91113218809329624E+002
       3328,  1, 4.89377012430602633E+002
       3584,  1, 4.88062669443106245E+002
       3840,  1, 4.86898891786754348E+002
       4096,  1, 4.85920200642016596E+002
       4352,  1, 4.85004457806493576E+002
       4608,  1, 4.84186041773838951E+002
       4864,  1, 4.83582724964076874E+002
       5120,  1, 4.82892406052824469E+002
       5376,  1, 4.82458835643160171E+002
       5632,  1, 4.81980192665734990E+002
       5888,  1, 4.81487027864181641E+002
       6144,  1, 4.81009816069310489E+002
       6400,  1, 4.80520602988085443E+002
       6656,  1, 4.79979070198407044E+002
       6912,  1, 4.79366945834009357E+002
       7168,  1, 4.78802665469506962E+002
       7424,  1, 4.78397260088757378E+002
       7680,  1, 4.78122729827520800E+002
       7936,  1, 4.77836822490427949E+002
       8192,  1, 4.77433102853756907E+002
       8448,  1, 4.77101230696047423E+002
       8704,  1, 4.76802228271168588E+002
       8960,  1, 4.76508175772381207E+002
       9216,  1, 4.76193417825480708E+002
       9472,  1, 4.75877372643399326E+002
       9728,  1, 4.75695985496797903E+002
       9984,  1, 4.75430688130020371E+002
      10240,  1, 4.75179191272662933E+002
      10496,  1, 4.75006786718507612E+002
      10752,  1, 4.74794759063265190E+002
      11008,  1, 4.74530743315635505E+002
      11264,  1, 4.74345246253933226E+002
      11520,  1, 4.74173925113218843E+002
      11776,  1, 4.74025612000986087E+002
      12032,  1, 4.73852523714160327E+002
      12288,  1, 4.73710464096100964E+002
      12544,  1, 4.73597123181756615E+002
      12800,  1, 4.73475627028366091E+002
      13056,  1, 4.73354712911528679E+002
      13312,  1, 4.73244686354159455E+002
      13568,  1, 4.73148205906188593E+002
      13824,  1, 4.73068979243305080E+002
      14080,  1, 4.72996089215396864E+002
      14336,  1, 4.72930762797931663E+002
      14592,  1, 4.72853186850892712E+002
      14848,  1, 4.72762071950340555E+002
      15104,  1, 4.72669506492847347E+002
      15360,  1, 4.72610139287644017E+002
      15616,  1, 4.72543174141025929E+002
      15872,  1, 4.72497069171782869E+002
      16128,  1, 4.72440356448735258E+002
      16384,  1, 4.72398041476260516E+002
      16640,  1, 4.72346839744326758E+002
      16896,  1, 4.72311938145656654E+002
      17152,  1, 4.72275586077849368E+002
      17408,  1, 4.72232959201198696E+002
      17664,  1, 4.72200850286325249E+002
      17920,  1, 4.72165237089092841E+002
      18176,  1, 4.72132562646749534E+002
      18432,  1, 4.72093763725702388E+002
      18688,  1, 4.72073025334864667E+002
      18944,  1, 4.72042125415280452E+002
      19200,  1, 4.72012142239200671E+002
      19456,  1, 4.71986450426289707E+002
      19712,  1, 4.71959756750004715E+002
      19968,  1, 4.71934021096026243E+002
      20224,  1, 4.71911674752513989E+002
      20480,  1, 4.71893944298156271E+002
      20736,  1, 4.71874069236139690E+002
      20992,  1, 4.71856409748134240E+002
      21248,  1, 4.71840232722141138E+002
      21504,  1, 4.71826305908658128E+002
      21760,  1, 4.71809534087336658E+002
      22016,  1, 4.71794844964692004E+002
      22272,  1, 4.71783927786429672E+002
      22528,  1, 4.71771915188418234E+002
      22784,  1, 4.71762671339590270E+002
      23040,  1, 4.71753094656732628E+002
      23296,  1, 4.71744109051903706E+002
      23552,  1, 4.71735741414029633E+002
      23808,  1, 4.71728000638768037E+002
      24064,  1, 4.71720677569709721E+002
      24320,  1, 4.71712755197185800E+002
      24576,  1, 4.71705938693890573E+002
      24832,  1, 4.71696754013466375E+002
      25088,  1, 4.71690479903741220E+002
      25344,  1, 4.71684564882820723E+002
      25600,  1, 4.71680373925606489E+002
      25856,  1, 4.71675477953173981E+002
      26112,  1, 4.71671372333459146E+002
      26368,  1, 4.71668190319073062E+002
      26624,  1, 4.71663600417347197E+002
      26880,  1, 4.71660306785300918E+002
      27136,  1, 4.71657426948711304E+002
      27392,  1, 4.71654540057277245E+002
      27648,  1, 4.71652444143460116E+002
      27904,  1, 4.71649576893276731E+002
      28160,  1, 4.71647227074661373E+002
      28416,  1, 4.71645068703907839E+002
      28672,  1, 4.71643481892089824E+002
      28928,  1, 4.71642138657071996E+002
      29184,  1, 4.71640918122952428E+002
      29440,  1, 4.71639780077312139E+002
