"TRANSF", "SWEEP", "off(A)"
          0,  0, 5.17966796883682832E+002
          1,  1, 5.17963511790732809E+002
        256,  1, 5.09245991963154268E+002
        512,  1, 4.87128985899849624E+002
        768,  1, 4.84201005325537096E+002
       1024,  1, 4.73889246808241523E+002
       1280,  1, 4.68843892721292605E+002
       1536,  1, 4.55704007817608613E+002
       1792,  1, 4.49205904727405482E+002
       2048,  1, 4.39448054757336308E+002
       2304,  1, 4.34025503585764511E+002
       2560,  1, 4.27686177165720551E+002
       2816,  1, 4.20064156625774558E+002
       3072,  1, 4.12215149135405454E+002
       3328,  1, 4.05706982883974376E+002
       3584,  1, 4.01001379575372994E+002
       3840,  1, 3.94469247694058311E+002
       4096,  1, 3.89978318392206575E+002
       4352,  1, 3.84564761610456401E+002
       4608,  1, 3.81157335244684646E+002
       4864,  1, 3.75920554560202220E+002
       5120,  1, 3.71999085917506534E+002
       5376,  1, 3.63093457231132334E+002
       5632,  1, 3.58608765093546367E+002
       5888,  1, 3.52347861540574797E+002
       6144,  1, 3.49975751730165086E+002
       6400,  1, 3.39719805423858361E+002
       6656,  1, 3.37114826726208037E+002
       6912,  1, 3.28827690812699416E+002
       7168,  1, 3.27094835739420091E+002
       7424,  1, 3.21204018853773221E+002
       7680,  1, 3.19796599153784143E+002
       7936,  1, 3.12295508395377908E+002
       8192,  1, 3.11026821846722498E+002
       8448,  1, 3.05811868507658914E+002
       8704,  1, 3.04700073604719250E+002
       8960,  1, 2.97935826985996073E+002
       9216,  1, 2.96529618658180311E+002
       9472,  1, 2.89499160670128163E+002
       9728,  1, 2.88327270248669663E+002
       9984,  1, 2.81968296707820969E+002
      10240,  1, 2.81085396342248202E+002
      10496,  1, 2.75515486463531602E+002
      10752,  1, 2.74741662561591340E+002
      11008,  1, 2.70442030812142946E+002
      11264,  1, 2.68775402163958915E+002
      11520,  1, 2.64964956055517291E+002
      11776,  1, 2.62406970068248086E+002
      12032,  1, 2.58663539666408838E+002
      12288,  1, 2.54295497824617996E+002
      12544,  1, 2.51528833152848819E+002
      12800,  1, 2.48099257620774608E+002
      13056,  1, 2.46275689001304215E+002
      13312,  1, 2.42400978274626510E+002
      13568,  1, 2.41271564012315906E+002
      13824,  1, 2.36633415768819020E+002
      14080,  1, 2.35673092810029516E+002
      14336,  1, 2.31315134978670244E+002
      14592,  1, 2.30623860593507118E+002
      14848,  1, 2.26736779744688533E+002
      15104,  1, 2.25991802070372586E+002
      15360,  1, 2.21472998250318881E+002
      15616,  1, 2.20054101148547915E+002
      15872,  1, 2.15895052979944893E+002
      16128,  1, 2.13560641496073487E+002
      16384,  1, 2.10956391105519003E+002
      16640,  1, 2.08562624183023928E+002
      16896,  1, 2.07020330382880189E+002
      17152,  1, 2.03660818277739708E+002
      17408,  1, 2.02423964179452184E+002
      17664,  1, 1.98266076732391696E+002
      17920,  1, 1.97433203682266281E+002
      18176,  1, 1.94040700288456151E+002
      18432,  1, 1.93381960141844900E+002
      18688,  1, 1.89086083078724670E+002
      18944,  1, 1.88114765009150688E+002
      19200,  1, 1.84482159232367366E+002
      19456,  1, 1.82862043736288229E+002
      19712,  1, 1.81047811822961705E+002
      19968,  1, 1.78752994343799401E+002
      20224,  1, 1.77443969232106554E+002
      20480,  1, 1.74946397725997144E+002
      20736,  1, 1.74121083173194791E+002
      20992,  1, 1.71150202535391060E+002
      21248,  1, 1.70492844479314385E+002
      21504,  1, 1.66992271532123340E+002
      21760,  1, 1.66516282150882290E+002
      22016,  1, 1.64245118952040997E+002
      22272,  1, 1.62714369085955610E+002
      22528,  1, 1.60878086306884398E+002
      22784,  1, 1.58807734676964742E+002
      23040,  1, 1.58040713056627709E+002
      23296,  1, 1.55517074057712279E+002
      23552,  1, 1.54876851778420360E+002
      23808,  1, 1.52448391168821530E+002
      24064,  1, 1.51969761607659763E+002
      24320,  1, 1.49373554283898358E+002
      24576,  1, 1.48273867196603334E+002
      24832,  1, 1.46341075464753743E+002
      25088,  1, 1.44658052397501478E+002
      25344,  1, 1.43649458118730024E+002
      25600,  1, 1.41165030382129743E+002
      25856,  1, 1.40084505981329045E+002
      26112,  1, 1.37831187726118401E+002
      26368,  1, 1.37182283075464937E+002
      26624,  1, 1.34432343357563866E+002
      26880,  1, 1.33702002817718324E+002
      27136,  1, 1.32763988948092845E+002
      27392,  1, 1.30554994239614615E+002
      27648,  1, 1.29807731071918653E+002
      27904,  1, 1.28169616276090750E+002
      28160,  1, 1.27690150765902686E+002
      28416,  1, 1.25706388898224262E+002
      28672,  1, 1.24917697818871019E+002
      28928,  1, 1.23469213015549670E+002
      29184,  1, 1.22386467818777405E+002
      29440,  1, 1.21630872251647901E+002
