"RUN", "THge08", "N", "REDET_ε", "RECH_ε", "RESH_ε"
 1,   -3846237, 1073741824, 4.50228734685951437E+000, 1.47375520773559395E+001, 2.32291477391178479E+001
 2,   -3845144, 1073741824, 4.50087025671935059E+000, 1.43483193563160793E+001, 2.29193734255273027E+001
 3,   -3849287, 1073741824, 4.46211186804830007E+000, 1.43827748933812958E+001, 2.19261212967863950E+001
 4,   -3850501, 1073741824, 4.52262208924317966E+000, 1.45465049989292923E+001, 2.25000268445933926E+001
 5,   -3843641, 1073741824, 4.46782273901374660E+000, 1.47663874985781254E+001, 2.24967800230447985E+001
 6,   -3845687, 1073741824, 4.48108138869518990E+000, 1.49654558308087173E+001, 2.21054892488048408E+001
 7,   -3846706, 1073741824, 4.53498555179593055E+000, 1.43106706393008313E+001, 2.21957350923882880E+001
 8,   -3851087, 1073741824, 4.50105031963866731E+000, 1.39528689475004083E+001, 2.18213026639252403E+001
 9,   -3850702, 1073741824, 4.49229751485024886E+000, 1.46213131188792110E+001, 2.19220118575977785E+001
10,   -3849060, 1073741824, 4.49457580831372061E+000, 1.42843464762320225E+001, 2.22211043074799314E+001
11,   -3849890, 1073741824, 4.48226778503276790E+000, 1.44442988973656480E+001, 2.25540740217243626E+001
12,   -3851862, 1073741824, 4.51593256353990569E+000, 1.43013407689293641E+001, 2.20988709178418021E+001
13,   -3847600, 1073741824, 4.48826388101498930E+000, 1.41587002706299519E+001, 2.24046729473494203E+001
14,   -3847571, 1073741824, 4.47507094241824177E+000, 1.45610070963234963E+001, 2.25119477874670273E+001
15,   -3847745, 1073741824, 4.51820400966513747E+000, 1.49333265465295255E+001, 2.26735499119488524E+001
16,   -3847907, 1073741824, 4.47670429199259701E+000, 1.42633911388788842E+001, 2.21575874687633747E+001
17,   -3849622, 1073741824, 4.46854248909748719E+000, 1.45306255198289735E+001, 2.20807817626978351E+001
18,   -3846883, 1073741824, 4.50231605814551017E+000, 1.42925029645534131E+001, 2.22761753754946752E+001
19,   -3849049, 1073741824, 4.47645805827507237E+000, 1.43859772354471360E+001, 2.21093325263881465E+001
20,   -3846846, 1073741824, 4.50458079003514156E+000, 1.44858805305923352E+001, 2.24074800814716671E+001
21,   -3849049, 1073741824, 4.47645805827507237E+000, 1.43859772354471360E+001, 2.21093325263881465E+001
22,   -3847607, 1073741824, 4.48740881658883551E+000, 1.41220740866883849E+001, 2.21628520027291862E+001
23,   -3851903, 1073741824, 4.48741970639656529E+000, 1.48094153510680220E+001, 2.16654969324395857E+001
24,   -3848109, 1073741824, 4.48497731003664635E+000, 1.46592566763055986E+001, 2.25592490661309914E+001
25,   -3848465, 1073741824, 4.47170797719066515E+000, 1.46876711807506540E+001, 2.26014424787915889E+001
26,   -3853519, 1073741824, 4.50615633989073850E+000, 1.50280899518908729E+001, 2.30539903744684787E+001
27,   -3847975, 1073741824, 4.48315286457456352E+000, 1.46707137581162597E+001, 2.24909920211707815E+001
28,   -3844856, 1073741824, 4.47998627307810393E+000, 1.44968719456160543E+001, 2.26122526226522224E+001
29,   -3851157, 1073741824, 4.52750978396824833E+000, 1.47065198725708624E+001, 2.22884295137524281E+001
30,   -3848980, 1073741824, 4.47118446412338599E+000, 1.44566894261633149E+001, 2.19003458396761109E+001
31,   -3851357, 1073741824, 4.47648134597716307E+000, 1.46065032618936463E+001, 2.21041657026464492E+001
