"RUN", "THge08", "N", "REDET_ε", "RECH_ε", "RESH_ε"
 1,   -3848789, 1073741824, 4.48723699238848051E+000, 1.45165988138691261E+001, 2.24525967474575039E+001
 2,   -3847921, 1073741824, 4.50795518362947689E+000, 1.47769809630657668E+001, 2.27889742209889544E+001
 3,   -3849718, 1073741824, 4.48146273168725662E+000, 1.41065792467948800E+001, 2.18626170627390286E+001
 4,   -3850129, 1073741824, 4.51731103423899283E+000, 1.47026501854299171E+001, 2.19917602524471009E+001
 5,   -3846539, 1073741824, 4.54395187263484113E+000, 1.42854643577514316E+001, 2.19945334417453150E+001
 6,   -3845688, 1073741824, 4.51573309740128037E+000, 1.44155592590452684E+001, 2.17348631046964229E+001
 7,   -3845931, 1073741824, 4.51892162075542325E+000, 1.46480608677124733E+001, 2.23821851085376714E+001
 8,   -3848596, 1073741824, 4.48721499024439962E+000, 1.44927487715448464E+001, 2.22554013062563140E+001
 9,   -3850056, 1073741824, 4.48177595956976660E+000, 1.47717224021336366E+001, 2.31634240703270069E+001
10,   -3847136, 1073741824, 4.45442835533513870E+000, 1.44971759383780991E+001, 2.24366767549635792E+001
11,   -3847934, 1073741824, 4.51159325328993432E+000, 1.47646679994685838E+001, 2.23581505556006694E+001
12,   -3849338, 1073741824, 4.45884172775257071E+000, 1.42834006569685512E+001, 2.21051130675278385E+001
13,   -3848107, 1073741824, 4.46666427130357091E+000, 1.45715793278895631E+001, 2.26476100484552235E+001
14,   -3846777, 1073741824, 4.48563302819161080E+000, 1.42474737743188487E+001, 2.25482355496994541E+001
15,   -3843517, 1073741824, 4.47055350375540383E+000, 1.45405823651446408E+001, 2.29922617358815513E+001
16,   -3848484, 1073741824, 4.48025459937089776E+000, 1.41952067449243552E+001, 2.20456583523596286E+001
17,   -3849357, 1073741824, 4.48267427870473512E+000, 1.44382112745716790E+001, 2.28339059029183568E+001
18,   -3849633, 1073741824, 4.50375528432929384E+000, 1.46100709945932543E+001, 2.25174065396710346E+001
19,   -3848636, 1073741824, 4.48319772607892731E+000, 1.45569406380965677E+001, 2.19323870489339741E+001
20,   -3847899, 1073741824, 4.52564983174176794E+000, 1.44127320520956287E+001, 2.20076333503163167E+001
21,   -3844130, 1073741824, 4.48644191105692691E+000, 1.43092824167361099E+001, 2.29879428676778966E+001
22,   -3846619, 1073741824, 4.48520280434872909E+000, 1.44124641468077804E+001, 2.23587795186944258E+001
23,   -3848488, 1073741824, 4.52705774721053444E+000, 1.47214184101215977E+001, 2.19030698927268880E+001
24,   -3848808, 1073741824, 4.50260858030605960E+000, 1.42076281402500241E+001, 2.16842850837931152E+001
25,   -3849173, 1073741824, 4.49289846255898340E+000, 1.43473761915600294E+001, 2.23350489937526381E+001
26,   -3846683, 1073741824, 4.48492592940766599E+000, 1.46910787856567241E+001, 2.21515243632827524E+001
27,   -3847637, 1073741824, 4.48729482181605199E+000, 1.44378200408571087E+001, 2.22568964709610621E+001
28,   -3849228, 1073741824, 4.53332537982755168E+000, 1.42413684514219123E+001, 2.21681492193316833E+001
29,   -3848577, 1073741824, 4.48175530135500821E+000, 1.44323686752835043E+001, 2.20842708053938542E+001
30,   -3846995, 1073741824, 4.48466730931174951E+000, 1.42948995128806830E+001, 2.26058133497547240E+001
31,   -3850884, 1073741824, 4.52534202834312138E+000, 1.43781302248615785E+001, 2.17697545676553276E+001
