"EXP(TH(2φ))", "N", "AVG(ρ(TH))/ε", "MAX(ρ(TH))/ε", "AVG(ρ(CH))/ε", "MAX(ρ(CH))/ε", "AVG(ρ(SH))/ε", "MAX(ρ(SH))/ε", "AVG(ρ(th))/ε", "MAX(ρ(th))/ε", "AVG(ρ(ch))/ε", "MAX(ρ(ch))/ε", "AVG(ρ(sh))/ε", "MAX(ρ(sh))/ε"
-53, 1073741824, 6.48466193675246091E-017, 1.11403729861336724E-016, 3.30337371377102886E-017, 5.55111512312578270E-017, 9.78562390066943582E-017, 1.67105594792005086E-016, 6.48466193675246091E-017, 1.11403729861336724E-016, 1.99999999999999997E+000, 1.99999999999999999E+000, 1.96165192875804439E+000, 2.66666665880216999E+000
-52, 1073741824, 2.59149863488710665E-016, 4.44469167355334718E-016, 1.30177765516840056E-016, 2.22044604925031308E-016, 3.89330916745551050E-016, 6.66703751033002077E-016, 2.59149863488710665E-016, 4.44469167355334718E-016, 1.30177765516840056E-016, 2.22044604925031308E-016, 3.89330916745551050E-016, 6.66703751033002077E-016
-51, 1073741824, 1.03632335781072105E-015, 1.77673643097831205E-015, 5.18752466153942920E-016, 8.88178419700125232E-016, 1.55506833015338211E-015, 2.66510464646746808E-015, 1.03632335781072105E-015, 1.77673643097831205E-015, 5.00014092773199389E-001, 1.99999999999999965E+000, 3.64654799958889513E-001, 1.59999999627471180E+000
-50, 1073741824, 4.14487592474743836E-015, 7.10580685857064335E-015, 2.07303520370132939E-015, 3.55271367880050093E-015, 6.21790958104824499E-015, 1.06587102878559650E-014, 4.14487592474743836E-015, 7.10580685857064335E-015, 4.99981008470059568E-001, 1.99999999999999888E+000, 5.07136004685565275E-001, 2.46153846003952617E+000
-49, 1073741824, 1.65793565763496422E-014, 2.84220888930107602E-014, 8.29027423798037383E-015, 1.42108547152020037E-014, 2.48696317869892716E-014, 4.26331333395161402E-014, 1.65793565763496422E-014, 2.84220888930107602E-014, 5.00009700655941513E-001, 1.99999999999999599E+000, 4.99855010033983597E-001, 2.55999999938009077E+000
-48, 1073741824, 6.63188996297541841E-014, 1.13687217193658271E-013, 3.31600461826283792E-014, 5.68434188608080149E-014, 9.94789466480397115E-014, 1.70530825790487407E-013, 6.63188996297541841E-014, 1.13687217193658271E-013, 5.00045590102689495E-001, 1.99999999999998489E+000, 4.95431227207442133E-001, 2.61224489624616920E+000
-47, 1073741824, 2.65260713753004079E-013, 4.54747730357557098E-013, 1.32630952822851335E-013, 2.27373675443232059E-013, 3.97891666989480307E-013, 6.82121595536335647E-013, 2.65260713753004079E-013, 4.54747730357557098E-013, 4.99977853149242635E-001, 1.99999999999994137E+000, 4.92925779677508699E-001, 2.63917525706007788E+000
-46, 1073741824, 1.06107205783972651E-012, 1.81898978216968129E-012, 5.30536625166856981E-013, 9.09494701772928238E-013, 1.59160868278093524E-012, 2.72848467325452193E-012, 1.06107205783972651E-012, 1.81898978216968129E-012, 4.99978834763435909E-001, 1.99999999999976906E+000, 4.91686300852116141E-001, 2.65284974079668307E+000
-45, 1073741824, 4.24435279555295122E-012, 7.27595797671357447E-012, 2.12217699415738547E-012, 3.63797880709171295E-012, 6.36652978969324818E-012, 1.09139369650703617E-011, 4.24435279555295122E-012, 7.27595797671357447E-012, 5.00001115725508176E-001, 1.99999999999908339E+000, 4.91053869629896973E-001, 2.65974025657823439E+000
-44, 1073741824, 1.69772559938954914E-011, 2.91038308226520157E-011, 8.48862859329908857E-012, 1.45519152283668518E-011, 2.54658845871760374E-011, 4.36557462339780236E-011, 1.69772559938954914E-011, 2.91038308226520157E-011, 4.99953541908937956E-001, 1.99999999999634780E+000, 4.90689510785693057E-001, 2.66319895828767762E+000
