"EXP(TH(2φ))", "N", "AVG(ρ(TH))/ε", "MAX(ρ(TH))/ε", "AVG(ρ(CH))/ε", "MAX(ρ(CH))/ε", "AVG(ρ(SH))/ε", "MAX(ρ(SH))/ε", "AVG(ρ(th))/ε", "MAX(ρ(th))/ε", "AVG(ρ(ch))/ε", "MAX(ρ(ch))/ε", "AVG(ρ(sh))/ε", "MAX(ρ(sh))/ε"
-27, 17179869184, 2.91667324344748717E-001, 4.99999999534336742E-001, 1.45833662172374365E-001, 2.49999999767168388E-001, 4.37500986517123078E-001, 7.49999999301505116E-001, 3.06376494298800378E-001, 7.79700530972065572E-001, 5.69026857867483587E-001, 1.93749999807914733E+000, 6.89540305127469846E-001, 2.87750280266533543E+000
-26, 17179869184, 7.04361057350215646E-001, 1.54166666437717433E+000, 6.51922034228031046E-001, 1.24999999981249597E+000, 8.02728619023255304E-001, 2.36880215237713251E+000, 6.73419069968396484E-001, 1.54166665216650058E+000, 1.22428774544468174E+000, 1.74999999604187984E+000, 1.56201641786657909E+000, 3.64583330765083540E+000
-25, 17179869184, 5.44279012126658260E-001, 1.67499999897090740E+000, 5.28264887921379902E-001, 1.24999999839885742E+000, 6.82400183328285952E-001, 2.02801061334842177E+000, 5.46474912826363055E-001, 1.67499998250512428E+000, 7.59420796814342125E-001, 2.24999996815027938E+000, 9.20243368370156584E-001, 3.82114717412558129E+000
-24, 17179869184, 4.70445716192740004E-001, 1.42516126635909307E+000, 5.30950119889841541E-001, 1.24999999831243958E+000, 7.22362330872487418E-001, 2.33333329452824004E+000, 4.79536423207367379E-001, 1.64631578298237659E+000, 8.46595753130695890E-001, 2.24999997440730338E+000, 9.62658490113001956E-001, 3.35478070298552850E+000
-23, 17179869184, 4.64809304035880260E-001, 1.67475165829851745E+000, 5.31289069685255830E-001, 1.24999999942994590E+000, 7.22222324259459740E-001, 2.96108052210337570E+000, 4.92233517382107440E-001, 1.69651572591680931E+000, 8.25477373603462194E-001, 2.24999998777393308E+000, 9.98151095734265064E-001, 3.77699296424200726E+000
-22, 17179869184, 4.66546871192180031E-001, 1.72961187624251335E+000, 5.31266531013175304E-001, 1.24999999959902347E+000, 7.53450756771527672E-001, 3.00941914052874816E+000, 4.85324267495262554E-001, 1.82166678837741488E+000, 8.35219878991567666E-001, 2.24999996946834416E+000, 1.02452823797893067E+000, 4.05531598180494464E+000
-21, 17179869184, 4.67586330980766513E-001, 1.80998203253517462E+000, 5.31252759781876212E-001, 1.24999999684293252E+000, 7.40782000977350671E-001, 3.05712673351967910E+000, 4.86792400596472226E-001, 2.02610403918951195E+000, 8.32460853883446844E-001, 2.24999997340261646E+000, 1.04987004878060229E+000, 3.96686033939087575E+000
-20, 17179869184, 4.64941053321354295E-001, 1.85030305271297773E+000, 5.31253902734634023E-001, 1.24999999792035498E+000, 7.47635704627458476E-001, 3.21066653975612244E+000, 4.83806472730413692E-001, 2.06936827200774160E+000, 8.35102050249518400E-001, 2.24999994842375048E+000, 1.04607066250841914E+000, 4.21724221203480242E+000
-19, 17179869184, 4.65023909231715278E-001, 1.86641481134002189E+000, 5.31251800918154075E-001, 1.24999999435999282E+000, 7.48717912940863860E-001, 3.19811460530343451E+000, 4.85178107825131361E-001, 2.09135202027319583E+000, 8.35843405091573434E-001, 2.24999987536339424E+000, 1.05230748432382740E+000, 4.29716691904068973E+000
-18, 17179869184, 4.65413065610764470E-001, 1.86262017728312413E+000, 5.31252292051553052E-001, 1.24999994392205327E+000, 7.49881895102863228E-001, 3.23425058307571916E+000, 4.85774010959836092E-001, 2.11951479837485564E+000, 8.35921141627714243E-001, 2.24999983962969804E+000, 1.06761374140040817E+000, 4.31748942822962077E+000
-17, 17179869184, 4.65586859818915933E-001, 1.86786525009064101E+000, 5.31246833278005807E-001, 1.24999920166400756E+000, 7.49420757199863377E-001, 3.23763115357975151E+000, 4.85783948174959292E-001, 2.11793209100468427E+000, 8.35945134511837444E-001, 2.24999878618467169E+000, 1.07102931411758332E+000, 4.33562433542171816E+000
-16, 17179869184, 4.65428892070034375E-001, 1.87291872891847887E+000, 5.31229604033266034E-001, 1.24998820514737805E+000, 7.48574923430930071E-001, 3.24344623575711922E+000, 4.85691198449465557E-001, 2.12056572658536745E+000, 8.35921341559017697E-001, 2.24998823551929532E+000, 1.06924055262176276E+000, 4.38797990683117956E+000
-15, 17179869184, 4.64810109877905749E-001, 1.87198103498844826E+000, 5.30969525447481468E-001, 1.24981412708230231E+000, 7.48131811364222361E-001, 3.24691901675351927E+000, 4.85103741570115405E-001, 2.12134955293587418E+000, 8.35159553494221324E-001, 2.24981097581268916E+000, 1.06662867191524314E+000, 4.41286251827369967E+000
-14, 17179869184, 4.59285990368935882E-001, 1.86340212086358703E+000, 5.26949610044767888E-001, 1.24706848324349272E+000, 7.47820778455809938E-001, 3.25009166876096125E+000, 4.79735742781562171E-001, 2.11380198919025157E+000, 8.23626823685156451E-001, 2.24705677576044036E+000, 1.02817630720446761E+000, 4.38877678688479568E+000
