"j", "ReΣj"
          1, 7.76111827225652242E-017
          2, 4.97647222031805844E-016
          3, 1.45349560555680293E-015
          4, 1.17635478780582402E-015
          5, 4.46116798944592879E-016
          6, 7.55152353131593521E-016
          7, 2.39263100438292254E-016
          8, 1.30043559128600429E-015
          9, 3.21074465895796418E-016
         10, 1.52590283145594485E-015
         11, 2.04264463343148139E-015
         12, 5.91442089191399054E-016
         13, 9.47721037656409775E-016
         14, 3.76495271110419955E-016
         15, 1.39589210625380123E-015
         16, 2.13413900621787772E-016
         17, 1.10768333350785409E-015
         18, 1.68162383407115474E-015
         19, 5.57417158212455597E-016
         20, 6.14252152517595620E-016
         21, 1.94622204877780155E-015
         22, 3.68856846091363443E-016
         23, 2.27121529637751435E-015
         24, 5.71353344485078730E-016
         25, 1.33626640662388494E-015
         26, 4.61313443849240839E-016
         27, 1.86180046259784628E-016
         28, 1.81826814544235513E-015
         29, 2.40248498523868765E-016
         30, 4.19496948526890631E-016
         31, 5.71207983951899517E-016
         32, 2.78054734222840503E-016
         33, 2.87918296325677225E-015
         34, 1.06918841044740189E-015
         35, 9.10840746439936495E-016
         36, 2.55596059558736859E-015
         37, 1.89270783196168349E-017
         38, 5.02687271989492992E-016
         39, 1.72694122519195450E-015
         40, 2.01048669891142398E-016
         41, 1.76129999402351942E-015
         42, 6.82754125965260407E-016
         43, 7.73392176279162840E-016
         44, 1.12735082579273926E-015
         45, 5.30958204316347779E-016
         46, 5.32629799660166882E-016
         47, 5.20595639552692511E-016
         48, 7.22107458293771641E-016
         49, 1.10915322090669533E-015
         50, 2.88991591738617188E-016
         51, 1.15764548679658507E-016
         52, 3.24462050020456570E-016
         53, 6.57514089705743012E-016
         54, 2.06279838019085642E-015
         55, 1.14128088758470563E-015
         56, 5.75471621469038240E-016
         57, 9.23241117887738532E-016
         58, 1.31857357695843929E-015
         59, 1.52920461495264294E-015
         60, 4.90566924847181435E-016
         61, 8.24347562295203346E-016
         62, 1.48024105409805251E-015
         63, 5.93239127679335606E-016
         64, 1.74148320518032104E-015
         65, 1.17292468834748361E-015
         66, 4.98787057434322402E-016
         67, 5.17982338934414440E-016
         68, 1.70289028285242232E-015
         69, 6.61245891408811601E-016
         70, 7.27862752558711151E-017
         71, 9.83202924041106583E-016
