         0, 2147483647,  1011, 2.56571836139011501E+304
         1,     524777,  1011, 2.88183743202758136E-001
         2,     524734,  1011, 4.89568174919907284E-001
         3,     524723,  1011, 6.94913240372236229E-001
         4,     524639,  1011, 8.91659433549510799E-002
         5,     524313,  1011, 9.73649849013604948E-003
         6,     523972,  1011, 1.05861563213062852E-004
         7,     523814,  1011, 5.75141637887673121E-007
         8,     515031,  1011, 8.10239748337400375E-010
         9,     233690,  1011, 1.75126418600615174E-013
        10,      50095,  1011, 1.83427044970947519E-015
        11,       4524,  1011, 1.78944253561652880E-015
        12,         30,  1011, 1.78759848298453767E-015
        13,          3,  1011, 1.69898209241041505E-015
        14,          0,  1011, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.59104275145957208E-013
          2, 1.80497138505261609E-013
          3, 1.66210554791875232E-013
          4, 1.84487919259547412E-013
          5, 1.97334876694133260E-013
          6, 2.19185755327539452E-013
          7, 1.92482381081908271E-013
          8, 1.94116082120818928E-013
          9, 1.86452974477658545E-013
         10, 1.66899875769656930E-013
         11, 2.08156768850492772E-013
         12, 1.49316297791724930E-013
         13, 1.84299146348666117E-013
         14, 1.62986445422882555E-013
         15, 2.02714321520129190E-013
         16, 2.09896188124015370E-013
         17, 2.23110582852018073E-013
         18, 2.00841750432387214E-013
         19, 1.93631776954519310E-013
         20, 1.79564742697926913E-013
         21, 2.41506608814417578E-013
         22, 2.09291651034931363E-013
         23, 1.86751191374258995E-013
         24, 1.83834974562460537E-013
         25, 1.80943846767836246E-013
         26, 1.99357692814116099E-013
         27, 2.03920647886093699E-013
         28, 1.95753197506741524E-013
         29, 1.89774559638714575E-013
         30, 1.85112648542477742E-013
         31, 1.93278310965437838E-013
         32, 2.00245243051411905E-013
         33, 2.06839222176209419E-013
         34, 1.79268049079049006E-013
         35, 1.99366020657344461E-013
         36, 2.15622363882930717E-013
         37, 2.02012512255843815E-013
         38, 1.51477087804200630E-013
         39, 1.77231735493599270E-013
         40, 1.98507288368062392E-013
         41, 2.07128722109891467E-013
         42, 1.91121955307145233E-013
         43, 1.80699571624913809E-013
         44, 1.81117853738467629E-013
         45, 1.86967494691911005E-013
         46, 2.06343701648696646E-013
         47, 2.14228908847027022E-013
         48, 2.06122539063708924E-013
         49, 2.17249638901436516E-013
         50, 2.08968638772800174E-013
         51, 1.86425219917933648E-013
         52, 1.82510297285966130E-013
         53, 1.83613646587795431E-013
         54, 1.83443560371883055E-013
         55, 2.21292456553651281E-013
         56, 2.03347720595539919E-013
         57, 1.91585031225377699E-013
         58, 1.85130267181062509E-013
         59, 1.76519159430370572E-013
         60, 1.97343973421362094E-013
         61, 2.29603255510135725E-013
         62, 2.18302939571472596E-013
         63, 2.30783076018003274E-013
         64, 2.04216508093626238E-013
         65, 2.12864089073361644E-013
         66, 2.21632533057509856E-013
         67, 1.94148024014210920E-013
         68, 1.90106666991536000E-013
         69, 2.23218083802970439E-013
         70, 2.11736716878216581E-013
         71, 2.09610302167333590E-013
         72, 1.93488499983510898E-013
         73, 2.31865096621890707E-013
         74, 1.93838349663855127E-013
         75, 2.15992705785378869E-013
         76, 2.10260087535571699E-013
         77, 2.28905540908601662E-013
         78, 2.16958600648057908E-013
         79, 1.94594397083706262E-013
         80, 1.82798812871316283E-013
         81, 1.99219647229450686E-013
         82, 2.14777186403693027E-013
         83, 2.15476946021358025E-013
         84, 2.11475347048620549E-013
         85, 2.11850751070241461E-013
         86, 2.39210223107609098E-013
         87, 2.16174001477259164E-013
         88, 2.40923959634600933E-013
         89, 2.12514859556636724E-013
         90, 1.91128356357713037E-013
         91, 2.11394398345672032E-013
         92, 2.52551918927592574E-013
         93, 2.07392164390256989E-013
         94, 2.10892765822876081E-013
         95, 2.14425799204029653E-013
         96, 2.00780653547553232E-013
         97, 2.00730493868335953E-013
         98, 2.01709534681850271E-013
         99, 1.91674099898793765E-013
        100, 2.28470838515922149E-013
        101, 2.32081353390910577E-013
        102, 1.67197625805041290E-013
        103, 1.99355603751980419E-013
        104, 2.15268260827272308E-013
        105, 2.25734999588176790E-013
        106, 2.24146737438709288E-013
        107, 2.40295257493857179E-013
        108, 2.18878637586100791E-013
        109, 2.28318353180935907E-013
        110, 1.97336429693509736E-013
        111, 2.40803169108132860E-013
        112, 2.25450745355217956E-013
        113, 2.17847099405722926E-013
        114, 2.17007925883055027E-013
        115, 2.17265270752247180E-013
        116, 2.11930776004333786E-013
        117, 2.43483586365975254E-013
        118, 2.09311823982963299E-013
        119, 2.13188555911037498E-013
        120, 2.21708706420193175E-013
        121, 2.16598790537905050E-013
        122, 2.44418354439647771E-013
        123, 2.02288493784891914E-013
        124, 2.29104600585375871E-013
        125, 2.36387759580352065E-013
        126, 2.22465476845241632E-013
        127, 2.40223627825422773E-013
        128, 2.61383745796900717E-013
        129, 2.34623113679434995E-013
        130, 2.15757227352573601E-013
        131, 2.20270113137274725E-013
        132, 2.22624097130925089E-013
        133, 2.20686400981202292E-013
        134, 2.10405285761267302E-013
        135, 2.08345385946156874E-013
        136, 2.21150699429118778E-013
        137, 2.20200944918304440E-013
        138, 1.99310899190492144E-013
        139, 2.13265451727613317E-013
        140, 2.16298271566269941E-013
        141, 2.43784669665256533E-013
        142, 2.09141680922929324E-013
        143, 2.10418020724785487E-013
        144, 2.02190488423618895E-013
        145, 2.34812359240165607E-013
        146, 2.26237422600624583E-013
        147, 1.87197104949009682E-013
        148, 2.06963788312236683E-013
        149, 2.45311621048680111E-013
        150, 2.52199676326985706E-013
        151, 2.20723697790971394E-013
        152, 2.00841502316829511E-013
        153, 2.29122252263857752E-013
        154, 2.05582953709884807E-013
        155, 1.89597549271895818E-013
        156, 2.23206632754868715E-013
        157, 1.91530670134746390E-013
        158, 2.19197011933501851E-013
        159, 2.32438316588450292E-013
        160, 2.73497045478676926E-013
        161, 1.94234781837174294E-013
        162, 2.13956931126845989E-013
        163, 2.15364026454576588E-013
        164, 2.25271767552617031E-013
        165, 2.49187822914289256E-013
        166, 2.62072200039251165E-013
        167, 2.49388550329114165E-013
        168, 2.26926367780711230E-013
        169, 2.34094841751649562E-013
        170, 1.93949539099130973E-013
        171, 2.56420994334873542E-013
        172, 2.33248019179882955E-013
        173, 2.35927838335616198E-013
        174, 2.49208261886717885E-013
        175, 1.95432288193748780E-013
        176, 2.45277607446074764E-013
        177, 2.27763266821453998E-013
        178, 2.52023021149423660E-013
        179, 2.43508077058889339E-013
        180, 2.09463735688256490E-013
        181, 2.48473345855754213E-013
        182, 1.88729745512448950E-013
        183, 2.51682705480632710E-013
        184, 2.59532908018589917E-013
        185, 2.21914786118561169E-013
        186, 2.64529406113659638E-013
        187, 2.71686277227940093E-013
        188, 2.09657856451456634E-013
        189, 2.17888860733386815E-013
        190, 2.58190874403989241E-013
        191, 2.78307522324044049E-013
        192, 1.95978610394303376E-013
        193, 2.70413469447791207E-013
        194, 2.65990962348530033E-013
        195, 2.51469364751269602E-013
        196, 2.50479433440780970E-013
        197, 2.52937410248364745E-013
        198, 2.11472343137350322E-013
        199, 2.39883592338781496E-013
        200, 2.59498442051435418E-013
        201, 2.48063953819629176E-013
        202, 2.57055172804380844E-013
        203, 2.65250715307465502E-013
        204, 3.13401129395871783E-013
        205, 2.69600037520393611E-013
        206, 2.24970978659688163E-013
        207, 2.82817068721247421E-013
        208, 2.22760349570286793E-013
        209, 2.74449757215838800E-013
        210, 2.85165893382042243E-013
        211, 3.29332329600446968E-013
        212, 2.50853982508643516E-013
        213, 2.24467259789535712E-013
        214, 2.28834436758472902E-013
        215, 2.46497061958928540E-013
        216, 2.86599150903785065E-013
        217, 2.67948976987985520E-013
        218, 2.52932974485903427E-013
        219, 2.80143062383191946E-013
        220, 2.55880693573148505E-013
        221, 2.12048082293267833E-013
        222, 2.74918302977860587E-013
        223, 2.39619526125293215E-013
        224, 2.65143973851129071E-013
        225, 2.44261565460081124E-013
        226, 2.65236825829020083E-013
        227, 2.67158403050442352E-013
        228, 3.04665460412215934E-013
        229, 2.34256910931566289E-013
        230, 2.86951496121846004E-013
        231, 2.39047855404265985E-013
        232, 2.62949830300224050E-013
        233, 2.99913019396504109E-013
        234, 2.61540082949570261E-013
        235, 2.34337142572408591E-013
        236, 2.99409924189082888E-013
        237, 2.60198924005653352E-013
        238, 2.33349109623245920E-013
        239, 2.47846047732832985E-013
        240, 2.55689694547875598E-013
        241, 2.38373541237537338E-013
        242, 2.65337196852365580E-013
        243, 2.68661171850589093E-013
        244, 2.89498937855716866E-013
        245, 2.47598424552326990E-013
        246, 2.74586300086841574E-013
        247, 2.79701301895793156E-013
        248, 2.66445763735434653E-013
        249, 2.60349855914793401E-013
        250, 2.28949642093824567E-013
        251, 2.71877983586170090E-013
        252, 2.69585361744493865E-013
        253, 2.85381803629433279E-013
        254, 3.10651842470916693E-013
        255, 2.52651819571234120E-013
        256, 2.88849510423956949E-013
        257, 2.76600877648624751E-013
        258, 3.09092784666753974E-013
        259, 2.63727993900631267E-013
        260, 2.65025105930077281E-013
