         0, 2147483647,  1011, 2.56571836139011501E+304
         1,     523776,  1011, 2.65821630616394133E-001
         2,     523776,  1011, 4.83553302270251728E-001
         3,     523776,  1011, 6.41314695443170657E-001
         4,     523776,  1011, 1.06562799944132355E-001
         5,     523776,  1011, 8.08936417381477257E-002
         6,     523776,  1011, 1.51347153828429448E-002
         7,     523776,  1011, 1.91830060241589078E-003
         8,     523749,  1011, 4.24840654591301429E-005
         9,     441929,  1011, 1.77000392922244168E-008
        10,      93888,  1011, 1.67134133853091756E-014
        11,      13718,  1011, 1.79792794392818966E-015
        12,        113,  1011, 1.79084655239570246E-015
        13,          3,  1011, 1.76501693426456154E-015
        14,          0,  1011, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.84510894486677667E-013
          2, 1.71005475102731282E-013
          3, 1.64769162808360109E-013
          4, 1.78412791807565217E-013
          5, 1.91593063691103929E-013
          6, 1.99580164813298720E-013
          7, 1.92716126105415409E-013
          8, 1.91869785419707754E-013
          9, 1.87248152040070034E-013
         10, 1.96514440935487853E-013
         11, 1.86043816176826898E-013
         12, 1.93982872186689081E-013
         13, 1.74051494140813713E-013
         14, 2.00148421928412783E-013
         15, 2.15540807258532131E-013
         16, 2.02358912428942551E-013
         17, 2.11915920077086879E-013
         18, 1.94894735124471071E-013
         19, 2.13839209867895691E-013
         20, 2.06487625130170358E-013
         21, 2.05746274375930272E-013
         22, 1.80730870404305916E-013
         23, 1.98011031799767763E-013
         24, 2.16808738472082613E-013
         25, 2.01574258600536378E-013
         26, 2.06115578568008337E-013
         27, 1.90226489376738418E-013
         28, 1.61114507050782306E-013
         29, 2.25418356976369942E-013
         30, 1.80774705235265636E-013
         31, 2.08665617694904803E-013
         32, 2.15664357813807013E-013
         33, 1.78897592792284339E-013
         34, 2.14186821944232960E-013
         35, 2.00008651676916766E-013
         36, 2.04931442211812154E-013
         37, 2.10111484485993587E-013
         38, 1.88184525167930058E-013
         39, 1.85631027630154497E-013
         40, 2.15992801480150467E-013
         41, 2.18449388660477923E-013
         42, 2.10486715072204135E-013
         43, 1.86209143113628616E-013
         44, 2.07227393664561746E-013
         45, 1.82044260041609992E-013
         46, 1.73572971809268662E-013
         47, 1.83870808401416866E-013
         48, 2.16528944905767694E-013
         49, 1.77921356264888331E-013
         50, 1.81235925262740627E-013
         51, 1.69553624159579819E-013
         52, 1.55117704211896732E-013
         53, 1.90903200486095160E-013
         54, 1.82088268664401114E-013
         55, 1.82225565580815319E-013
         56, 1.74430674297528382E-013
         57, 1.84582632019789466E-013
         58, 1.79339838369273199E-013
         59, 1.92453461586663490E-013
