         0, 2147483647,  1011, 2.56571836139011501E+304
         1,     524777,  1011, 2.88183743202758968E-001
         2,     524734,  1011, 4.89568174919866206E-001
         3,     524723,  1011, 6.94913240372580843E-001
         4,     524639,  1011, 8.91659485715095013E-002
         5,     524313,  1011, 9.73649148376132083E-003
         6,     523972,  1011, 1.05861817962794145E-004
         7,     523814,  1011, 5.75143394486050352E-007
         8,     515036,  1011, 8.10240368866141328E-010
         9,     233715,  1011, 1.75142591387216142E-013
        10,      50032,  1011, 1.81054679678719672E-015
        11,       4518,  1011, 1.79170225205707619E-015
        12,         36,  1011, 1.77860915321608817E-015
        13,          5,  1011, 1.69425366382079258E-015
        14,          1,  1011, 1.42055216475654784E-015
        15,          0,  1011, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.62078516455915601E-013
          2, 1.80735978239409541E-013
          3, 1.75461206114397997E-013
          4, 2.00701876837723741E-013
          5, 2.09276127839791623E-013
          6, 2.32752524987009858E-013
          7, 1.97960798246525260E-013
          8, 1.85179779914630597E-013
          9, 1.88896985053628243E-013
         10, 1.70475265216361130E-013
         11, 2.05811573246219515E-013
         12, 1.61137686941332984E-013
         13, 1.91732853971132119E-013
         14, 1.79876697914370664E-013
         15, 1.95717165753814602E-013
         16, 2.07503732187565283E-013
         17, 1.91960192632618471E-013
         18, 2.08281862600452626E-013
         19, 2.05924568243990367E-013
         20, 1.87489937069581971E-013
         21, 2.18846710064619492E-013
         22, 2.12288320516077092E-013
         23, 2.06056566271209175E-013
         24, 1.80656266180297341E-013
         25, 1.84784696313672057E-013
         26, 1.96711760741325624E-013
         27, 2.13695614318290186E-013
         28, 1.80749095242481256E-013
         29, 1.92507951673960981E-013
         30, 1.80310865155193583E-013
         31, 1.92322271737805028E-013
         32, 1.69020284012442717E-013
         33, 2.06277239792366961E-013
         34, 1.73966727636244749E-013
         35, 1.76031768690236675E-013
         36, 2.18682574674602177E-013
         37, 1.99622047677612133E-013
         38, 1.80449013254204278E-013
         39, 1.74752525433803100E-013
         40, 1.96747986203375956E-013
         41, 2.03104441150445004E-013
         42, 1.83561437878674438E-013
         43, 1.80420319060525046E-013
         44, 1.75361105905710813E-013
         45, 1.90538316503012160E-013
         46, 1.95817261344250998E-013
         47, 1.96196318630104888E-013
         48, 2.11677447753747330E-013
         49, 2.22812479698634984E-013
         50, 2.10131173026681592E-013
         51, 1.87972746181189287E-013
         52, 1.86676111100963309E-013
         53, 1.77985047429072348E-013
         54, 1.78500254653200598E-013
         55, 2.50004293181449795E-013
         56, 1.86200163967867663E-013
         57, 1.96562412821565127E-013
         58, 1.73211767310617116E-013
         59, 1.82432678797521761E-013
         60, 2.05424482242722616E-013
         61, 2.14128723294139147E-013
         62, 2.27064740435165689E-013
         63, 2.09599766222315356E-013
         64, 2.04196628657315009E-013
         65, 2.07733502470755764E-013
         66, 2.10976010592767275E-013
         67, 1.93107599971403502E-013
         68, 1.70789952352836385E-013
         69, 2.25637570068542503E-013
         70, 2.12105802536650238E-013
         71, 1.87030852568495310E-013
         72, 1.96116711041567511E-013
         73, 2.33835867283679011E-013
         74, 1.85205798980645979E-013
         75, 2.04150328097104395E-013
         76, 2.42820431207564197E-013
         77, 2.29623963201600217E-013
         78, 1.89028752020552995E-013
         79, 1.99385648363593713E-013
         80, 2.05031516796036324E-013
         81, 1.85348796089000375E-013
         82, 2.11060149739874439E-013
         83, 1.89821899187098607E-013
         84, 1.92209949227855466E-013
         85, 2.39230923949216736E-013
         86, 2.46198032555247210E-013
         87, 2.21387474622991343E-013
         88, 2.12063420105342286E-013
         89, 2.08815034368619540E-013
         90, 2.01676818844428403E-013
         91, 2.33287937356523472E-013
         92, 2.22684727730283053E-013
         93, 2.04088417819816254E-013
         94, 2.21116373297470472E-013
         95, 1.94781071858201849E-013
         96, 1.83700231008283019E-013
         97, 2.06458559471444657E-013
         98, 1.83733355796834685E-013
         99, 1.92797735777875677E-013
        100, 2.32053786473744288E-013
        101, 2.30011097331263489E-013
        102, 1.84958708189454205E-013
        103, 1.88191275911605196E-013
        104, 2.09624491031617722E-013
        105, 2.48185347475760837E-013
        106, 2.05538335398941554E-013
        107, 2.30448858717684935E-013
        108, 2.27127259216821015E-013
        109, 2.47177626648421221E-013
        110, 1.90722934673503423E-013
        111, 2.08312491851217782E-013
        112, 2.34358881667707260E-013
        113, 2.28588663246845617E-013
        114, 2.05345518875806393E-013
        115, 2.26393413528901720E-013
        116, 2.31677523094765370E-013
        117, 2.17380688377412268E-013
        118, 2.20976855538885021E-013
        119, 2.04191540600599376E-013
        120, 2.06792575968757282E-013
        121, 2.24662549302842680E-013
        122, 2.50867788933742155E-013
        123, 2.29690811875101972E-013
        124, 2.18039928990820895E-013
        125, 2.56715761291774900E-013
        126, 2.01157193643701100E-013
        127, 1.95415431219408986E-013
        128, 2.43245172187836273E-013
        129, 2.46788897836685533E-013
        130, 2.06959980386136394E-013
        131, 2.19833298570909752E-013
        132, 1.94269599498290180E-013
        133, 2.17131090953747549E-013
        134, 2.07615059505989511E-013
        135, 2.22375414178974099E-013
        136, 2.13532007799549830E-013
        137, 2.09605216834277186E-013
        138, 2.44606518608659466E-013
        139, 1.94729912108134210E-013
        140, 2.05562524497953095E-013
        141, 2.75710154188407251E-013
        142, 2.31037701300628552E-013
        143, 2.19079172356678457E-013
        144, 2.02030251964720352E-013
        145, 2.23065453150803202E-013
        146, 2.07023948022244395E-013
        147, 2.14081414968590675E-013
        148, 2.19226761463798248E-013
        149, 1.96959837719415497E-013
        150, 2.63842989263789458E-013
        151, 2.01163585741442365E-013
        152, 2.07083734824556302E-013
        153, 2.31671590867495712E-013
        154, 2.28891583180973321E-013
        155, 1.97975329526664172E-013
        156, 2.11661096846754620E-013
        157, 2.21142868664303119E-013
        158, 2.38707363000284925E-013
        159, 2.54862773137545723E-013
        160, 2.79397829737520961E-013
        161, 2.16445164761872334E-013
        162, 2.35435134447885419E-013
        163, 2.30427175674918032E-013
        164, 2.11616240054725900E-013
        165, 2.31630021781591201E-013
        166, 2.46210211257719355E-013
        167, 2.24755782420646947E-013
        168, 2.31304540003276713E-013
        169, 2.52259975165728406E-013
        170, 1.91229946089706996E-013
        171, 2.30328053823761101E-013
        172, 2.50500455224401562E-013
        173, 2.43530112949153809E-013
        174, 2.25241188582051283E-013
        175, 2.12436598414651541E-013
        176, 2.14510031674437742E-013
        177, 2.08110416789878735E-013
        178, 2.53342693072296588E-013
        179, 2.17876754208701640E-013
        180, 2.18409260890650955E-013
        181, 2.38493141088304368E-013
        182, 1.95150092480671064E-013
        183, 2.46152281336963340E-013
        184, 2.11018660298038044E-013
        185, 2.24716062333730689E-013
        186, 2.51362872703772413E-013
        187, 2.06210213711082949E-013
        188, 1.93529364646996727E-013
        189, 2.25986768597754825E-013
        190, 2.76505023034316655E-013
        191, 2.61969715553995885E-013
        192, 2.07254305891998450E-013
        193, 2.33747992226851048E-013
        194, 2.34727158167082981E-013
        195, 2.30300190776155894E-013
        196, 2.64722024025160443E-013
        197, 2.40031334560567298E-013
        198, 2.62578814498331791E-013
        199, 2.22048073658717900E-013
        200, 2.68465024510520792E-013
        201, 2.66688432586564230E-013
        202, 2.22835257726760868E-013
        203, 2.80466515642739423E-013
        204, 3.25559669362285752E-013
        205, 3.03954432040345848E-013
        206, 2.15882867916687502E-013
        207, 2.98732919961877152E-013
        208, 2.15528316659851821E-013
        209, 2.97682943935392696E-013
        210, 2.68077649429298754E-013
        211, 3.14135186566500841E-013
        212, 2.74989249082289552E-013
        213, 2.09134432686928589E-013
        214, 2.45956409215882733E-013
        215, 2.34454996131772244E-013
        216, 2.98674927187669460E-013
        217, 2.88274213700353271E-013
        218, 2.46242715586511536E-013
        219, 2.67981994175524118E-013
        220, 2.59624747398253808E-013
        221, 2.61375334295950812E-013
        222, 3.09636300287404637E-013
        223, 2.42136633786790414E-013
        224, 2.28351009151938518E-013
        225, 2.21046760085299396E-013
        226, 2.59538015354958032E-013
        227, 2.77771293574108834E-013
        228, 2.29698815036646982E-013
        229, 2.55196231259239148E-013
        230, 2.79553387239858757E-013
        231, 2.36755829899382797E-013
        232, 2.25849036808571057E-013
        233, 2.70392346433068573E-013
        234, 2.66186719525007320E-013
        235, 2.15567691224037560E-013
        236, 2.68960869589968988E-013
        237, 2.51996120422367719E-013
        238, 2.25003125697592159E-013
        239, 2.45403547214486225E-013
