         0, 2147483647,  1011, 2.56571836139011501E+304
         1,     523776,  1011, 2.65821635028169745E-001
         2,     523776,  1011, 4.94752223529552448E-001
         3,     523776,  1011, 6.32237079466620777E-001
         4,     523776,  1011, 9.76965463332081924E-002
         5,     523776,  1011, 6.49329397888805393E-002
         6,     523776,  1011, 1.34559300701909031E-002
         7,     523776,  1011, 9.24720907171797395E-004
         8,     523735,  1011, 1.06895984109219048E-005
         9,     423785,  1011, 1.54498720195276017E-008
        10,      94804,  1011, 3.58029565585912981E-013
        11,      12962,  1011, 1.78754824662988992E-015
        12,         62,  1011, 1.78300210551291617E-015
        13,          8,  1011, 1.77661571432956333E-015
        14,          0,  1011, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.00708799255553705E-013
          2, 1.77174366394911216E-013
          3, 1.76931854398322545E-013
          4, 1.81865889639524627E-013
          5, 1.97862807051040419E-013
          6, 2.11476283642355518E-013
          7, 1.84633267350343620E-013
          8, 2.14220411172026863E-013
          9, 1.77490296249304160E-013
         10, 1.86216723740345761E-013
         11, 1.89399485123314778E-013
         12, 1.84363841485034970E-013
         13, 1.73425873480808933E-013
         14, 1.77520832080848914E-013
         15, 2.15751302889407899E-013
         16, 2.06417463472446021E-013
         17, 1.91890722134629614E-013
         18, 1.90817975206638473E-013
         19, 1.92534289534917712E-013
         20, 2.21314347988084078E-013
         21, 1.89281695601550497E-013
         22, 2.33811982205468503E-013
         23, 2.15568995508926729E-013
         24, 1.95195091336475250E-013
         25, 1.84341920356661946E-013
         26, 2.36514441823025823E-013
         27, 2.07628065723058403E-013
         28, 2.11886690219664008E-013
         29, 2.21817046999439129E-013
         30, 1.88800806653644297E-013
         31, 1.90186178163817798E-013
         32, 2.03539394510289436E-013
         33, 2.05980746227366476E-013
         34, 2.49862727054456548E-013
         35, 1.94789934460921426E-013
         36, 1.96847919622337787E-013
         37, 1.99293291982615061E-013
         38, 1.99476765589835888E-013
         39, 2.23399258864745444E-013
         40, 1.99558450868872579E-013
         41, 1.90743292383601087E-013
         42, 1.96813382577701855E-013
         43, 1.98358494119881443E-013
         44, 2.02878329368131982E-013
         45, 2.19833428986926660E-013
         46, 2.11024481792750369E-013
         47, 1.87873581770674030E-013
         48, 1.69781074003603522E-013
         49, 1.82136803967896228E-013
         50, 2.17287657056138460E-013
         51, 1.86133617454437634E-013
         52, 1.68456273496007848E-013
         53, 2.20148036362975553E-013
         54, 1.82134837477228494E-013
         55, 2.09324244590525046E-013
         56, 2.01358866061849449E-013
         57, 1.71102275766603742E-013
         58, 1.97419359597952100E-013
         59, 1.89752254177457514E-013
         60, 1.97495287657399988E-013
         61, 2.07767201745156522E-013
         62, 2.00425274705208646E-013
         63, 2.20810797920220884E-013
         64, 2.21750832247780393E-013
         65, 2.18387451077507416E-013
         66, 2.13814613989334060E-013
         67, 1.84729496466936667E-013
         68, 1.91663376949350843E-013
         69, 1.76768632879876680E-013
         70, 2.15420801521894023E-013
         71, 2.00794405070100734E-013
         72, 1.95587912573489458E-013
         73, 1.95584653790550001E-013
         74, 2.02562760542302649E-013
         75, 2.06241875316942410E-013
         76, 2.03717450083226751E-013
         77, 2.11318968626259140E-013
         78, 2.30457075634363002E-013
         79, 2.26770774488407264E-013
         80, 2.13220546377207425E-013
         81, 2.07589763458785221E-013
         82, 2.12123427685025509E-013
         83, 1.93749073441770479E-013
         84, 1.98334290575552736E-013
         85, 2.32927265714540822E-013
         86, 2.45435448537530451E-013
         87, 2.30206542459844934E-013
         88, 1.65815807698947042E-013
         89, 2.13534940111868725E-013
         90, 1.86638435396884868E-013
         91, 2.11664386706951808E-013
         92, 2.01122021647532209E-013
         93, 2.35615800402741395E-013
         94, 2.06065151356704620E-013
         95, 2.48811218105765217E-013
         96, 2.09793455137013096E-013
         97, 2.38390689230475877E-013
         98, 2.48378105847476834E-013
         99, 1.81546811046475134E-013
        100, 2.31840165477049321E-013
        101, 2.44668047829174839E-013
        102, 2.39640549619823359E-013
        103, 2.10920004067889544E-013
        104, 1.95676076457634271E-013
        105, 2.35872697305448125E-013
        106, 2.08455437760123735E-013
        107, 2.30413239473986990E-013
        108, 1.93022225668569681E-013
        109, 2.19631831211006028E-013
        110, 1.64046826473727580E-013
        111, 1.99176254512233988E-013
        112, 2.11862722999335831E-013
        113, 2.28242029578500178E-013
        114, 2.41244117492532791E-013
        115, 1.96232161789658295E-013
        116, 2.11103067958347192E-013
        117, 2.39460909529134577E-013
        118, 2.32022908441578699E-013
        119, 2.38776611616492681E-013
        120, 2.44114674070506556E-013
        121, 2.30944933356917921E-013
        122, 2.04691261173746706E-013
        123, 2.05540488783008833E-013
        124, 2.13476305899518721E-013
        125, 2.10714484457010213E-013
        126, 2.50876750179882732E-013
        127, 2.31575991302133378E-013
        128, 2.18765505531501794E-013
        129, 2.28349137554677061E-013
        130, 2.07476063210376934E-013
        131, 2.36070129895660422E-013
        132, 2.13759870903517231E-013
        133, 1.99821061681277398E-013
        134, 2.25045222231505003E-013
        135, 2.01561472454533590E-013
        136, 2.23047388988091712E-013
        137, 2.15660409313654486E-013
        138, 2.17356228951585232E-013
        139, 2.30749265588576216E-013
        140, 2.19408467413044693E-013
        141, 2.32555140234652886E-013
        142, 2.41729654521881390E-013
        143, 2.16543566792939941E-013
        144, 2.03598197536598663E-013
        145, 2.56851097555031612E-013
        146, 2.25930056737541798E-013
        147, 2.26392055929863971E-013
        148, 2.39255352430207489E-013
        149, 2.30360297008546967E-013
        150, 2.28397303696458740E-013
        151, 2.20716979679329411E-013
        152, 1.90933581799622084E-013
        153, 2.34300279888881302E-013
        154, 2.27724227328222849E-013
        155, 2.32379508240964849E-013
        156, 1.93811775546053026E-013
        157, 1.94917694683174991E-013
        158, 2.11993319342878509E-013
        159, 2.15719907939440024E-013
        160, 2.55964507627563669E-013
        161, 2.28620734592802258E-013
        162, 2.15594682698899582E-013
        163, 2.54914671967089115E-013
        164, 2.50757398577581397E-013
        165, 2.52451146942822050E-013
        166, 1.97674909104144733E-013
        167, 2.81055618801803863E-013
        168, 2.46748641035075250E-013
        169, 2.51194070698791518E-013
        170, 2.03016137916547885E-013
        171, 2.34386271430686924E-013
        172, 2.25925018312828967E-013
        173, 2.33039693169532376E-013
        174, 2.41692544165611060E-013
        175, 2.36025786607544161E-013
        176, 2.10024375836922047E-013
        177, 2.13755024978841459E-013
        178, 2.39996442222226392E-013
        179, 2.34595698900221796E-013
        180, 2.56470280935680382E-013
        181, 2.05426312795666739E-013
        182, 2.25891040622241516E-013
        183, 2.59270463033654511E-013
        184, 2.27314996523259922E-013
        185, 2.58193382101968179E-013
        186, 2.60834419960243478E-013
        187, 1.92934595314262549E-013
        188, 2.10011218478382521E-013
        189, 2.12750913380503443E-013
        190, 2.39388724720582513E-013
        191, 2.52160718470927486E-013
        192, 2.31544219917416500E-013
        193, 2.44663085251104885E-013
        194, 2.25411085394709062E-013
        195, 2.23069124050573187E-013
        196, 2.20670491232913948E-013
        197, 2.23386046807151258E-013
        198, 2.07359847229948708E-013
        199, 1.98507499615395978E-013
        200, 2.37881650799986480E-013
        201, 2.59616295823000937E-013
        202, 2.55622379705842655E-013
        203, 2.54301533268336560E-013
        204, 2.62345722653060849E-013
        205, 2.64599957371790528E-013
        206, 2.31041853081484264E-013
        207, 2.56787130492123703E-013
        208, 2.69970945686864709E-013
        209, 2.23969771182294649E-013
        210, 2.73278665938846945E-013
        211, 3.05780272818029864E-013
        212, 2.27046879110036468E-013
        213, 2.60303669331148814E-013
        214, 2.46437295348004912E-013
        215, 2.50715437585859679E-013
        216, 2.60297646128676915E-013
        217, 2.52309911225205990E-013
        218, 2.80776199097442674E-013
        219, 2.57575008495079147E-013
        220, 2.31817529959185416E-013
        221, 2.37796084475171217E-013
        222, 2.01191124291810250E-013
        223, 2.00204875142395611E-013
        224, 2.76000723432784554E-013
        225, 2.47601824828474698E-013
        226, 2.31058063027218355E-013
        227, 2.66099871291767768E-013
        228, 2.63936077174428104E-013
        229, 2.38839817938206306E-013
        230, 2.71098339887139321E-013
        231, 2.60286814183265667E-013
        232, 2.71149627787164573E-013
        233, 2.32006896883453170E-013
        234, 2.50008751697009996E-013
        235, 2.22490263022853720E-013
        236, 2.27981124618655396E-013
        237, 2.18556083090582370E-013
        238, 2.09352781227990530E-013
        239, 2.35143631748579350E-013
        240, 2.05019030781854790E-013
        241, 2.75182556285855994E-013
        242, 2.52810367393478545E-013
        243, 2.70457569193016712E-013
        244, 2.68405274817069152E-013
        245, 2.93466293221821088E-013
        246, 2.32698544934627575E-013
        247, 2.42823757088045655E-013
        248, 2.64741758945058636E-013
        249, 2.36549509295546239E-013
        250, 2.50314167052181454E-013
        251, 2.68242241031618752E-013
        252, 2.06827717445766152E-013
        253, 2.22589637475470799E-013
        254, 2.30132340176158530E-013
        255, 2.42881514562365221E-013
        256, 2.52829979243061605E-013
        257, 2.43365393003899464E-013
        258, 2.50501753860715758E-013
        259, 2.22666598049519708E-013
        260, 2.55789209023891881E-013
        261, 2.38036207765284411E-013
        262, 2.54441164555961541E-013
        263, 2.41134229630582685E-013
        264, 2.55392674523699129E-013
        265, 2.73460201433171587E-013
        266, 2.92755503876633169E-013
        267, 2.37083978458362430E-013
        268, 2.60848306795536949E-013
        269, 2.90095884074857477E-013
        270, 2.56711623562430477E-013
        271, 2.71345055547579897E-013
        272, 2.64787588179144865E-013
        273, 2.95511859037440318E-013
        274, 2.77515649484234184E-013
        275, 2.84113660600613309E-013
        276, 2.46592172184805952E-013
        277, 2.59793051824188706E-013
        278, 2.57754733009558305E-013
        279, 2.91851067224358988E-013
        280, 2.36686034295061513E-013
        281, 2.50833757852859538E-013
        282, 3.16644022965159728E-013
        283, 3.08496093234912265E-013
        284, 2.38595488730133624E-013
        285, 2.68070829698554465E-013
        286, 2.20488796240414882E-013
        287, 2.53639399387719865E-013
        288, 2.56783862833327989E-013
        289, 2.39158235794236604E-013
        290, 2.73155026069155807E-013
        291, 2.47207160777672126E-013
        292, 2.58817777681082984E-013
        293, 2.77425578117905586E-013
        294, 2.70283709497576621E-013
        295, 2.56596392701717883E-013
        296, 2.79451814321932469E-013
        297, 2.80327605958129654E-013
        298, 2.83306509177459421E-013
        299, 2.81388129908530754E-013
        300, 2.82093553149510470E-013
        301, 2.28993075824593376E-013
        302, 2.67428116371569302E-013
        303, 2.66983957534561965E-013
        304, 2.76774293526247539E-013
        305, 2.95055890145430587E-013
        306, 2.35822688455285752E-013
        307, 2.97537004204163030E-013
        308, 3.04248816525727909E-013
        309, 2.69234405952774350E-013
        310, 2.94418594463319754E-013
        311, 2.74963384673425759E-013
        312, 2.68317729453541035E-013
        313, 2.89061401632170866E-013
        314, 2.65690453937731418E-013
        315, 2.62904853332719718E-013
        316, 2.45557316514370601E-013
        317, 2.96145274290617252E-013
        318, 2.63328497565672931E-013
        319, 2.64538698971063764E-013
        320, 2.26589211117017121E-013
        321, 2.54104016199227472E-013
        322, 2.56812307632083813E-013
        323, 2.47443626756175553E-013
        324, 2.50457702525328248E-013
        325, 2.50879630042931568E-013
        326, 2.47403929092942258E-013
        327, 2.74425541349071947E-013
        328, 2.78954690212178480E-013
        329, 2.62430079666249545E-013
        330, 2.75561266606049295E-013
        331, 2.63749614976910394E-013
        332, 2.60491073196456265E-013
        333, 2.67110693999662846E-013
        334, 3.05304143920057652E-013
        335, 2.88215012076952709E-013
        336, 2.90355589328732568E-013
        337, 2.67269013677752536E-013
        338, 2.75199388232716858E-013
