         0, 2147483647,  1015, 3.44677634975941827E+305
         1,       8242,  1014, 5.17686279599092636E-001
         2,       8220,  1014, 6.31838380901428631E-001
         3,       8184,  1014, 9.11910365004944684E-002
         4,       8144,  1014, 5.04968463679461837E-003
         5,       8131,  1014, 1.37923646683006977E-004
         6,       8128,  1014, 5.07113336976596031E-007
         7,       6500,  1014, 1.38267267636019390E-010
         8,        915,  1014, 6.35618627625895409E-016
         9,         69,  1014, 0.00000000000000000E+000
        10,          3,  1014, 0.00000000000000000E+000
        11,          0,  1014, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 9.71264143084034170E-015
          2, 1.05246784954744272E-014
          3, 9.16921254863275583E-015
          4, 8.88353084380160201E-015
          5, 1.46282964942864324E-014
          6, 8.76630438358844905E-015
          7, 1.03696189893660383E-014
          8, 1.06081870543136822E-014
          9, 1.07001412346030579E-014
         10, 1.10246953066762138E-014
         11, 9.84150894147226555E-015
         12, 1.17308111758042397E-014
         13, 1.24651319823047631E-014
         14, 1.46981833840649138E-014
         15, 1.54353245683414129E-014
         16, 8.92963116898297340E-015
         17, 1.17649998844992170E-014
         18, 1.25634732521576561E-014
         19, 9.57098045919446325E-015
         20, 1.22105869211290107E-014
         21, 1.36614239911860235E-014
         22, 1.00645462984502911E-014
         23, 1.99441160026817408E-014
         24, 1.24655568479266285E-014
         25, 1.29269580257746465E-014
         26, 1.64822572510918926E-014
         27, 1.20618897111235321E-014
         28, 1.34869668665818764E-014
         29, 9.80545801656637735E-015
         30, 1.05891342104042204E-014
         31, 1.60036367429078135E-014
         32, 1.90386365011654121E-014
         33, 1.51141304047715286E-014
         34, 1.45902416767098173E-014
         35, 1.89912541532507817E-014
         36, 1.37043719715125851E-014
         37, 1.52816106233590606E-014
         38, 1.49049164667202996E-014
         39, 1.47076075826858880E-014
         40, 1.50616949558290892E-014
         41, 1.69831502505658434E-014
         42, 1.17784938370751541E-014
         43, 1.28487232532811593E-014
         44, 1.62570151679910814E-014
         45, 1.47845315484891051E-014
         46, 2.32479666898994711E-014
         47, 1.43207824033468027E-014
         48, 2.01236506883794945E-014
         49, 2.03722070694994594E-014
         50, 1.83035528604781752E-014
         51, 1.58718770624105657E-014
         52, 1.63767722673575724E-014
         53, 1.90064941057338412E-014
         54, 1.86151872779765362E-014
         55, 3.79700607413418333E-014
         56, 2.24127136150080344E-014
         57, 2.53575071768749175E-014
         58, 2.40548107456370935E-014
         59, 4.26094870131101979E-014
         60, 3.03245904010034728E-014
         61, 2.19189730297856191E-014
         62, 3.04012695415176204E-014
         63, 4.44059729775803990E-014
         64, 4.02587241197548721E-014
         65, 9.20029469113789261E-015
         66, 7.05343190788945271E-015
         67, 5.98803272642949633E-015
         68, 1.14155862575890356E-014
         69, 1.02261618403577683E-014
         70, 8.75625649763494674E-015
         71, 1.28725662651592828E-014
         72, 1.03107856402902358E-014
         73, 8.78882094830086197E-015
         74, 1.28622019500722765E-014
         75, 9.12907169801934968E-015
         76, 1.41079469873845362E-014
         77, 1.15339765444186130E-014
         78, 1.50092977690197575E-014
         79, 1.15595896216648150E-014
         80, 1.55332079955133104E-014
         81, 9.75929796376884235E-015
         82, 7.00268873794219838E-015
         83, 1.44589930359660909E-014
         84, 1.29635512224421702E-014
         85, 1.39162471568021640E-014
         86, 1.44006132507069035E-014
         87, 1.40910443276008447E-014
         88, 1.40155859058601536E-014
         89, 1.47127758607243384E-014
         90, 1.52847609942417194E-014
         91, 1.62664388207796883E-014
         92, 1.28203297134015870E-014
         93, 1.23230702252567743E-014
         94, 1.04906251206218771E-014
         95, 1.46278726419151755E-014
         96, 1.18853689846595737E-014
         97, 1.47844677365527455E-014
         98, 1.82469227111973913E-014
         99, 1.08532334671266160E-014
        100, 1.73472536708818997E-014
        101, 1.30736404874935782E-014
        102, 1.23745091515818895E-014
        103, 1.80931889429615781E-014
        104, 1.47827887492718806E-014
        105, 1.62797366836632503E-014
        106, 1.64808359461861752E-014
        107, 1.76114932449235455E-014
        108, 1.39753913276578521E-014
        109, 1.68078692848330905E-014
        110, 1.68619974509575528E-014
        111, 1.94976138421967057E-014
        112, 2.13152364811967023E-014
        113, 2.47787614130384525E-014
        114, 2.03322977199326154E-014
        115, 2.43713452171621159E-014
        116, 1.88959850430176238E-014
        117, 2.27714624390717211E-014
        118, 2.68677389790230400E-014
        119, 2.52343560065890317E-014
        120, 1.90166194659375165E-014
        121, 2.01128191181254388E-014
        122, 2.94262223744981014E-014
        123, 2.45934076679460612E-014
        124, 2.95613102948853318E-014
        125, 2.80392912115311564E-014
        126, 3.79920127700118200E-014
        127, 4.38395437993088436E-014
        128, 4.74667449546022959E-014
       -128, 4.74667449546022959E-014
          0, 6.20388860074762101E-015
