         0, 2147483647,  1015, 3.44677634975941827E+305
         1,       8128,  1014, 4.63488724157446519E-001
         2,       8128,  1014, 6.29714167439387906E-001
         3,       8128,  1014, 1.50998773262511793E-001
         4,       8128,  1014, 2.35600334312063391E-002
         5,       8128,  1014, 8.29438767178669058E-004
         6,       8128,  1014, 6.72935069694455374E-006
         7,       7819,  1014, 8.66021060232600087E-009
         8,       2141,  1014, 1.48142068293436157E-013
         9,        179,  1014, 5.92552264584435886E-016
        10,          1,  1014, 0.00000000000000000E+000
        11,          0,  1014, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.03136188177437813E-014
          2, 1.86071423970901564E-014
          3, 9.83669034486122757E-015
          4, 9.54346106702637114E-015
          5, 1.22047565767003287E-014
          6, 1.09597014816152573E-014
          7, 1.14250185722321804E-014
          8, 1.01255447737514840E-014
          9, 9.68059517164618828E-015
         10, 1.05084753808629751E-014
         11, 1.27309483562115707E-014
         12, 1.30296162938861611E-014
         13, 1.15652156518044024E-014
         14, 1.90620259378668075E-014
         15, 9.13054385311283838E-015
         16, 1.47345109949470267E-014
         17, 9.28391918873466133E-015
         18, 1.04077708631356485E-014
         19, 8.17579210199754716E-015
         20, 1.38888143142648788E-014
         21, 1.33343820238567378E-014
         22, 1.57966188337147627E-014
         23, 9.74653108700383926E-015
         24, 1.33529439075161228E-014
         25, 1.39055892693032652E-014
         26, 1.35137346173900809E-014
         27, 1.30836918538537187E-014
         28, 1.61864698988934709E-014
         29, 1.58495027450472973E-014
         30, 1.60363748918457908E-014
         31, 1.31906955037019771E-014
         32, 1.78018357080838976E-014
         33, 1.17602221994085654E-014
         34, 1.39946646889712828E-014
         35, 2.03415881113476849E-014
         36, 2.21003102608556202E-014
         37, 1.63876253605424634E-014
         38, 1.48136019493008598E-014
         39, 1.68753576097053393E-014
         40, 2.12679138880429424E-014
         41, 1.40949856099806681E-014
         42, 1.54149080671166272E-014
         43, 1.65863750514460700E-014
         44, 1.49349081677283179E-014
         45, 1.89395986800790586E-014
         46, 2.15520672694507056E-014
         47, 1.79620195562331095E-014
         48, 3.00105558333047204E-014
         49, 2.02337903888636302E-014
         50, 2.01803895658843989E-014
         51, 2.39442462714555280E-014
         52, 1.81045330540124868E-014
         53, 2.58683806484662217E-014
         54, 2.07510949909482361E-014
         55, 2.75864233544469707E-014
         56, 2.67324191092017438E-014
         57, 2.47061748761097644E-014
         58, 2.35563496855284291E-014
         59, 4.99786506617961720E-014
         60, 2.73948746464213563E-014
         61, 3.21147246784135909E-014
         62, 3.33067018553495730E-014
         63, 3.02558784227602961E-014
         64, 3.46507391787897284E-014
         65, 6.77210551777183114E-015
         66, 1.14446396666277496E-014
         67, 9.50515874316714031E-015
         68, 1.05809785035958533E-014
         69, 1.12267481753446636E-014
         70, 8.35370620040534405E-015
         71, 1.21281469707298796E-014
         72, 1.19970649978444415E-014
         73, 8.86453163839024353E-015
         74, 1.11285367914490939E-014
         75, 9.15803976417319730E-015
         76, 1.72697878045901344E-014
         77, 1.35862589648949657E-014
         78, 9.57238791009624232E-015
         79, 1.11351837056652548E-014
         80, 1.23411628915453247E-014
         81, 1.37446632771499921E-014
         82, 1.15425435968409719E-014
         83, 1.61270955191795426E-014
         84, 1.54062278644563240E-014
         85, 1.22841938490374349E-014
         86, 1.32894326396965731E-014
         87, 1.46081941862809836E-014
         88, 1.13492821436535542E-014
         89, 1.67652257011772223E-014
         90, 1.31799374049806396E-014
         91, 1.42261246762927104E-014
         92, 1.31751317479609078E-014
         93, 1.44942582998564873E-014
         94, 1.41769087295973864E-014
         95, 1.09033762317708294E-014
         96, 1.26115832426929975E-014
         97, 1.18417723299024900E-014
         98, 1.95689026891442303E-014
         99, 1.62187379831817341E-014
        100, 1.67282330747908875E-014
        101, 1.95676903045558877E-014
        102, 1.42411600767074402E-014
        103, 1.76774635987038566E-014
        104, 1.94105208918434247E-014
        105, 1.76639572479302685E-014
        106, 1.13234817773911964E-014
        107, 2.36549068268336297E-014
        108, 1.97738134980987524E-014
        109, 1.61659412560501489E-014
        110, 1.70972108720356428E-014
        111, 1.94979423222272291E-014
        112, 1.93575347101281926E-014
        113, 2.35868719202435074E-014
        114, 2.03407635674667986E-014
        115, 2.21715323309339123E-014
        116, 2.16909639379586238E-014
        117, 3.12547669876163347E-014
        118, 2.14684886433496041E-014
        119, 2.85655984085698840E-014
        120, 2.17720220553935228E-014
        121, 2.30365422756806740E-014
        122, 2.47400067446381764E-014
        123, 2.29483663816051900E-014
        124, 3.33841433371832498E-014
        125, 3.70486112482581696E-014
        126, 4.21494366336124255E-014
        127, 4.06360647772617212E-014
        128, 5.23210457248474548E-014
       -128, 5.23210457248474548E-014
          0, 7.18813379084513866E-015
