         0, 2147483647,  1015, 3.44677634975941827E+305
         1,       8242,  1014, 5.17686279599089416E-001
         2,       8220,  1014, 6.31838380901431074E-001
         3,       8184,  1014, 9.11910365004955509E-002
         4,       8144,  1014, 5.04968463679401902E-003
         5,       8131,  1014, 1.37923646683101546E-004
         6,       8128,  1014, 5.07113336968385423E-007
         7,       6496,  1014, 1.38267276918320751E-010
         8,        916,  1014, 6.35220391294168149E-016
         9,         68,  1014, 0.00000000000000000E+000
        10,          0,  1014, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.16494426431632949E-014
          2, 1.12667577297338057E-014
          3, 1.11453812032711997E-014
          4, 7.96000672317579342E-015
          5, 1.14898398247049137E-014
          6, 1.10021511528391448E-014
          7, 1.62062717747741217E-014
          8, 1.27282717962866378E-014
          9, 1.01827182391483444E-014
         10, 1.32380181643755330E-014
         11, 1.16004254697303041E-014
         12, 1.06785459975983444E-014
         13, 1.25273748332559814E-014
         14, 1.12608901750895631E-014
         15, 1.34590219127345260E-014
         16, 1.18142484528915074E-014
         17, 7.69912167484584480E-015
         18, 1.24034881179499772E-014
         19, 9.99696226062619091E-015
         20, 9.86806098848487615E-015
         21, 1.28756462635108941E-014
         22, 9.69279849084887303E-015
         23, 1.54216879058605876E-014
         24, 9.82601590299880919E-015
         25, 9.98715156181054809E-015
         26, 1.58293115896905549E-014
         27, 1.27586652183376314E-014
         28, 1.46556122603305094E-014
         29, 1.16464756266552170E-014
         30, 1.10927544530842247E-014
         31, 1.69062114486626153E-014
         32, 1.97509835923574973E-014
         33, 1.34033097290571287E-014
         34, 1.50062576203667373E-014
         35, 2.00583877126773877E-014
         36, 1.68809500399369502E-014
         37, 1.33968855091537911E-014
         38, 1.68196367119198653E-014
         39, 1.34642962407195198E-014
         40, 1.59014562939795999E-014
         41, 1.25064481985102179E-014
         42, 1.42269045003000212E-014
         43, 1.41385757228960956E-014
         44, 1.16536392006089635E-014
         45, 2.05848567719574798E-014
         46, 2.92930520122503411E-014
         47, 1.35040005635961976E-014
         48, 2.14971386754588219E-014
         49, 1.74669114996201234E-014
         50, 1.46341306166844627E-014
         51, 2.08275303117003764E-014
         52, 1.96551367264380768E-014
         53, 1.93516693096541366E-014
         54, 1.89715985922097425E-014
         55, 3.18081755835507727E-014
         56, 2.27128876181631620E-014
         57, 2.58442780215850928E-014
         58, 2.27554068487024162E-014
         59, 4.77265602651304419E-014
         60, 2.07108134770383223E-014
         61, 3.18045526184033692E-014
         62, 2.76786843298634990E-014
         63, 3.82069265204099174E-014
         64, 3.94765403483562338E-014
         65, 8.18290478970607558E-015
         66, 1.00251172930498352E-014
         67, 1.14402891947639528E-014
         68, 1.36708668186173227E-014
         69, 1.09779943575724091E-014
         70, 9.52943678938035950E-015
         71, 1.14434659627684132E-014
         72, 1.07692439752994665E-014
         73, 1.08550285412828435E-014
         74, 1.27537448372960786E-014
         75, 1.16089009294269363E-014
         76, 1.31888048487687135E-014
         77, 9.45123732555874605E-015
         78, 1.17182133745722955E-014
         79, 1.21767322136642697E-014
         80, 1.07358030114296275E-014
         81, 1.36259244053263316E-014
         82, 1.03995464163566694E-014
         83, 1.32974348598203814E-014
         84, 9.54148350021402816E-015
         85, 8.86041776877781634E-015
         86, 1.58392305762442820E-014
         87, 1.17175958776906966E-014
         88, 1.46064027204674296E-014
         89, 2.24381311939797439E-014
         90, 1.33744845232241151E-014
         91, 1.47409827951080198E-014
         92, 1.28399488335490380E-014
         93, 1.39494538281924550E-014
         94, 9.85721207683391653E-015
         95, 1.54244820553057346E-014
         96, 1.41642928542312542E-014
         97, 1.42108549993966863E-014
         98, 1.57646481953106667E-014
         99, 1.31706596197811686E-014
        100, 1.66104819996718083E-014
        101, 1.40103613562671888E-014
        102, 1.25516218480901148E-014
        103, 1.68773346575569293E-014
        104, 1.72353905279129006E-014
        105, 1.81101813989491143E-014
        106, 1.34640942430265468E-014
        107, 1.50368233931632445E-014
        108, 1.01703702948405582E-014
        109, 2.04497784388657342E-014
        110, 1.75901019716671026E-014
        111, 1.98988343367714581E-014
        112, 2.12356803509755933E-014
        113, 1.76891115979488706E-014
        114, 1.49107873988190815E-014
        115, 2.48500615554281545E-014
        116, 1.85323590741054442E-014
        117, 2.30994972670611346E-014
        118, 2.58397984551625489E-014
        119, 1.93905968756548403E-014
        120, 3.06102436839405893E-014
        121, 2.63108965910017727E-014
        122, 3.19391799234525003E-014
        123, 1.78814757666761184E-014
        124, 2.51846608317323180E-014
        125, 2.74745498900868172E-014
        126, 2.84632374080814921E-014
        127, 3.86317470313483065E-014
        128, 5.17807978838465706E-014
       -128, 5.17807978838465706E-014
          0, 6.38943504390786630E-015
