         0, 2147483647,  1015, 3.44677634975941827E+305
         1,       8128,  1014, 4.63488724157446852E-001
         2,       8128,  1014, 6.29714167439382577E-001
         3,       8128,  1014, 1.50998773263498809E-001
         4,       8128,  1014, 2.35600334311120013E-002
         5,       8128,  1014, 8.29438767209972360E-004
         6,       8128,  1014, 6.72935069750916896E-006
         7,       7818,  1014, 8.66021059225698108E-009
         8,       2148,  1014, 1.48144408568424721E-013
         9,        174,  1014, 0.00000000000000000E+000
        10,          2,  1014, 0.00000000000000000E+000
        11,          0,  1014, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 9.82949169391669991E-015
          2, 1.45487266882437391E-014
          3, 1.18736371848839995E-014
          4, 1.15780992090619492E-014
          5, 1.23798652339266394E-014
          6, 1.50046204209333490E-014
          7, 1.40323341492771374E-014
          8, 1.12676354785696850E-014
          9, 1.06461063875560012E-014
         10, 1.22533070158622061E-014
         11, 1.20123205549931371E-014
         12, 9.79024249975668123E-015
         13, 1.41966108472039993E-014
         14, 1.46458364806421371E-014
         15, 1.36195612073449164E-014
         16, 1.11536151558437862E-014
         17, 1.28505426863264091E-014
         18, 1.17819350436583709E-014
         19, 9.80003103106368962E-015
         20, 1.61350861370307583E-014
         21, 1.27824602409216789E-014
         22, 1.17393669430782972E-014
         23, 1.16606703031236905E-014
         24, 1.42282267226097856E-014
         25, 1.22152466397972640E-014
         26, 1.68710252388909625E-014
         27, 1.14010551013471220E-014
         28, 2.00980030327889032E-014
         29, 1.07973677951943045E-014
         30, 1.22205144012443455E-014
         31, 1.46324139135564018E-014
         32, 1.58260823331891412E-014
         33, 1.33282173663703271E-014
         34, 1.93400294343122629E-014
         35, 1.52393397840701804E-014
         36, 1.43536380891435209E-014
         37, 1.17184485265054278E-014
         38, 1.70085140389832506E-014
         39, 1.79504108355742256E-014
         40, 1.35834656003434793E-014
         41, 1.67293053400680824E-014
         42, 1.34147612062441536E-014
         43, 1.93978688340771787E-014
         44, 1.74229011684268786E-014
         45, 2.01262089355004789E-014
         46, 2.49359007682825364E-014
         47, 1.80779203949705597E-014
         48, 2.07893433786605147E-014
         49, 1.58893298892658117E-014
         50, 1.30356179034773420E-014
         51, 1.71023937660034263E-014
         52, 1.61486167102669197E-014
         53, 2.02178086281186611E-014
         54, 2.43688740104287242E-014
         55, 2.58631419063846888E-014
         56, 2.21311292863077552E-014
         57, 2.13785791262943714E-014
         58, 2.07903922720176752E-014
         59, 3.66685363754489336E-014
         60, 2.23076890954753885E-014
         61, 2.90616238195955092E-014
         62, 2.74971370229808631E-014
         63, 3.82468424023733559E-014
         64, 3.89537751549379137E-014
         65, 7.62536164171010867E-015
         66, 1.05420410466699438E-014
         67, 8.21455844778391794E-015
         68, 1.08349555193207786E-014
         69, 7.42118605487053700E-015
         70, 9.32105778924726779E-015
         71, 9.21168861627849647E-015
         72, 1.14113900664251406E-014
         73, 1.12519431006128785E-014
         74, 1.00194058028879228E-014
         75, 1.03276177117336165E-014
         76, 1.52425905505959897E-014
         77, 9.75190117742534057E-015
         78, 9.83649071994856754E-015
         79, 1.38972944706904653E-014
         80, 1.54767199368982695E-014
         81, 1.75939113103129744E-014
         82, 1.66138072125804955E-014
         83, 9.95112100583193792E-015
         84, 1.37754988828667001E-014
         85, 1.28415374047607879E-014
         86, 1.31476604467916801E-014
         87, 1.40123861340638166E-014
         88, 1.37668238884814885E-014
         89, 1.42718990099966134E-014
         90, 1.33774098842148726E-014
         91, 1.25542281285173975E-014
         92, 1.84568977985316532E-014
         93, 1.52082632873619585E-014
         94, 1.14136323877638661E-014
         95, 1.32192155451917321E-014
         96, 1.30838678519649947E-014
         97, 1.44408753427387260E-014
         98, 1.33618417240068493E-014
         99, 1.41859355145770234E-014
        100, 1.87279029076170689E-014
        101, 1.81369579373592920E-014
        102, 1.36560977148843214E-014
        103, 1.31269160486978697E-014
        104, 1.37861329347060327E-014
        105, 1.69099822428407425E-014
        106, 1.60253063471795477E-014
        107, 1.78173374903933053E-014
        108, 1.94053489782723227E-014
        109, 2.08567052870828370E-014
        110, 2.55292840870853804E-014
        111, 2.53791575222441563E-014
        112, 1.99550110662066754E-014
        113, 2.08140738305894356E-014
        114, 2.56343443162838159E-014
        115, 2.25128774169187562E-014
        116, 2.35289322120030566E-014
        117, 2.25775761185323159E-014
        118, 2.41305871032991414E-014
        119, 2.32693738099317815E-014
        120, 2.40540818737877230E-014
        121, 2.71740148854142733E-014
        122, 2.57306948081155982E-014
        123, 2.97694612381512427E-014
        124, 3.32221431363882462E-014
        125, 2.96618045570641059E-014
        126, 2.54033249645300388E-014
        127, 4.05279629897779903E-014
        128, 3.98295497688117764E-014
       -127, 4.05279629897779903E-014
          0, 7.50962729033170833E-015
