         0, 2147483647,  1018, 2.19265235343367102E+306
         1,        125,  1018, 5.89932330009611317E-001
         2,        122,  1018, 1.46305035643902015E-001
         3,        120,  1018, 7.80558126777710238E-003
         4,        120,  1018, 5.86517764683484850E-005
         5,         87,  1018, 1.35513262708166149E-009
         6,          6,  1018, 0.00000000000000000E+000
         7,          0,  1018, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.25968680120630179E-015
          2, 1.45564050478136526E-015
          3, 7.54901056821337152E-016
          4, 1.32057050659336866E-015
          5, 1.88832994935801954E-015
          6, 8.58344191972421359E-016
          7, 1.25690853450800640E-015
          8, 6.62212565907709405E-016
          9, 9.63586630017393358E-016
         10, 1.47313578363116173E-015
         11, 1.25643187355600278E-015
         12, 9.21046382234695535E-016
         13, 1.23110422069641534E-015
         14, 2.16740245582114862E-015
         15, 1.15045115441149140E-015
         16, 2.23261813894305844E-015
        -16, 2.23261813894305844E-015
          0, 1.35107704596937634E-015
