         0, 2147483647,  1018, 2.19265235343367102E+306
         1,        125,  1018, 2.20426482486143860E+306
         2,        122,  1018, 2.20426482486143860E+306
         3,        120,  1018, 2.20426482486143860E+306
         4,        120,  1018, 2.20426482486143860E+306
         5,         87,  1018, 2.20426482486143860E+306
         6,          7,  1018, 2.20426482486143860E+306
         7,          0,  1018, 2.20426482486143860E+306
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.23082873749554526E-015
          2, 1.37995283451886185E-015
          3, 8.93894456524762820E-016
          4, 1.33461236209533445E-015
          5, 1.53892869379253773E-015
          6, 1.51105553426356024E-015
          7, 2.43428738801637497E-015
          8, 8.00786715252421233E-016
          9, 8.61224097552508428E-016
         10, 8.61328200134902279E-016
         11, 6.72160272734023092E-016
         12, 1.32340068385060387E-015
         13, 1.57640570020760028E-015
         14, 1.74772148739647843E-015
         15, 1.29817838586466888E-015
         16, 2.28542265201996856E-015
         -7, 2.43428738801637497E-015
