         0, 2147483647,  1010, 1.25609184041879444E+304
         1,    2098159,  1010, 2.41092687598042588E-001
         2,    2098111,  1010, 5.10637474771929556E-001
         3,    2098091,  1010, 8.00000000000000044E-001
         4,    2098071,  1010, 4.57005323013025766E-001
         5,    2097713,  1010, 2.69699850298315003E-002
         6,    2097023,  1010, 5.71683170911411239E-004
         7,    2096454,  1010, 7.82823581771029100E-006
         8,    2095714,  1010, 3.41091370519456903E-008
         9,    1838978,  1010, 1.88975097307476937E-011
        10,     402642,  1010, 2.59070890103584226E-015
        11,      84666,  1010, 2.53882233052959080E-015
        12,       4977,  1010, 2.52830880408708488E-015
        13,         21,  1010, 2.52293140824335458E-015
        14,          3,  1010, 0.00000000000000000E+000
        15,          0,  1010, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 4.03149880841051059E-013
          2, 3.80087699810435169E-013
          3, 3.63904836733991837E-013
          4, 4.04355716172218503E-013
          5, 4.06696847681835899E-013
          6, 3.45306593712146715E-013
          7, 3.76083020475082264E-013
          8, 3.98823350304372149E-013
          9, 4.21126061564835707E-013
         10, 4.06275601277256476E-013
         11, 3.63719024382345218E-013
         12, 4.61502427056318182E-013
         13, 4.24575817577720488E-013
         14, 3.82431079205021547E-013
         15, 4.22348665682107017E-013
         16, 3.97183760653745425E-013
         17, 4.12578387019092291E-013
         18, 3.92576690895568574E-013
         19, 4.65434135789827744E-013
         20, 4.15835933076234197E-013
         21, 3.90843101809536957E-013
         22, 3.75365231729727919E-013
         23, 3.99279391328978354E-013
         24, 4.17543179261257045E-013
         25, 4.31170783597640781E-013
         26, 3.79708102481210509E-013
         27, 3.62785919834288157E-013
         28, 3.81997690801355540E-013
         29, 4.06660050580456258E-013
         30, 4.50077349971242773E-013
         31, 3.76336563186960195E-013
         32, 4.11249251659755328E-013
         33, 4.34592485068218893E-013
         34, 3.93072729179319108E-013
         35, 3.93894029599477113E-013
         36, 3.80692890187051001E-013
         37, 3.97009748319361653E-013
         38, 3.67457065407730242E-013
         39, 4.34510242219888758E-013
         40, 4.23148497434221360E-013
         41, 3.67185807912863077E-013
         42, 3.82911004291521366E-013
         43, 4.20129841309550478E-013
         44, 3.71869671741930017E-013
         45, 3.83628908686644496E-013
         46, 3.97072936807168759E-013
         47, 3.90261709972741110E-013
         48, 4.07129166269409569E-013
         49, 3.89832412911637612E-013
         50, 4.30071676728915787E-013
         51, 4.27514518390125337E-013
         52, 3.66068711414514054E-013
         53, 3.91261954186696876E-013
         54, 4.24507519404578207E-013
         55, 4.01226176136490637E-013
         56, 4.50225392971511323E-013
         57, 4.49691798413749610E-013
         58, 4.27432844199125098E-013
         59, 3.79066122527382165E-013
         60, 3.72842220692536302E-013
         61, 4.18620242689717858E-013
         62, 4.37020142570139768E-013
         63, 4.09738091199772373E-013
         64, 3.82555084519224703E-013
         65, 4.11255890023416902E-013
         66, 4.23391241913162184E-013
         67, 4.10596493761616256E-013
         68, 4.21191629242371592E-013
         69, 4.41747743070798355E-013
         70, 3.98792959736630350E-013
         71, 4.29957262603488052E-013
         72, 3.96905559056770566E-013
         73, 3.72254972469893662E-013
         74, 3.89594012974290695E-013
         75, 4.08217995314232066E-013
         76, 3.97369441085158022E-013
         77, 4.35809993686215392E-013
         78, 3.90799703251347589E-013
         79, 4.29472223657280746E-013
         80, 4.37778354393173536E-013
         81, 4.15381880121198881E-013
         82, 4.22347961185486008E-013
         83, 4.43104754864485671E-013
         84, 4.18270930805379946E-013
         85, 4.29071064416868452E-013
         86, 4.40068138804071286E-013
         87, 4.06889671887161795E-013
         88, 4.17878805232576682E-013
         89, 4.35402674347471952E-013
         90, 4.19533539397346391E-013
         91, 4.22249484589951797E-013
         92, 4.23374356176915819E-013
         93, 4.09499377107489507E-013
         94, 4.18689796332329573E-013
         95, 3.89556957152665254E-013
         96, 4.04495272077912837E-013
         97, 4.33795443024162921E-013
         98, 3.98653956160824320E-013
         99, 3.91350568084707094E-013
        100, 4.19830087230185831E-013
        101, 3.79646836091051706E-013
        102, 4.05516358914525548E-013
        103, 4.24491430782172929E-013
        104, 4.58537582402005715E-013
        105, 4.25771665726153490E-013
        106, 4.07492137101949103E-013
        107, 4.15268154880151800E-013
        108, 4.28589683250392587E-013
        109, 3.97957874724403542E-013
        110, 3.91383330753274053E-013
        111, 4.25467218128972257E-013
        112, 4.22513288121914828E-013
        113, 4.19091272453501072E-013
        114, 3.66282866736769334E-013
        115, 3.92701329255208104E-013
        116, 3.92003164200775381E-013
        117, 4.25858583859608929E-013
        118, 4.21864063958208555E-013
        119, 4.04545125606274811E-013
        120, 4.29199985791881195E-013
        121, 4.05185584943340015E-013
        122, 4.35213330361655051E-013
        123, 4.48576321374252898E-013
        124, 3.99557950462246382E-013
        125, 4.12223013580766104E-013
        126, 4.27720245045728506E-013
        127, 4.55480327835454051E-013
        128, 4.53828629884327145E-013
        129, 4.70002681505626223E-013
        130, 4.48182294519799427E-013
        131, 4.30240846739088658E-013
        132, 3.97534215410220801E-013
        133, 4.16202893894748820E-013
        134, 4.40038001826817041E-013
        135, 4.35426913933052272E-013
        136, 4.56312518106276921E-013
        137, 3.73124854854289182E-013
        138, 4.43630615943556575E-013
        139, 4.25866460976178881E-013
        140, 4.44023498018220969E-013
        141, 4.57530744568756230E-013
        142, 4.29890980657381243E-013
        143, 4.48074788049896954E-013
        144, 4.38684916978102556E-013
        145, 4.49836855991622212E-013
        146, 4.05007661592103363E-013
        147, 4.24629378454201196E-013
        148, 4.18305896393366481E-013
        149, 4.37234194472014315E-013
        150, 4.01193328572392562E-013
        151, 4.41875602282590326E-013
        152, 4.50692602266334380E-013
        153, 4.34015352790340815E-013
        154, 4.43807648607958437E-013
        155, 4.38614962978980765E-013
        156, 4.37861195260003614E-013
        157, 4.36094295336606447E-013
        158, 4.50667656525065470E-013
        159, 3.98601075346336143E-013
        160, 4.14993291675986397E-013
        161, 4.40583717010274587E-013
        162, 4.45261654719902023E-013
        163, 4.54759268185452922E-013
        164, 4.53317652826336140E-013
        165, 4.55246351920166221E-013
        166, 4.39867886927479303E-013
        167, 4.17988052036630198E-013
        168, 4.29803235266713216E-013
        169, 4.18206271552442284E-013
        170, 4.31157443530848424E-013
        171, 4.85341899680244525E-013
        172, 4.53676408221355008E-013
        173, 4.15496638514926907E-013
        174, 4.04548847401501286E-013
        175, 4.27002062277804240E-013
        176, 4.17150333121340266E-013
        177, 4.68952355859576489E-013
        178, 4.79657441257474125E-013
        179, 4.68742865559941132E-013
        180, 4.31517708170037665E-013
        181, 4.48926920811461440E-013
