         0, 2147483647,  1010, 1.25609184041879444E+304
         1,    2096128,  1010, 2.33784094124593611E-001
         2,    2096128,  1010, 4.62086143999996757E-001
         3,    2096128,  1010, 7.50335541838512809E-001
         4,    2096128,  1010, 4.51855247462396636E-001
         5,    2096128,  1010, 8.84680565808271951E-002
         6,    2096128,  1010, 5.02490069611889745E-002
         7,    2096128,  1010, 6.45813801526734250E-003
         8,    2096112,  1010, 2.80751054479051461E-004
         9,    2036620,  1010, 6.58727696978511549E-007
        10,     679817,  1010, 4.14723442420209716E-011
        11,     189298,  1010, 2.55715636746428056E-015
        12,      17136,  1010, 2.45450116258476403E-015
        13,         70,  1010, 2.39120529505378741E-015
        14,          3,  1010, 0.00000000000000000E+000
        15,          1,  1010, 0.00000000000000000E+000
        16,          0,  1010, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 3.99885513794434221E-013
          2, 4.10573584810302824E-013
          3, 4.13666096741452449E-013
          4, 4.25908539104403700E-013
          5, 3.84414798549820533E-013
          6, 4.13525379590021596E-013
          7, 4.39854949055896892E-013
          8, 3.73197478320774045E-013
          9, 4.02476432337896367E-013
         10, 4.14521362833499506E-013
         11, 3.67191896585463519E-013
         12, 4.23530790095539851E-013
         13, 4.26764022111452426E-013
         14, 4.03755341859806802E-013
         15, 3.96793929530043530E-013
         16, 3.96869723218580669E-013
         17, 4.20354486849544008E-013
         18, 3.84137304387699157E-013
         19, 4.35184544321275566E-013
         20, 4.24296101003782048E-013
         21, 4.12371674850838794E-013
         22, 4.13232880968141836E-013
         23, 4.19783208054834322E-013
         24, 4.24507724034415849E-013
         25, 4.24116106036859717E-013
         26, 4.18522869818123985E-013
         27, 4.12330820269403092E-013
         28, 4.50139995295265054E-013
         29, 3.75689322750831899E-013
         30, 4.26313935263723049E-013
         31, 3.85482774091574717E-013
         32, 4.06833150008777682E-013
         33, 3.98451447149535773E-013
         34, 4.40505888200262568E-013
         35, 3.92874360381737636E-013
         36, 3.75156512095880917E-013
         37, 4.08247017125090674E-013
         38, 4.52308743309876351E-013
         39, 4.47803482132470054E-013
         40, 4.32354918768033216E-013
         41, 4.01096990878177304E-013
         42, 4.56200939078843079E-013
         43, 4.63308198603254890E-013
         44, 4.34430081129072085E-013
         45, 3.82565150063410363E-013
         46, 4.17606596794547627E-013
         47, 4.46667924221511990E-013
         48, 4.08260203802284909E-013
         49, 4.42850043860939946E-013
         50, 4.20139510087698780E-013
         51, 4.11826616079831842E-013
         52, 4.26601470105267235E-013
         53, 3.75237366326421915E-013
         54, 3.99446505528859037E-013
         55, 3.98231386122066242E-013
         56, 4.46301579956933415E-013
         57, 4.33255388092081712E-013
         58, 3.95107268168908708E-013
         59, 4.28466141962725619E-013
         60, 4.32940383269278828E-013
