         0, 2147483647,  1010, 1.25609184041879444E+304
         1,    2096128,  1010, 2.15237291889900271E+304
         2,    2096128,  1010, 2.15237291889900271E+304
         3,    2096128,  1010, 2.15237291889900271E+304
         4,    2096128,  1010, 2.15237291889900271E+304
         5,    2096128,  1010, 2.15237291889900271E+304
         6,    2096128,  1010, 2.15237291889900271E+304
         7,    2096128,  1010, 2.15237291889900271E+304
         8,    2096110,  1010, 2.15237291889900271E+304
         9,    2036288,  1010, 2.15237291889900271E+304
        10,     686283,  1010, 2.15237291889900271E+304
        11,     199261,  1010, 2.15237291889900271E+304
        12,      19713,  1010, 2.15237291889900271E+304
        13,        163,  1010, 2.15237291889900271E+304
        14,         23,  1010, 2.15237291889900271E+304
        15,          4,  1010, 2.15237291889900271E+304
        16,          1,  1010, 2.15237291889900271E+304
        17,          0,  1010, 2.15237291889900271E+304
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 4.62305334839541188E-013
          2, 4.00890315864289005E-013
          3, 4.36543135669076023E-013
          4, 4.40455327148943389E-013
          5, 3.84825464045995206E-013
          6, 3.85236025521253447E-013
          7, 3.97578691254986550E-013
          8, 3.81979768372392426E-013
          9, 4.27221879652834090E-013
         10, 4.36784623118802644E-013
         11, 3.68764317175009395E-013
         12, 4.29072124629316632E-013
         13, 3.80978631200239084E-013
         14, 4.16658073725644976E-013
         15, 4.36718775385989445E-013
         16, 4.07846970289713700E-013
         17, 4.15000390837083043E-013
         18, 3.95707763861116416E-013
         19, 4.26369066932946422E-013
         20, 4.15318719550669443E-013
         21, 4.32425274388719793E-013
         22, 4.19888005723767678E-013
         23, 4.31599137122427548E-013
         24, 4.14421550815736047E-013
         25, 4.13397060543323149E-013
         26, 4.22911535919371083E-013
         27, 4.05947058100241895E-013
         28, 3.78547323981091511E-013
         29, 4.01696489262142886E-013
         30, 4.22431335373952069E-013
         31, 3.69284001749110669E-013
         32, 3.83203209611152449E-013
         33, 4.37148653577544627E-013
         34, 3.96894522323760400E-013
         35, 4.28389897482084882E-013
         36, 4.49150013989834847E-013
         37, 4.36363219425854231E-013
         38, 4.15699173841173038E-013
         39, 4.21953859941653748E-013
         40, 4.53926684192622952E-013
         41, 4.17962052368372877E-013
         42, 4.81869723802611017E-013
         43, 4.29619809446127013E-013
         44, 4.45866516425473196E-013
         45, 4.01484085201495661E-013
         46, 4.12874920614131733E-013
         47, 4.30728735240363045E-013
         48, 4.48588536818492663E-013
         49, 3.95447279656669590E-013
         50, 4.21113588312226497E-013
         51, 3.78655470427126396E-013
         52, 4.05720779304017177E-013
         53, 4.03504365331814600E-013
         54, 4.14576388533695432E-013
         55, 4.20882826267246944E-013
         56, 4.35728181848549095E-013
         57, 4.46030490206263038E-013
         58, 3.94470039620215327E-013
         59, 3.98703079973801647E-013
         60, 4.07905558117198558E-013
         61, 4.29902974454281997E-013
         62, 4.10654927687200312E-013
         63, 4.24981254718908872E-013
         64, 4.06970946725530243E-013
         65, 4.00461266079542225E-013
         66, 4.14833326870699865E-013
         67, 4.15289593463922088E-013
         68, 4.50503560123073069E-013
         69, 4.24870830833900294E-013
         70, 4.48169683648389098E-013
         71, 4.29991324031742306E-013
         72, 4.12450512040297220E-013
         73, 4.07165391299799025E-013
         74, 4.24100341948912138E-013
         75, 4.26540888144961342E-013
         76, 4.09694804131005651E-013
         77, 4.20740705234262028E-013
         78, 4.70199714377740573E-013
         79, 3.89098217525244810E-013
         80, 4.36552325931870631E-013
         81, 4.40098326738268465E-013
         82, 4.43344063182052450E-013
         83, 4.23260855652510182E-013
         84, 4.21301397326841837E-013
         85, 4.50423958540052580E-013
         86, 4.04657662478647469E-013
         87, 3.99196646509146596E-013
         88, 3.84526944993281926E-013
         89, 4.62795840630337626E-013
         90, 4.27201412318402599E-013
         91, 3.91273112776825440E-013
         92, 4.41540729299151649E-013
         93, 4.56133721808787306E-013
         94, 4.42919530990398399E-013
         95, 3.96605412708302688E-013
         96, 4.54406622552760056E-013
         97, 4.33186336992921827E-013
         98, 3.98220428286029142E-013
         99, 3.93063892474797809E-013
        100, 4.39352184454837812E-013
        101, 3.94240331558070690E-013
        102, 4.32792552883145825E-013
        103, 4.17280974675289577E-013
        104, 4.30078142717927911E-013
        105, 4.28316719888194930E-013
        106, 4.55662614287341406E-013
        107, 4.66415581665210053E-013
        108, 3.91032850114497095E-013
        109, 4.09121652289911212E-013
        110, 4.54103069266606512E-013
        111, 4.64330212061699413E-013
        112, 4.09798865649648793E-013
        113, 4.31703564605467085E-013
        114, 4.28855355639021799E-013
        115, 4.25246925786354546E-013
        116, 4.24687638634448201E-013
        117, 4.61277101050160891E-013
        118, 4.26787764521741007E-013
        119, 4.25995805236659023E-013
        120, 4.24339639656899176E-013
