         0, 2147483647,  1013, 9.31410784042967275E+304
         1,      32875,  1013, 3.99227880549998360E-001
         2,      32855,  1013, 6.08119859885956515E-001
         3,      32830,  1013, 1.95729601136001713E-001
         4,      32721,  1013, 1.59677593011246684E-002
         5,      32650,  1013, 4.23570746841635476E-004
         6,      32640,  1013, 4.22960876593100488E-006
         7,      31637,  1013, 8.86935793960879236E-009
         8,      14453,  1013, 4.98024697734227518E-013
         9,       1578,  1013, 9.35406445673250773E-016
        10,         16,  1013, 7.69417566250482518E-016
        11,          1,  1013, 0.00000000000000000E+000
        12,          0,  1013, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.26807177178039007E-014
          2, 2.26617545096888790E-014
          3, 2.33563592188004961E-014
          4, 2.27692542208692732E-014
          5, 2.27120047698986777E-014
          6, 2.41433304079966595E-014
          7, 2.85890448902457344E-014
          8, 2.58052847625814837E-014
          9, 2.22637561811309711E-014
         10, 2.51793360022943666E-014
         11, 2.74636471750723869E-014
         12, 2.00951504440371439E-014
         13, 2.65963401518250007E-014
         14, 2.72547520975390066E-014
         15, 2.66469507537406620E-014
         16, 2.48638779461640708E-014
         17, 2.23146802655844804E-014
         18, 2.45722136736616654E-014
         19, 2.87225786564004049E-014
         20, 2.39232115193547494E-014
         21, 2.84074239730630559E-014
         22, 2.37793620134847208E-014
         23, 2.52912770254512616E-014
         24, 2.76458638937904191E-014
         25, 2.23294231499651727E-014
         26, 2.81731185921990760E-014
         27, 2.32515704004174967E-014
         28, 2.31155682968608635E-014
         29, 2.89133201410207657E-014
         30, 3.03398816288567993E-014
         31, 2.90033804829514882E-014
         32, 2.40409381617421292E-014
         33, 2.95880685235598617E-014
         34, 2.26871417426315952E-014
         35, 3.92158044101053022E-014
         36, 2.93784719845132917E-014
         37, 2.66796884067107850E-014
         38, 2.76579893861298797E-014
         39, 3.22520666033278903E-014
         40, 2.65715276569301006E-014
         41, 2.82942995401478554E-014
         42, 3.51344746123692127E-014
         43, 3.37619087341930874E-014
         44, 2.87880319453582152E-014
         45, 3.01278351294028419E-014
         46, 3.51427416036535818E-014
         47, 3.14573979975147544E-014
         48, 3.71577962708143793E-014
         49, 3.53897813670954405E-014
         50, 2.91090210025346303E-014
         51, 2.61836987891284445E-014
         52, 3.42107694308341372E-014
         53, 4.15198302810939371E-014
         54, 2.91941453214471730E-014
         55, 3.61284141812392671E-014
         56, 3.04766708008359714E-014
         57, 3.49874690102236049E-014
         58, 2.66396565066150556E-014
         59, 3.02774105494389106E-014
         60, 3.03477225493001979E-014
         61, 3.51075049784994092E-014
         62, 3.58272388218601898E-014
         63, 3.49976040260000270E-014
         64, 3.71151491787121591E-014
         65, 2.87079604402181038E-014
         66, 3.89752494565610478E-014
         67, 3.89246311141315176E-014
         68, 3.65869906192093161E-014
         69, 3.55898825934371430E-014
         70, 2.65343719905388789E-014
         71, 3.71807014451891576E-014
         72, 3.38375832281623001E-014
         73, 3.44298340648821399E-014
         74, 2.95338946234782557E-014
         75, 3.45662448341010675E-014
         76, 3.16883116283456747E-014
         77, 3.56942700626367850E-014
         78, 3.69713881176416547E-014
         79, 3.66929128442799289E-014
         80, 3.34974446945160774E-014
         81, 4.98544305346704724E-014
         82, 4.51665881420745374E-014
         83, 3.30954624833107691E-014
         84, 3.27115528231958411E-014
         85, 4.98253452921050511E-014
         86, 4.87388281120336080E-014
         87, 4.43483415798852937E-014
         88, 4.35747260758635971E-014
         89, 3.93506365696881173E-014
         90, 3.48211052113810162E-014
         91, 3.75444862979803081E-014
         92, 3.48725732768278558E-014
         93, 4.54277756523450089E-014
         94, 3.62284609271165541E-014
         95, 5.06200101441271478E-014
         96, 5.69046358258780022E-014
         97, 5.15923995173820622E-014
         98, 3.90531971517408221E-014
         99, 5.61163118225845258E-014
        100, 4.64226609447096478E-014
        101, 4.50193591877770756E-014
        102, 6.15246049590735777E-014
        103, 6.63620363102772264E-014
        104, 4.47327538217855980E-014
        105, 4.87390997727493873E-014
        106, 4.86453524961614599E-014
        107, 5.15422143795723264E-014
        108, 5.34196765343687189E-014
        109, 4.49985861330104870E-014
        110, 5.97400812941621903E-014
        111, 5.75305283619788749E-014
        112, 4.29057119367769629E-014
        113, 6.25903106718265071E-014
        114, 6.21450091993025032E-014
        115, 5.89357250706982119E-014
        116, 5.97117928443183550E-014
        117, 6.50328204946910626E-014
        118, 6.38413151066322020E-014
        119, 6.76902434487539013E-014
        120, 6.25279823865166474E-014
        121, 7.73272988367573374E-014
        122, 7.22222545646427478E-014
        123, 6.68643253885143138E-014
        124, 9.58622090477361139E-014
        125, 6.42923953144136161E-014
        126, 9.88849059556138680E-014
        127, 1.22344590540756179E-013
        128, 9.61547381974768171E-014
        129, 2.46157864900519889E-014
        130, 2.16550443432032850E-014
        131, 1.97338545966008600E-014
        132, 2.85407955246342922E-014
        133, 2.55391984285197199E-014
        134, 2.26840748377329961E-014
        135, 2.37391216362445760E-014
        136, 2.48966183058585983E-014
        137, 2.40380329362409406E-014
        138, 2.25785313169439428E-014
        139, 2.76643967794736493E-014
        140, 2.72602158574097257E-014
        141, 2.23361173452970379E-014
        142, 2.17421190931677839E-014
        143, 1.72153779738115381E-014
        144, 2.34965184330280912E-014
        145, 2.27346397938736358E-014
        146, 2.14431209688183931E-014
        147, 2.38114547012410312E-014
        148, 2.54652982311895614E-014
        149, 3.48782218106811611E-014
        150, 2.14354487508436697E-014
        151, 2.96892316582841395E-014
        152, 2.18703843300741539E-014
        153, 2.49407394422749628E-014
        154, 2.38265259621270705E-014
        155, 3.23185135981877885E-014
        156, 3.00930199781109843E-014
        157, 2.61025700025300584E-014
