         0, 2147483647,  1013, 9.31410784042967275E+304
         1,      32640,  1013, 3.77719210413518081E-001
         2,      32640,  1013, 5.90739867866693635E-001
         3,      32640,  1013, 1.57600751042787118E-001
         4,      32640,  1013, 7.49747293596721848E-002
         5,      32640,  1013, 5.03664580402804572E-003
         6,      32640,  1013, 1.56836264391481162E-004
         7,      32633,  1013, 1.91558695037968444E-007
         8,      27744,  1013, 2.30812668212187438E-011
         9,       4457,  1013, 9.19423404467105760E-016
        10,        133,  1013, 8.78097574057160203E-016
        11,          1,  1013, 0.00000000000000000E+000
        12,          0,  1013, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.51323866856477127E-014
          2, 2.48731213736810620E-014
          3, 1.98939105901085431E-014
          4, 2.13278134189695251E-014
          5, 2.42206178981663077E-014
          6, 2.58236311707726120E-014
          7, 2.36749485596913192E-014
          8, 2.71845434953299560E-014
          9, 2.24102119441763422E-014
         10, 2.13893005564615366E-014
         11, 2.61606512424218426E-014
         12, 2.84680499491600241E-014
         13, 2.34770539743277351E-014
         14, 2.27697008608278565E-014
         15, 2.28736464912331185E-014
         16, 2.26363613695320878E-014
         17, 2.50429162242549629E-014
         18, 2.32191967931018221E-014
         19, 2.13688886020686736E-014
         20, 1.97231303987243281E-014
         21, 1.92338404812207623E-014
         22, 1.91091037602242421E-014
         23, 2.30370487811588841E-014
         24, 2.74466287622035665E-014
         25, 3.20442320313550533E-014
         26, 2.50540105106204424E-014
         27, 2.19684054840603144E-014
         28, 2.23597227745120981E-014
         29, 2.84207949481995394E-014
         30, 3.00618394103809901E-014
         31, 2.88015190280056528E-014
         32, 3.51190434857462409E-014
         33, 3.09351224977094094E-014
         34, 3.22234588358733513E-014
         35, 3.25481355245844293E-014
         36, 4.10301611244390078E-014
         37, 3.85277719936543379E-014
         38, 2.60125090386798481E-014
         39, 3.70687647875380566E-014
         40, 2.73014054975254258E-014
         41, 2.84607846938086411E-014
         42, 3.28872816804699744E-014
         43, 3.59813964591699096E-014
         44, 3.65067000389147181E-014
         45, 2.91523798020393394E-014
         46, 3.16121044699245205E-014
         47, 3.32977876212954026E-014
         48, 3.18309157656949519E-014
         49, 2.79319335342457295E-014
         50, 4.41374338158462244E-014
         51, 3.15770781876406498E-014
         52, 3.24807316563760440E-014
         53, 3.21935832591250347E-014
         54, 3.40017437694238415E-014
         55, 3.07073030252486944E-014
         56, 3.02278879058403721E-014
         57, 4.09224244328906874E-014
         58, 3.93878244990582708E-014
         59, 2.99532788325479948E-014
         60, 3.39296634140647062E-014
         61, 3.81658778042818617E-014
         62, 3.53341725813994479E-014
         63, 3.82416741158689734E-014
         64, 3.55610648519549720E-014
         65, 3.87967357962622983E-014
         66, 4.01184622334317701E-014
         67, 3.33882330702653299E-014
         68, 3.51901488909460299E-014
         69, 2.91408669097132202E-014
         70, 3.06347592775113199E-014
         71, 3.86307032578872583E-014
         72, 3.91622684589768150E-014
         73, 4.57844710382901705E-014
         74, 3.49840137595456252E-014
         75, 5.32238238842510756E-014
         76, 3.64242001911808432E-014
         77, 3.38213164891186303E-014
         78, 3.47730406159542714E-014
         79, 3.72570834637346396E-014
         80, 3.57458334357147228E-014
         81, 3.40818665797036281E-014
         82, 3.70951734937170911E-014
         83, 4.33311854851227282E-014
         84, 2.74070226182847321E-014
         85, 4.43580009284967640E-014
         86, 4.71087640581208315E-014
         87, 4.27622929936974080E-014
         88, 4.42694134585988113E-014
         89, 4.17207425082941403E-014
         90, 4.23334490985768210E-014
         91, 4.15916264225080065E-014
         92, 4.38999186231906456E-014
         93, 4.76671067413229393E-014
         94, 3.77900558523719187E-014
         95, 4.52031330048832983E-014
         96, 4.18529849568651411E-014
         97, 4.26337769368384495E-014
         98, 4.98314976469711789E-014
         99, 4.61974101839017603E-014
        100, 5.54281114934161853E-014
        101, 3.99563768381544284E-014
        102, 4.63535723913543873E-014
        103, 6.42449046972541234E-014
        104, 4.84762556980259996E-014
        105, 6.75593078096960311E-014
        106, 4.61407687422322965E-014
        107, 7.23078859141280969E-014
        108, 5.99799733785112890E-014
        109, 4.31205503544148195E-014
        110, 5.98661268188713623E-014
        111, 6.49912985713587536E-014
        112, 6.28547323592914941E-014
        113, 6.47517306534063245E-014
        114, 5.64471132075624349E-014
        115, 5.41463484599080940E-014
        116, 4.81229937699179237E-014
        117, 5.98628687961727982E-014
        118, 5.78954825915633382E-014
        119, 7.83075313702411556E-014
        120, 6.90524788083736655E-014
        121, 7.16631736560563209E-014
        122, 9.11366836920321051E-014
        123, 7.47766237630992767E-014
        124, 7.18769294268874936E-014
        125, 6.20962772754280366E-014
        126, 8.17950767454635896E-014
        127, 7.68742233096518946E-014
        128, 8.63596268546261328E-014
        129, 2.35667286545408330E-014
        130, 3.09087202764950100E-014
        131, 2.00936579634808523E-014
        132, 1.95990121754116230E-014
        133, 2.08473271602379260E-014
        134, 2.24186347914882195E-014
        135, 2.79578906632948064E-014
        136, 2.07174562774709398E-014
        137, 2.34749923786755377E-014
        138, 2.71472183448063801E-014
        139, 2.55191750259617610E-014
        140, 2.02573577136834987E-014
        141, 2.32428131089400649E-014
        142, 2.62825776637292981E-014
        143, 2.40662020955728788E-014
        144, 2.29490762010850893E-014
        145, 1.98381321030565007E-014
        146, 2.60600317731875128E-014
        147, 2.46155657984687391E-014
        148, 2.30222956429131207E-014
        149, 2.50785935952636883E-014
        150, 2.56753674173619594E-014
        151, 2.71664847669268184E-014
        152, 2.70863977707394953E-014
        153, 2.91332527885135598E-014
        154, 3.22562976994470152E-014
        155, 2.99751903550981479E-014
        156, 3.07956176619682353E-014
        157, 2.44423516555374996E-014
        158, 2.60515816266067189E-014
        159, 2.25080129594396734E-014
        160, 3.25438588167709924E-014
        161, 2.79319968851009427E-014
        162, 2.16515579677766238E-014
        163, 2.76262243415699684E-014
        164, 2.56337904454740031E-014
        165, 2.65312107686013683E-014
        166, 2.93900141906660642E-014
        167, 2.88250560354955937E-014
        168, 3.29455392429614243E-014
        169, 2.79397292729881564E-014
        170, 2.28209039120095354E-014
        171, 2.79572498168415000E-014
        172, 4.32261503747433635E-014
        173, 3.91740494901041108E-014
        174, 3.25728510374716233E-014
        175, 3.98689645140230298E-014
        176, 3.04209739063509829E-014
        177, 3.72732107418624323E-014
        178, 3.47277808664300174E-014
        179, 2.94891407871310652E-014
        180, 3.44325628483235907E-014
        181, 3.37808588662892684E-014
        182, 3.52427449126478617E-014
        183, 3.30115221779062528E-014
        184, 3.32796682752479849E-014
        185, 3.55458736585089003E-014
        186, 2.69380648492147612E-014
        187, 3.40055546207144813E-014
        188, 5.35277031407871068E-014
        189, 3.66096582536798070E-014
        190, 3.74046983125187683E-014
        191, 3.10385673417424568E-014
        192, 3.86580858413072815E-014
        193, 5.46716895036426986E-014
        194, 4.25503506019188875E-014
        195, 3.29446934039433866E-014
        196, 3.49555146668940699E-014
        197, 3.76936844179413168E-014
        198, 4.22070427604787817E-014
        199, 3.68114696392430062E-014
        200, 4.78198214679712271E-014
        201, 3.39792994035895039E-014
        202, 3.43494470214832244E-014
        203, 3.64972222723354060E-014
        204, 3.17796280217657283E-014
        205, 3.58051269119553932E-014
        206, 3.45308120768334535E-014
        207, 3.83270078155552847E-014
        208, 4.16285125233383312E-014
        209, 4.12631449565981992E-014
        210, 4.14122569554627698E-014
        211, 3.65592498624830283E-014
        212, 3.94485505681253880E-014
        213, 3.79200056373209178E-014
        214, 3.93299470041485672E-014
        215, 5.57643128628208816E-014
        216, 4.12860237113889865E-014
        217, 3.47667837181099948E-014
        218, 4.88886771202270961E-014
        219, 4.40497287897178771E-014
        220, 4.44605169236085865E-014
        221, 4.27447768038530500E-014
        222, 4.11475262681881559E-014
        223, 4.92655060452997340E-014
        224, 4.83968710925651935E-014
        225, 4.16733678255453673E-014
        226, 6.39218851065120897E-014
        227, 3.84536748491581677E-014
        228, 4.53194309833128509E-014
        229, 4.39432317978783984E-014
        230, 5.25007546394316101E-014
        231, 4.35685161513929214E-014
        232, 4.69300917149434184E-014
        233, 4.88326635153736893E-014
        234, 5.27551076109944344E-014
        235, 5.20348277452813405E-014
        236, 4.60336326343809592E-014
        237, 6.39057348595166274E-014
        238, 6.18930497578327106E-014
        239, 6.02905762410673965E-014
        240, 4.75416439069683200E-014
        241, 5.90320056694282610E-014
        242, 6.10935330986718040E-014
        243, 6.19926828737134026E-014
        244, 5.04634937894976826E-014
        245, 6.50317920106967591E-014
        246, 7.18409979077997266E-014
        247, 7.56878631775449767E-014
        248, 6.96168905804089319E-014
        249, 6.00573963878072399E-014
        250, 8.10790095443189237E-014
        251, 7.50989541241715427E-014
        252, 8.85445360969545753E-014
        253, 9.23597395140086645E-014
        254, 8.23888322825649892E-014
        255, 9.29017063946762200E-014
        256, 8.21449122218115211E-014
       -255, 9.29017063946762200E-014
          0, 1.38280179305026020E-014
