         0, 2147483647,  1013, 9.31410784042967275E+304
         1,      32875,  1013, 3.99227880549996750E-001
         2,      32855,  1013, 6.08119859885957070E-001
         3,      32830,  1013, 1.95729601136024112E-001
         4,      32721,  1013, 1.59677593011156305E-002
         5,      32650,  1013, 4.23570746842146352E-004
         6,      32640,  1013, 4.22960876596694534E-006
         7,      31642,  1013, 8.86935794818669337E-009
         8,      14448,  1013, 4.98016836888842193E-013
         9,       1575,  1013, 9.24034015219495040E-016
        10,         20,  1013, 8.84570507647064678E-016
        11,          0,  1013, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.41357498501213254E-014
          2, 2.09013395604540461E-014
          3, 2.35644378978229667E-014
          4, 2.76483200080971211E-014
          5, 2.14514077362205469E-014
          6, 2.20345032534996619E-014
          7, 2.25787075071994879E-014
          8, 2.50327268378940599E-014
          9, 2.10819675458129386E-014
         10, 2.16564892729112363E-014
         11, 2.62093344890601332E-014
         12, 2.68002447900595891E-014
         13, 2.62611916523635487E-014
         14, 2.49804976401039529E-014
         15, 2.46678351380473190E-014
         16, 2.25385551407048938E-014
         17, 1.89574596188350878E-014
         18, 2.26037460748271145E-014
         19, 2.73896129351953393E-014
         20, 2.64266510386225268E-014
         21, 2.26591977870951261E-014
         22, 2.98975405422502748E-014
         23, 2.62202764744550068E-014
         24, 2.34419459722134275E-014
         25, 3.14716757429537432E-014
         26, 3.07912486745208654E-014
         27, 3.01733735541811009E-014
         28, 2.55454039283810379E-014
         29, 3.30042746942310682E-014
         30, 2.13382318794653386E-014
         31, 2.67507890318752907E-014
         32, 2.27216019033879323E-014
         33, 3.18844070135910643E-014
         34, 2.58167565392776315E-014
         35, 2.69252298178834664E-014
         36, 3.48916743924845458E-014
         37, 2.49294957968775719E-014
         38, 3.46707334259609006E-014
         39, 3.25766845846364438E-014
         40, 3.30683753807565338E-014
         41, 2.48045501719967697E-014
         42, 3.14168056518915364E-014
         43, 3.30011157996265904E-014
         44, 1.81970300697447599E-014
         45, 2.95172124830406803E-014
         46, 2.96000104874060023E-014
         47, 3.16879175223216599E-014
         48, 3.80470062572346501E-014
         49, 2.78256416834399372E-014
         50, 3.16649001655089587E-014
         51, 3.25002887499267815E-014
         52, 3.03173283878765003E-014
         53, 3.77702099042226301E-014
         54, 2.90472277874258101E-014
         55, 3.34278685058419044E-014
         56, 3.02395937398120299E-014
         57, 3.65812352659406674E-014
         58, 2.78505637234424016E-014
         59, 2.83925682660225437E-014
         60, 2.62115391730047760E-014
         61, 3.13606761587695250E-014
         62, 3.21199474731775993E-014
         63, 3.87180116184265628E-014
         64, 3.47405283006265717E-014
         65, 3.04154644931712388E-014
         66, 3.52554567964961987E-014
         67, 3.61139481849228669E-014
         68, 3.12879411420035362E-014
         69, 3.03801376732709970E-014
         70, 3.14785170454392187E-014
         71, 3.98238178393615543E-014
         72, 3.22507979565395730E-014
         73, 3.93377008924733456E-014
         74, 2.81363472844900592E-014
         75, 3.67076530228516299E-014
         76, 4.08125153213697024E-014
         77, 3.15967290070918165E-014
         78, 3.55229677811288429E-014
         79, 3.99746251366169126E-014
         80, 3.29656552216048651E-014
         81, 3.37192096391774176E-014
         82, 3.68567101879207213E-014
         83, 3.68382149094693035E-014
         84, 3.52569706487228410E-014
         85, 4.00081884647399615E-014
         86, 4.57573570242281286E-014
         87, 3.86479643327062569E-014
         88, 3.69257062077917150E-014
         89, 3.60219434977843685E-014
         90, 4.44978808790143240E-014
         91, 4.24769721633386756E-014
         92, 4.09025508996214093E-014
         93, 4.32235959981523052E-014
         94, 3.77119969965479932E-014
         95, 4.79917919637242991E-014
         96, 5.39289045750319705E-014
         97, 4.34157560483097661E-014
         98, 4.19564928805066118E-014
         99, 4.78036922664818775E-014
        100, 5.16315476261148260E-014
        101, 3.82950267508541336E-014
        102, 5.63901898585623741E-014
        103, 5.11927170400483200E-014
        104, 4.28860647508738978E-014
        105, 5.09469633930450150E-014
        106, 4.99119396637753367E-014
        107, 5.95704933956678015E-014
        108, 5.72617258366254349E-014
        109, 5.36750929199138798E-014
        110, 4.39792076367142080E-014
        111, 5.93915487936063631E-014
        112, 5.44163362054032051E-014
        113, 6.10033347645863406E-014
        114, 5.46524752504148906E-014
        115, 5.01951392628916023E-014
        116, 6.25969925424650403E-014
        117, 7.17667734132921298E-014
        118, 8.66646914201600925E-014
        119, 6.66587203990495616E-014
        120, 7.88363157048305668E-014
        121, 7.67613144490235363E-014
        122, 7.30042313402420257E-014
        123, 7.78133487554489494E-014
        124, 8.37257940743391342E-014
        125, 8.86811524562805947E-014
        126, 6.53963974945380780E-014
        127, 8.49756352875084267E-014
        128, 8.52314382117604077E-014
        129, 2.45852341388535727E-014
        130, 2.52866701505276788E-014
        131, 1.92058936158177201E-014
        132, 1.97067689539206213E-014
        133, 2.32080227732501297E-014
        134, 2.26462182814477579E-014
        135, 2.84405531548756902E-014
        136, 2.27179297606894333E-014
        137, 2.42571428465443071E-014
        138, 1.80356110033204917E-014
        139, 2.13444945858724753E-014
        140, 2.49043862326429781E-014
        141, 2.29063231322880008E-014
        142, 2.63651333145965122E-014
        143, 2.13309119867704450E-014
        144, 3.14001718719784817E-014
        145, 2.26982881930140145E-014
        146, 2.51158975963359192E-014
        147, 1.85341705702390717E-014
        148, 2.50309220334896443E-014
        149, 3.03649369837827274E-014
        150, 2.15637516882212953E-014
        151, 2.29268866455350570E-014
        152, 2.56462674283549014E-014
        153, 2.00083656499633154E-014
        154, 3.30256232629060766E-014
        155, 2.50318046254253548E-014
        156, 2.29626288582284621E-014
        157, 2.24549686164214681E-014
        158, 2.58363208636140116E-014
        159, 2.84954857130085122E-014
        160, 2.46662815896661030E-014
        161, 2.40928916268813329E-014
        162, 2.94546619583769377E-014
