         0, 2147483647,  1013, 9.31410784042967275E+304
         1,      32640,  1013, 3.77719210413518136E-001
         2,      32640,  1013, 5.90739867866662660E-001
         3,      32640,  1013, 1.57600708670652234E-001
         4,      32640,  1013, 7.49753279572678427E-002
         5,      32640,  1013, 5.03238982987991995E-003
         6,      32640,  1013, 1.56958135244844143E-004
         7,      32633,  1013, 1.91622820796686821E-007
         8,      27729,  1013, 1.93445050707758422E-011
         9,       4468,  1013, 9.11274634479298227E-016
        10,        128,  1013, 8.87636947651622538E-016
        11,          3,  1013, 8.06377631119575982E-016
        12,          0,  1013, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.34049738212394179E-014
          2, 2.41508661730076050E-014
          3, 2.36625834823801312E-014
          4, 2.54692988963041339E-014
          5, 2.36677167319523938E-014
          6, 2.49442905237256729E-014
          7, 2.94648511754635786E-014
          8, 2.80495690481511101E-014
          9, 2.17471262998230383E-014
         10, 1.85057201565673653E-014
         11, 2.55169281223297956E-014
         12, 2.41473564735110379E-014
         13, 2.47955168046254213E-014
         14, 2.59106629524169648E-014
         15, 3.24405323948002807E-014
         16, 2.21283819957755367E-014
         17, 1.82283471158053010E-014
         18, 1.97217082782756245E-014
         19, 2.61905401496463242E-014
         20, 2.39024478226755027E-014
         21, 2.17591194971353914E-014
         22, 2.69618612678206744E-014
         23, 3.51520363715220580E-014
         24, 2.74024490475162505E-014
         25, 3.42331459356753648E-014
         26, 3.00147099866619025E-014
         27, 2.55507539748077859E-014
         28, 2.41311629528348830E-014
         29, 2.81729892824285931E-014
         30, 2.90176933706490899E-014
         31, 2.45271369659539420E-014
         32, 2.71865995809845352E-014
         33, 3.20014506154577358E-014
         34, 2.43358619229970820E-014
         35, 3.15707435163603315E-014
         36, 3.59977960143620747E-014
         37, 2.69452147257076656E-014
         38, 2.68201924385812364E-014
         39, 3.61944391143045669E-014
         40, 2.85692885459735170E-014
         41, 3.33280302941501417E-014
         42, 3.51365638870216407E-014
         43, 3.25312485754515989E-014
         44, 3.20793603718087514E-014
         45, 2.68925218694852760E-014
         46, 2.95693436174849429E-014
         47, 2.80583706725372266E-014
         48, 3.76215860446501835E-014
         49, 3.43707042604771210E-014
         50, 3.05080485651118174E-014
         51, 2.80892786445677450E-014
         52, 2.55518235585142772E-014
         53, 4.03897338271752131E-014
         54, 2.83246419065341411E-014
         55, 2.80815392429505663E-014
         56, 3.12231037082453302E-014
         57, 2.94402582283523642E-014
         58, 2.89377731889762221E-014
         59, 3.64441962068686836E-014
         60, 3.15380552381909909E-014
         61, 4.25093649387281583E-014
         62, 4.04620268136221510E-014
         63, 3.93547163664430819E-014
         64, 2.98143677239735718E-014
         65, 3.03797894258291100E-014
         66, 4.62408164445649978E-014
         67, 3.71349814300661155E-014
         68, 3.62263005035458549E-014
         69, 3.96517051044179801E-014
         70, 2.98197390410670786E-014
         71, 4.02939131072546902E-014
         72, 4.05926744866787853E-014
         73, 3.52410927582923074E-014
         74, 3.62901723704747568E-014
         75, 4.02620349759825143E-014
         76, 3.51924371461587879E-014
         77, 3.86347712220550184E-014
         78, 3.42218955237339794E-014
         79, 3.85438595911100661E-014
         80, 3.89166253724922703E-014
         81, 3.82289990458051031E-014
         82, 4.08889350732634803E-014
         83, 2.90939558716710297E-014
         84, 3.47950158547469108E-014
         85, 3.40434134507902825E-014
         86, 4.24145201860197182E-014
         87, 3.86013391239880133E-014
         88, 3.76701096579091600E-014
         89, 4.08567760371298420E-014
         90, 3.93474219660426567E-014
         91, 4.18228113764399976E-014
         92, 4.06463959986148560E-014
         93, 6.03977566256065450E-014
         94, 4.04023424344965762E-014
         95, 4.55759640279744474E-014
         96, 3.99821431085763249E-014
         97, 4.93642684741817836E-014
         98, 4.03960240230648916E-014
         99, 4.40395888747448035E-014
        100, 5.15405980766133319E-014
        101, 4.55213487039850711E-014
        102, 5.34406426689623167E-014
        103, 4.79361816141281154E-014
        104, 4.82198929056304779E-014
        105, 5.19930989647587862E-014
        106, 5.69919813298993668E-014
        107, 5.71859465825467598E-014
        108, 5.20354616455920028E-014
        109, 4.78770541509117612E-014
        110, 5.88033482385352076E-014
        111, 5.01238422483902627E-014
        112, 6.21126302023640959E-014
        113, 7.26889435934288059E-014
        114, 5.99991437935765575E-014
        115, 5.29374133694353679E-014
        116, 5.56367527725448710E-014
        117, 7.17697137791875026E-014
        118, 6.03428418028078378E-014
        119, 6.05015857861696080E-014
        120, 7.34805072685610529E-014
        121, 7.81939896165292302E-014
        122, 9.83122144886687910E-014
        123, 6.47504582160055221E-014
        124, 8.78712668602169662E-014
        125, 8.00754902696922470E-014
        126, 9.60101832257217291E-014
        127, 1.49012797535375545E-013
        128, 9.51668322029743928E-014
        129, 2.69046111233885873E-014
        130, 2.65930555888854254E-014
        131, 2.13557359726472588E-014
        132, 1.86858597029585167E-014
        133, 3.09888537997526956E-014
        134, 2.18600871930605653E-014
        135, 2.80362199562788376E-014
        136, 2.34058893208183831E-014
        137, 2.31109709813157734E-014
        138, 1.85272632076191892E-014
        139, 2.24575009077885862E-014
        140, 2.23186392556284849E-014
        141, 3.01378487051406317E-014
        142, 3.22585995932284425E-014
        143, 2.58279471806260298E-014
        144, 2.82676152057042777E-014
        145, 2.80056274050801825E-014
        146, 3.09144230093408229E-014
        147, 2.73298727171441023E-014
        148, 2.52397197195097307E-014
        149, 2.66564597894528825E-014
        150, 2.33936708055316856E-014
        151, 3.25573314105468334E-014
        152, 2.48862792167582198E-014
        153, 2.80254759428661892E-014
        154, 2.79905020122814729E-014
        155, 2.73743315129581327E-014
        156, 2.66590146818472133E-014
        157, 3.04001767130723828E-014
        158, 3.08714179098212668E-014
        159, 2.15283753011874501E-014
        160, 3.54472531856510419E-014
        161, 2.96541523234997550E-014
        162, 2.52373493077540853E-014
        163, 3.76442759676175418E-014
        164, 3.16724043103905714E-014
        165, 3.42339786371394764E-014
        166, 2.37455565400931407E-014
        167, 3.07484156775718636E-014
        168, 2.94509352482474135E-014
        169, 3.58790462434848299E-014
        170, 3.68332517119586556E-014
        171, 2.97471576613787995E-014
        172, 4.25147284833287287E-014
        173, 3.66623966160453639E-014
        174, 3.10821502191194541E-014
        175, 3.18351879452035270E-014
        176, 3.23625702197134115E-014
        177, 3.01860969577860123E-014
        178, 3.85154417098691168E-014
        179, 3.48719895918291891E-014
        180, 2.85300640579391329E-014
        181, 3.53249348250343772E-014
        182, 3.09658948150988548E-014
