         0, 2147483647,  1017, 1.24521990162015882E+306
         1,        515,  1016, 5.49575858526649141E-001
         2,        503,  1016, 2.35735620310580568E-001
         3,        496,  1016, 3.29730689918513870E-002
         4,        496,  1016, 5.51008966864879575E-004
         5,        495,  1016, 3.19402909412744046E-007
         6,        264,  1016, 1.81856720745893991E-013
         7,         12,  1016, 3.27773022946378321E-016
         8,          1,  1016, 0.00000000000000000E+000
         9,          0,  1016, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.16965972488104886E-015
          2, 1.84562530123537120E-015
          3, 1.40841444026460143E-015
          4, 2.05692745977329216E-015
          5, 2.94950031741730829E-015
          6, 3.16849227370527408E-015
          7, 1.68710324669483368E-015
          8, 1.84553458396872746E-015
          9, 2.14873977967599345E-015
         10, 3.73805970548829928E-015
         11, 4.01245644259970568E-015
         12, 2.56529271360506143E-015
         13, 8.10260963242225914E-015
         14, 5.15220614521298540E-015
         15, 4.60753327348153146E-015
         16, 6.24392217334403138E-015
         17, 1.63721274143795827E-015
         18, 1.67555128592962440E-015
         19, 1.15780118882535513E-015
         20, 2.13429958948997782E-015
         21, 3.17301299723582243E-015
         22, 1.50324658691914845E-015
         23, 1.91030624873307199E-015
         24, 3.05725431208836936E-015
         25, 1.92295428414587213E-015
         26, 1.35500141661551818E-015
         27, 2.13908877008211533E-015
         28, 2.52702847620002334E-015
         29, 4.22423036583502144E-015
         30, 4.59257558372171892E-015
         31, 9.50556778154231770E-015
         32, 3.15554707197243616E-015
        -31, 9.50556778154231770E-015
          0, 2.13900471728574280E-015
