         0, 2147483647,  1017, 1.24521990162015882E+306
         1,        496,  1016, 5.49575858526649141E-001
         2,        496,  1016, 2.08201180573979294E-001
         3,        496,  1016, 7.48638304675119243E-002
         4,        496,  1016, 7.74321271662879815E-004
         5,        496,  1016, 4.98375169283592446E-007
         6,        337,  1016, 2.24684267247557854E-012
         7,         43,  1016, 0.00000000000000000E+000
         8,          0,  1016, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.29394846570224360E-015
          2, 1.87166429832181019E-015
          3, 1.63816792858789533E-015
          4, 2.06670186326970726E-015
          5, 1.99163792711798319E-015
          6, 2.42307948438260749E-015
          7, 2.04804804683368999E-015
          8, 2.57920347772206429E-015
          9, 1.54193015923470805E-015
         10, 2.43283819285775891E-015
         11, 1.94116770909884747E-015
         12, 2.97310194556403651E-015
         13, 6.48256226169465284E-015
         14, 5.71816432434971023E-015
         15, 4.08335007239948015E-015
         16, 5.59150902466326229E-015
         17, 1.38426809254821524E-015
         18, 2.37397961162019846E-015
         19, 2.08327823627353756E-015
         20, 1.30360271120201184E-015
         21, 4.16833595136651391E-015
         22, 2.06670572436185727E-015
         23, 2.33610746912705724E-015
         24, 1.48281785104883406E-015
         25, 2.66653004592396867E-015
         26, 2.54375561946524277E-015
         27, 1.81515608632349246E-015
         28, 2.87165342877871218E-015
         29, 3.58545984039225607E-015
         30, 5.15351242434491566E-015
         31, 5.91565995364185247E-015
         32, 1.75672724770621944E-015
        -13, 6.48256226169465284E-015
          0, 2.14920827878638284E-015
