         0, 2147483647,  1017, 1.24521990162015882E+306
         1,        515,  1017, 5.49575858526648475E-001
         2,        503,  1017, 2.35735620310580263E-001
         3,        496,  1017, 3.29730689918508180E-002
         4,        496,  1017, 5.51008966864848676E-004
         5,        495,  1017, 3.19402909434954680E-007
         6,        264,  1017, 1.81856641107256722E-013
         7,         14,  1017, 3.25348953613775103E-016
         8,          0,  1017, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.39905738836699854E-015
          2, 2.54555923816649796E-015
          3, 1.76089466939881487E-015
          4, 1.77797702219128904E-015
          5, 1.44097349186592207E-015
          6, 1.79124732495859639E-015
          7, 2.14215864647138369E-015
          8, 2.48551745536682059E-015
          9, 1.89961791265253362E-015
         10, 4.03849006975709460E-015
         11, 1.79569818167432878E-015
         12, 2.09177076290021115E-015
         13, 4.16958611516761705E-015
         14, 3.94567193393357180E-015
         15, 5.65410639511576193E-015
         16, 1.29517933937492523E-014
         17, 1.72155509092099669E-015
         18, 1.62165868180485562E-015
         19, 1.43245864955404752E-015
         20, 1.43450987184887237E-015
         21, 1.98642089922082816E-015
         22, 2.99399614168450088E-015
         23, 1.95288860722717317E-015
         24, 4.07802934128137817E-015
         25, 2.25993112553809802E-015
         26, 2.60246805518792660E-015
         27, 2.53695750793067246E-015
         28, 3.43742486494119837E-015
         29, 4.44949392915427695E-015
         30, 6.13506626083051868E-015
         31, 4.77728258720045859E-015
         32, 2.34031885376543894E-015
        -16, 1.29517933937492523E-014
          0, 1.92626059296598858E-015
