         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8390650,  1008, 0.00000000000000000E+000
         2,    8390637,  1008, 0.00000000000000000E+000
         3,    8390502,  1008, 0.00000000000000000E+000
         4,    8390123,  1008, 0.00000000000000000E+000
         5,    8389515,  1008, 0.00000000000000000E+000
         6,    8388735,  1008, 0.00000000000000000E+000
         7,    8341426,  1008, 0.00000000000000000E+000
         8,    6528204,  1008, 0.00000000000000000E+000
         9,    4245936,  1008, 0.00000000000000000E+000
        10,    2255039,  1008, 0.00000000000000000E+000
        11,     782400,  1008, 0.00000000000000000E+000
        12,     104128,  1008, 0.00000000000000000E+000
        13,       2050,  1008, 0.00000000000000000E+000
        14,         57,  1008, 0.00000000000000000E+000
        15,          4,  1008, 0.00000000000000000E+000
        16,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 3.21867530832393631E-014
          2, 3.59123219410151033E-014
          3, 3.37747940233229495E-014
          4, 3.03222603137497357E-014
          5, 3.20682036007835322E-014
          6, 3.77940128290158369E-014
          7, 3.76449986801494737E-014
          8, 3.69331712540176263E-014
          9, 3.07115168844246710E-014
         10, 3.56635193021197926E-014
         11, 3.62411240104101982E-014
         12, 2.61932355666124100E-014
         13, 3.34928368687120677E-014
         14, 3.46050822460661816E-014
         15, 3.73659792068025187E-014
         16, 3.59852121698984220E-014
         17, 3.59768267846400628E-014
         18, 3.65470937658343069E-014
         19, 3.64003631923106500E-014
         20, 3.93901089642896386E-014
         21, 3.79406964001029634E-014
         22, 3.53717126787009032E-014
         23, 3.22903860317124171E-014
         24, 3.36446398415736323E-014
         25, 3.17848794653342837E-014
         26, 3.38156606731817174E-014
         27, 3.32561818321889719E-014
         28, 3.84856045478346963E-014
         29, 3.64020265656772452E-014
         30, 3.09687545890115428E-014
         31, 2.64151969538201705E-014
         32, 3.35242272401709822E-014
         33, 2.89087093893320056E-014
         34, 3.83943940390305834E-014
         35, 3.18382963079023358E-014
         36, 3.58178951812280381E-014
         37, 3.93662401996321720E-014
         38, 2.79312729987941743E-014
         39, 3.72834461435403079E-014
         40, 3.50555983561763105E-014
         41, 3.48399938387119551E-014
         42, 3.90929231595163064E-014
         43, 3.53151408446877827E-014
         44, 3.35317303117851569E-014
         45, 3.33322219268935391E-014
         46, 3.73229995047021775E-014
         47, 3.59545791509672491E-014
         48, 3.53353626112919564E-014
         49, 3.41052829076696021E-014
         50, 2.92820714182774294E-014
         51, 3.35385040316446309E-014
         52, 3.34974118029531937E-014
         53, 3.27144787375667223E-014
         54, 3.36803952092141096E-014
         55, 2.99733863359835525E-014
         56, 3.06604309903286254E-014
