         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8390644,  1008, 2.13293548935046540E-001
         2,    8390619,  1008, 1.33255926904971789E-001
         3,    8390505,  1008, 1.42050464239587004E-001
         4,    8390316,  1008, 1.29539123704660170E-001
         5,    8390029,  1008, 1.08341469941100776E-001
         6,    8389501,  1008, 1.20157462428446583E-002
         7,    8385718,  1008, 2.06547804933525326E-003
         8,    7931835,  1008, 8.33142899692645918E-005
         9,    6880321,  1008, 5.43758970714296230E-007
        10,    4689843,  1008, 7.70596286008504084E-010
        11,    1350914,  1008, 1.81733621633437760E-013
        12,     258638,  1008, 3.90685693276362302E-015
        13,      34112,  1008, 3.57822431115129043E-015
        14,        532,  1008, 3.56082997325757895E-015
        15,          9,  1008, 3.55539719947789858E-015
        16,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.38966816561710071E-012
          2, 1.45240942444057927E-012
          3, 1.58577552462778728E-012
          4, 1.34549593088734446E-012
          5, 1.33048703154701097E-012
          6, 1.71893302337020232E-012
          7, 1.63581300536693420E-012
          8, 1.82124588519214811E-012
          9, 1.79871647450072240E-012
         10, 1.79150295735437122E-012
         11, 1.43164269144949266E-012
         12, 1.79355006865470803E-012
         13, 1.77742356089172092E-012
         14, 1.48489729762392684E-012
         15, 1.61594074983536693E-012
         16, 1.72381420878548640E-012
         17, 1.79501691517398290E-012
         18, 1.37623826505996911E-012
         19, 1.68035138758317628E-012
         20, 1.78256581429266008E-012
         21, 1.41424030495403377E-012
         22, 1.75487396589116913E-012
         23, 1.49436526827799321E-012
         24, 1.43835654630867559E-012
         25, 1.49153894870995481E-012
         26, 1.70296660426805811E-012
         27, 1.74502198683724002E-012
         28, 1.71745064591265188E-012
         29, 1.52741086894733543E-012
         30, 1.59257353661510352E-012
         31, 1.61908539126459518E-012
         32, 1.31886569782764858E-012
         33, 1.46411748512962428E-012
         34, 1.49613001508982335E-012
         35, 1.48077574860759921E-012
         36, 1.33612144954184109E-012
         37, 1.47963400284412333E-012
         38, 1.49703387241185238E-012
         39, 1.45679864172905179E-012
         40, 1.53995171202137595E-012
         41, 1.52472804532298187E-012
         42, 1.29110345239809151E-012
         43, 1.70026894415337170E-012
         44, 1.73014363046541496E-012
         45, 1.72642608288657190E-012
         46, 1.70571052537356889E-012
         47, 1.70825929741402523E-012
         48, 1.81463004328152369E-012
         49, 1.82240809288038722E-012
         50, 1.85773573145178227E-012
         51, 1.58505599041762780E-012
         52, 1.85202926194616271E-012
         53, 1.69525488159688661E-012
         54, 1.57415980810231883E-012
         55, 1.46520178796584898E-012
         56, 1.79164149660002120E-012
         57, 1.46767323828717059E-012
         58, 1.86688420046608620E-012
         59, 1.86268498726165480E-012
         60, 1.72304868195476218E-012
         61, 1.72781375184328155E-012
         62, 1.78652456000898270E-012
         63, 1.91872057907161406E-012
         64, 1.88922122935542925E-012
         65, 1.66282227715216469E-012
         66, 1.94006788762260552E-012
         67, 1.91403942584116540E-012
         68, 1.66930759013387848E-012
         69, 1.83411618190152336E-012
         70, 1.54758444320227769E-012
         71, 1.62243192154969404E-012
         72, 1.83883347270974220E-012
         73, 1.53170510459992629E-012
         74, 1.91983320811245889E-012
         75, 1.39679434819917190E-012
         76, 1.64464222636370541E-012
         77, 1.91906754818051812E-012
         78, 1.83501785546437407E-012
         79, 1.74035614490248541E-012
         80, 1.81122825898821880E-012
         81, 1.71593658561068142E-012
         82, 1.82954303261380579E-012
         83, 1.71843603977621205E-012
         84, 1.96287246619063059E-012
         85, 1.83071092422269873E-012
         86, 1.90818222866378582E-012
         87, 1.87260612157610337E-012
         88, 1.99039967331033122E-012
         89, 1.92642607244706623E-012
         90, 1.89678904525014747E-012
         91, 1.75396491394912505E-012
         92, 1.89730656755256434E-012
         93, 1.76147085029465164E-012
         94, 1.71138239245372790E-012
         95, 1.71529166435404618E-012
         96, 1.71698612069499860E-012
         97, 1.77258639873861738E-012
         98, 1.80891571983135678E-012
         99, 1.79849296132922362E-012
        100, 1.70001118525408167E-012
        101, 1.42381771260628562E-012
        102, 1.94250253708508744E-012
        103, 1.83005622291206832E-012
        104, 1.79345637056490579E-012
        105, 1.74401132830877083E-012
        106, 1.70176680474773631E-012
        107, 1.71091783798678903E-012
        108, 1.64796293161637240E-012
        109, 1.78923111031654760E-012
        110, 1.75558040890240382E-012
        111, 2.00309812394695904E-012
        112, 1.78316000557145547E-012
        113, 2.05527950842883172E-012
        114, 1.78432373849094395E-012
        115, 1.89368495313253308E-012
        116, 1.71224170353819677E-012
        117, 1.58465249604563395E-012
        118, 1.80713792380601803E-012
        119, 1.52988349838973193E-012
        120, 1.60043494913511856E-012
        121, 1.76065558990148522E-012
        122, 1.70549929697273621E-012
        123, 1.67632600169860458E-012
        124, 1.91763126232165503E-012
        125, 1.83923764577969544E-012
        126, 1.93685029297487536E-012
        127, 1.82377075745942353E-012
        128, 1.71366394532629994E-012
        129, 1.73870067751323041E-012
        130, 1.86375427447074825E-012
        131, 1.88718623622970464E-012
        132, 1.54944039236333625E-012
        133, 1.70255401151658438E-012
        134, 1.93729677711641752E-012
        135, 1.91779751752575305E-012
        136, 1.82104704261929773E-012
        137, 1.93796090778962452E-012
        138, 1.88959829991525374E-012
        139, 1.89856806223999927E-012
        140, 1.90084535972831090E-012
        141, 1.68323490250132015E-012
        142, 1.95932546987237050E-012
        143, 1.72197248153875349E-012
        144, 1.58093184805990105E-012
        145, 1.97332721712141046E-012
        146, 1.87956750135038246E-012
        147, 1.84204452611397387E-012
        148, 2.10198610331374994E-012
        149, 1.88823431823106997E-012
        150, 1.83793107097545475E-012
        151, 1.60314368055353723E-012
        152, 1.80190220547842879E-012
        153, 2.01884174372141774E-012
        154, 2.25879225067130472E-012
        155, 1.98350540962369720E-012
        156, 1.83741834926637634E-012
        157, 1.68724423485621627E-012
        158, 1.63464181233113119E-012
        159, 1.88237133550435140E-012
        160, 1.95313579242141999E-012
        161, 1.81097391253274608E-012
        162, 1.91830091055569555E-012
        163, 1.80269960951261820E-012
        164, 1.90828389472623554E-012
        165, 1.98984088389641678E-012
        166, 2.08310952829574860E-012
        167, 1.85827746927130068E-012
        168, 1.92421714644109179E-012
        169, 1.27713072053152332E-012
        170, 1.86422229207018784E-012
        171, 2.07897896336636294E-012
        172, 1.82205277538825617E-012
        173, 1.97176450365523827E-012
        174, 1.94537871348589145E-012
        175, 2.22368792457019869E-012
        176, 2.08774202296838717E-012
        177, 1.98201058900291557E-012
        178, 2.08240782784768777E-012
        179, 1.75992590408440684E-012
        180, 1.92200103330158491E-012
        181, 1.83486029790446140E-012
        182, 1.58789972390876537E-012
        183, 1.66851583297166059E-012
        184, 1.42209183573820072E-012
        185, 1.86801278479058346E-012
        186, 2.20451299880007555E-012
        187, 1.99183049734337607E-012
        188, 1.84073909117628061E-012
        189, 1.70521942000014854E-012
        190, 1.85615365097579444E-012
        191, 2.05372805762115553E-012
        192, 1.85467651045845800E-012
        193, 2.13438321134647510E-012
        194, 1.98377968902585669E-012
        195, 2.11368734705834595E-012
        196, 1.84576690283626696E-012
        197, 1.94950759784683359E-012
        198, 1.85872619819366163E-012
        199, 1.80918380223406170E-012
        200, 1.84876219714643444E-012
        201, 1.80377692206519394E-012
        202, 1.93257277201272981E-012
        203, 1.99702817462042566E-012
        204, 2.28128396560699864E-012
        205, 1.93869192855649373E-012
        206, 2.08439998118187198E-012
        207, 1.93682407557619284E-012
        208, 1.88520756942068738E-012
        209, 2.03290941474213942E-012
        210, 1.78478540250236179E-012
        211, 2.01458074850938632E-012
        212, 1.82263516991000553E-012
        213, 1.54970775935089835E-012
        214, 1.96607327301303401E-012
        215, 2.11936261091678303E-012
        216, 2.14268229434718586E-012
        217, 1.40516057386326620E-012
        218, 1.81143990369598469E-012
        219, 2.02921480289463892E-012
        220, 2.05630400045665612E-012
        221, 2.05752743232387425E-012
        222, 1.81077932269563950E-012
        223, 1.75648598586819119E-012
