         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8390642,  1008, 2.50945384207418520E-001
         2,    8390625,  1008, 2.17845808393541979E-001
         3,    8390538,  1008, 1.81301612735187329E-001
         4,    8390428,  1008, 2.00401030740345293E-001
         5,    8390255,  1008, 1.73989791974655084E-001
         6,    8389863,  1008, 1.14373443814989512E-001
         7,    8388813,  1008, 2.88321254705196537E-003
         8,    8319481,  1008, 7.69627300756472294E-004
         9,    7988218,  1008, 1.79675158200829725E-005
        10,    6918999,  1008, 4.06022692482311032E-008
        11,    3238768,  1008, 4.59857630562990138E-012
        12,     545376,  1008, 4.08676514212716346E-015
        13,      85931,  1008, 3.57704911645504465E-015
        14,       3942,  1008, 3.60759022314045593E-015
        15,         48,  1008, 3.55484043279268506E-015
        16,          5,  1008, 3.56519210600486707E-015
        17,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.49819477259500835E-012
          2, 1.26749959835475571E-012
          3, 1.36535221158803206E-012
          4, 1.22570182514431208E-012
          5, 1.41451956215979902E-012
          6, 1.34747560858511948E-012
          7, 1.50564682788413114E-012
          8, 1.64038103252597973E-012
          9, 1.51581281658640005E-012
         10, 1.49387770219721383E-012
         11, 1.31346458726048574E-012
         12, 1.30826467281780525E-012
         13, 1.30296038330400957E-012
         14, 1.34105850407584047E-012
         15, 1.30880157091220744E-012
         16, 1.39771750007755929E-012
         17, 1.30826002736025944E-012
         18, 1.38596427758462773E-012
         19, 1.31099801757074199E-012
         20, 1.37395031607004064E-012
         21, 1.45469202396310254E-012
         22, 1.33459645782219182E-012
         23, 1.30492791224944625E-012
         24, 1.55732668563544533E-012
         25, 1.20434654128419624E-012
         26, 1.42110791831346513E-012
         27, 1.29115325729550729E-012
         28, 1.51273429190594967E-012
         29, 1.36614806620972883E-012
         30, 1.57945414086193248E-012
         31, 1.36883864482581147E-012
         32, 1.53713239623843040E-012
         33, 1.43616510166268708E-012
         34, 1.31075582005701865E-012
         35, 1.31196694278066162E-012
         36, 1.40587526731565686E-012
         37, 1.42156348127809248E-012
         38, 1.46972138902055458E-012
         39, 1.52783093400026900E-012
         40, 1.41042992481314406E-012
         41, 1.27221458936223086E-012
         42, 1.73683196041042232E-012
         43, 1.54182718891827860E-012
         44, 1.49715952098725454E-012
         45, 1.44149783474529553E-012
         46, 1.23999960651412097E-012
         47, 1.28877320624159148E-012
         48, 1.26317125832648474E-012
         49, 1.52008423263408939E-012
         50, 1.39947048268869687E-012
         51, 1.30819204739277969E-012
         52, 1.31257602211464294E-012
         53, 1.37456516750454823E-012
         54, 1.37778200367254132E-012
         55, 1.33521963136611389E-012
         56, 1.45078779588812260E-012
         57, 1.50935137844682608E-012
         58, 1.33674514233416523E-012
         59, 1.38879840528336513E-012
         60, 1.34369319807441192E-012
         61, 1.50863458405120314E-012
         62, 1.35527297698566992E-012
         63, 1.40989034942283227E-012
         64, 1.30729637478637134E-012
         65, 1.33513482118728560E-012
         66, 1.45202932770919264E-012
         67, 1.41594229943233543E-012
         68, 1.48613458745583578E-012
         69, 1.35534470657606350E-012
         70, 1.36205233417752403E-012
         71, 1.33588248078401376E-012
         72, 1.32189159166990617E-012
         73, 1.36587241512041397E-012
         74, 1.39248321190627352E-012
         75, 1.37709018882145864E-012
         76, 1.32368297083416351E-012
         77, 1.39502301837470736E-012
         78, 1.27835494106713453E-012
         79, 1.24612430211885889E-012
         80, 1.44101534207166648E-012
         81, 1.29274951944945961E-012
         82, 1.39227591646232041E-012
         83, 1.40865431965441086E-012
         84, 1.31284781856177416E-012
         85, 1.46246646254380615E-012
         86, 1.59882448986326048E-012
         87, 1.36525551083778421E-012
         88, 1.48610567522788012E-012
         89, 1.42546776765750232E-012
         90, 1.22913896693456773E-012
         91, 1.37780254923140634E-012
         92, 1.34483111729245452E-012
         93, 1.26219657909850793E-012
         94, 1.26808786828521324E-012
         95, 1.32582649082795501E-012
         96, 1.35598479391259813E-012
         97, 1.16058609186653294E-012
         98, 1.29790059091204641E-012
         99, 1.22461171890787169E-012
        100, 1.21159306337889863E-012
        101, 1.27505312119804757E-012
        102, 1.14784027514642595E-012
        103, 1.44280053367142178E-012
        104, 1.49748038879903951E-012
        105, 1.34457373165825678E-012
        106, 1.33622273997953215E-012
        107, 1.37391463023851482E-012
        108, 1.33630686478725799E-012
        109, 1.33536108356182814E-012
        110, 1.28942292058024781E-012
        111, 1.37936759461574794E-012
        112, 1.21796643993985996E-012
        113, 1.39623490290761538E-012
        114, 1.27390612565116376E-012
        115, 1.41031531767320948E-012
        116, 1.53708624063542883E-012
        117, 1.48613478521863868E-012
        118, 1.29350528022693420E-012
        119, 1.52264109075265439E-012
        120, 1.42599817655361598E-012
        121, 1.44304629165215251E-012
        122, 1.26611710962048151E-012
        123, 1.37154989650386125E-012
        124, 1.14148218555500389E-012
        125, 1.35541450116361144E-012
        126, 1.33012202417235950E-012
        127, 1.29701779001650011E-012
        128, 1.35059924075621979E-012
        129, 1.22119870383757050E-012
        130, 1.27118224587682648E-012
        131, 1.46050932288282680E-012
        132, 1.24728134715646939E-012
        133, 1.29755632017445194E-012
        134, 1.29421724384973215E-012
        135, 1.45348865181242151E-012
        136, 1.28480183180376631E-012
        137, 1.22015134424719449E-012
        138, 1.37654704553760954E-012
        139, 1.31273619751203312E-012
        140, 1.34621926760929378E-012
        141, 1.34649609422437004E-012
        142, 1.32892845799077675E-012
        143, 1.23993277089707646E-012
        144, 1.16113832472769348E-012
        145, 1.19496994177188630E-012
        146, 1.14669860363133213E-012
        147, 1.27732379624393442E-012
        148, 1.20970176057816559E-012
        149, 1.52567501065897037E-012
        150, 1.36243327827927772E-012
        151, 1.30581494752747223E-012
        152, 1.23385967501685539E-012
        153, 1.21775746885334609E-012
        154, 1.43095324745853193E-012
        155, 1.24215713772648148E-012
        156, 1.39254385858890897E-012
        157, 1.28035364799424007E-012
        158, 1.56579783206200360E-012
        159, 1.34075919081988653E-012
        160, 1.33650735770992392E-012
        161, 1.30647074311514697E-012
        162, 1.31114054588123319E-012
        163, 1.46584408110607186E-012
        164, 1.35298190582440068E-012
        165, 1.44116771492055938E-012
        166, 1.33147478233404616E-012
        167, 1.28602516569294701E-012
        168, 1.32649047863134774E-012
        169, 1.35149119651596354E-012
        170, 1.36475969786940424E-012
        171, 1.28696364466215149E-012
        172, 1.21207794607041797E-012
        173, 1.22901678178130997E-012
        174, 1.20620370780797224E-012
        175, 1.29716341813958236E-012
        176, 1.31247192894315853E-012
        177, 1.33537548634507525E-012
        178, 1.37112195547336852E-012
        179, 1.42118902853200242E-012
        180, 1.28299313095550023E-012
        181, 1.32265933634137276E-012
        182, 1.26724857783033484E-012
        183, 1.26814780261950222E-012
        184, 1.34716263576386138E-012
        185, 1.29869601167594639E-012
        186, 1.15316519977789885E-012
        187, 1.39578932834420122E-012
        188, 1.23243975674644005E-012
        189, 1.25966226261100396E-012
        190, 1.37434034818466468E-012
        191, 1.61317169681450167E-012
        192, 1.24403072877316792E-012
        193, 1.36857534898554108E-012
        194, 1.44292703078841696E-012
        195, 1.44846665195703024E-012
        196, 1.35495614549833156E-012
        197, 1.26948692643965708E-012
        198, 1.43160720415143834E-012
        199, 1.35566174512409432E-012
        200, 1.43630292571291692E-012
        201, 1.36118599541177868E-012
        202, 1.27267406290846525E-012
        203, 1.45567008821327187E-012
        204, 1.40179845585973500E-012
        205, 1.21340089276067015E-012
        206, 1.16563709995558166E-012
        207, 1.26288454706186736E-012
        208, 1.22580721321138806E-012
        209, 1.21535961894512290E-012
        210, 1.20888226586520286E-012
        211, 1.30667159885698426E-012
        212, 1.23034119102282638E-012
        213, 1.25269090418634200E-012
        214, 1.35489627326246944E-012
        215, 1.25945591398514668E-012
        216, 1.29923714210425691E-012
        217, 1.43905464740424854E-012
        218, 1.34481862130631033E-012
        219, 1.34789422175970174E-012
        220, 1.38154753941985318E-012
        221, 1.47971323965701967E-012
        222, 1.44566227707365700E-012
        223, 1.27346529015217624E-012
        224, 1.35530441135228126E-012
        225, 1.23227448664251312E-012
        226, 1.47936846453394717E-012
        227, 1.21705900476826375E-012
        228, 1.27647369609150216E-012
        229, 1.30530963522914810E-012
        230, 1.15534927387978127E-012
        231, 1.34771099635540495E-012
        232, 1.24503352949268934E-012
        233, 1.26925382363356917E-012
        234, 1.25343968315521846E-012
        235, 1.20631715346024153E-012
        236, 1.29978224918426100E-012
        237, 1.22396191527527644E-012
        238, 1.39016473854748037E-012
        239, 1.24647099914956908E-012
        240, 1.25507180058388697E-012
        241, 1.47387672801831128E-012
        242, 1.30269712501619066E-012
        243, 1.32442802310929344E-012
        244, 1.27140716132212541E-012
        245, 1.20073717815853522E-012
        246, 1.31959919210984573E-012
        247, 1.26366140584083024E-012
        248, 1.29525189423100072E-012
        249, 1.22690687750096895E-012
        250, 1.30896984921395278E-012
        251, 1.28065342331721652E-012
        252, 1.36174560247002736E-012
        253, 1.59752875921716658E-012
        254, 1.57650518949740163E-012
        255, 1.49767002474708754E-012
        256, 1.42056781865265020E-012
        257, 1.43913895538556503E-012
        258, 1.21124731829467421E-012
        259, 1.32195675805039465E-012
        260, 1.37657139186437097E-012
        261, 1.42345166038656192E-012
        262, 1.35339854164701955E-012
        263, 1.43245946887772714E-012
        264, 1.22679401106315351E-012
        265, 1.26516524740682860E-012
        266, 1.23160485251858957E-012
        267, 1.42241960331833730E-012
        268, 1.51363634242798132E-012
        269, 1.62002493612431808E-012
        270, 1.34857943376300032E-012
        271, 1.18162723513906972E-012
        272, 1.35223989550880130E-012
        273, 1.46207038804643890E-012
        274, 1.46216880305309833E-012
        275, 1.21673757221665269E-012
        276, 1.30054375587195723E-012
        277, 1.39042486280266715E-012
        278, 1.33423234106681108E-012
        279, 1.40913767900814371E-012
        280, 1.42503182128010222E-012
        281, 1.42647119241518087E-012
        282, 1.45383001790102218E-012
        283, 1.32672559545418555E-012
        284, 1.23613175861764790E-012
        285, 1.32948218752733084E-012
        286, 1.25857556459286261E-012
        287, 1.23595799018992831E-012
        288, 1.28491489972422496E-012
        289, 1.52950033582658726E-012
        290, 1.33149863510380696E-012
        291, 1.20356086628478919E-012
        292, 1.23109597986826948E-012
        293, 1.47765988402350561E-012
        294, 1.38631142190904314E-012
        295, 1.57106564889592411E-012
        296, 1.46489286423977052E-012
        297, 1.35650066696462547E-012
        298, 1.54093772460397698E-012
        299, 1.32621674707800056E-012
        300, 1.30120513571374495E-012
        301, 1.33153858742946628E-012
        302, 1.33827377263404784E-012
        303, 1.50846623165256390E-012
        304, 1.51091213757295860E-012
        305, 1.22741743243095842E-012
        306, 1.38746357281609502E-012
        307, 1.48771600230892782E-012
        308, 1.41806467925716680E-012
        309, 1.39858962757072062E-012
        310, 1.34717367271415171E-012
        311, 1.40684226730058266E-012
        312, 1.40735465939111065E-012
        313, 1.52736699701542599E-012
        314, 1.45296029632857306E-012
        315, 1.32636001426856811E-012
        316, 1.32250185168083113E-012
        317, 1.30260518116175510E-012
        318, 1.41500661775118740E-012
        319, 1.35533065245559532E-012
        320, 1.43214311102023283E-012
        321, 1.41098958392500415E-012
        322, 1.34009289522017465E-012
        323, 1.54954664468768806E-012
        324, 1.39959856347107873E-012
        325, 1.42906490292156736E-012
        326, 1.39169913574496944E-012
        327, 1.59899766384582247E-012
        328, 1.56183294715283091E-012
        329, 1.65586178809118816E-012
        330, 1.92626309229221199E-012
        331, 1.29985399171931324E-012
        332, 1.55447098696390629E-012
        333, 1.47647607903231963E-012
        334, 1.41659416600278850E-012
        335, 1.47795331738376912E-012
        336, 1.53184624244507879E-012
        337, 1.52346311197130520E-012
        338, 1.42358046277402998E-012
        339, 1.45722863789825279E-012
        340, 1.42315489933089091E-012
        341, 1.44943867438547102E-012
        342, 1.40320276781792406E-012
        343, 1.35699852710112714E-012
        344, 1.52417648998683497E-012
        345, 1.51733940361200323E-012
        346, 1.68189671260980081E-012
        347, 1.91627346679938014E-012
        348, 1.58232135540091005E-012
        349, 1.50757555601171017E-012
        350, 1.55038885893793326E-012
        351, 1.44750736816208810E-012
        352, 1.52523559744498243E-012
        353, 1.36286774554806966E-012
        354, 1.54514145885096144E-012
        355, 1.53095596443221723E-012
        356, 1.58052354065354514E-012
        357, 1.53528614894886934E-012
        358, 1.85499250611033248E-012
        359, 1.81965400190736552E-012
        360, 1.68125537753925465E-012
        361, 1.66370167253114055E-012
        362, 1.73575889879000888E-012
        363, 1.45010306113072367E-012
        364, 1.48616938618024643E-012
        365, 1.64241810639017551E-012
        366, 1.54934469737497689E-012
        367, 1.58641211369661623E-012
        368, 1.69169071650779452E-012
        369, 1.51429722539361330E-012
        370, 1.48013657176358521E-012
        371, 1.61629882443419818E-012
        372, 1.70558310195386065E-012
        373, 1.48740648282972757E-012
        374, 1.36714157308024312E-012
        375, 1.67660398452032320E-012
        376, 1.70399969368919660E-012
        377, 1.47548717984008599E-012
        378, 1.51246343270307781E-012
        379, 1.53441166732212397E-012
        380, 1.59603481878449881E-012
        381, 1.84393466630738439E-012
        382, 1.43594000494228808E-012
        383, 1.71640314454193157E-012
        384, 1.86327613956599213E-012
        385, 2.02842707913874165E-012
        386, 1.72245458684982455E-012
        387, 1.75879920683409804E-012
        388, 1.73934851682449217E-012
        389, 1.61933741372773915E-012
        390, 1.44607210584219281E-012
        391, 1.90022503431752784E-012
        392, 1.64601697292111050E-012
        393, 1.81858999545254472E-012
        394, 1.99757786260608635E-012
        395, 2.12227798117995740E-012
        396, 1.67991779715250114E-012
