         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8390636,  1008, 1.78906983313884854E-001
         2,    8390613,  1008, 2.06564845758279186E-001
         3,    8390549,  1008, 1.77757497511059126E-001
         4,    8390490,  1008, 1.56103503893015277E-001
         5,    8390322,  1008, 1.74739934323792034E-001
         6,    8389998,  1008, 1.77330024812502901E-001
         7,    8388974,  1008, 5.72306045615301150E-003
         8,    8387571,  1008, 1.42313542115702404E-003
         9,    8240120,  1008, 3.86059301652808863E-005
        10,    7638412,  1008, 8.98651338298974810E-008
        11,    4681180,  1008, 1.53638054567267333E-011
        12,     485796,  1008, 4.40122163921948589E-015
        13,      72151,  1008, 3.57829200829912324E-015
        14,       3140,  1008, 3.57595560422546228E-015
        15,         26,  1008, 3.55918574856963990E-015
        16,          4,  1008, 3.41058895019798817E-015
        17,          1,  1008, 0.00000000000000000E+000
        18,          1,  1008, 0.00000000000000000E+000
        19,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.41167663578112020E-014
          2, 1.34227716921412674E-014
          3, 1.26527882236703424E-014
          4, 1.27677054635978638E-014
          5, 1.23489083580765268E-014
          6, 1.25027213845743073E-014
          7, 1.32089317276539461E-014
          8, 1.26583124525947157E-014
          9, 1.27775412138803795E-014
         10, 1.21717841678417767E-014
         11, 1.27021142679070085E-014
         12, 1.20919543908459133E-014
         13, 1.24332700063436141E-014
         14, 1.20867939886260064E-014
         15, 1.19294901507442978E-014
         16, 1.29669695781683583E-014
         17, 1.35967356436813103E-014
         18, 1.24343819812633469E-014
         19, 1.45727542422085116E-014
         20, 1.56894090786313512E-014
         21, 1.47623909118542131E-014
         22, 1.39878494451984115E-014
         23, 1.31922641164270292E-014
         24, 1.72189026977451706E-014
         25, 1.69442953289682359E-014
         26, 1.59466804095239861E-014
         27, 1.65471110603972157E-014
         28, 1.80806024991569719E-014
         29, 1.57091851104209583E-014
         30, 1.76244365693941417E-014
         31, 1.68717101085894013E-014
         32, 1.67160093299155834E-014
         33, 1.66751343087305036E-014
         34, 1.60924130257621984E-014
         35, 1.86758515009071093E-014
         36, 1.83198363685010860E-014
         37, 1.61613973752796251E-014
         38, 1.76214459929399788E-014
         39, 1.73809531559327779E-014
         40, 1.79400914499048962E-014
         41, 1.58669842210287501E-014
         42, 1.78711132143978242E-014
         43, 1.74834621904777514E-014
         44, 1.72778213389789562E-014
         45, 1.75281141875890446E-014
         46, 1.72688403598429843E-014
         47, 1.72622673232138217E-014
         48, 1.67902620886918150E-014
         49, 1.55485983604509892E-014
         50, 1.40476472185476234E-014
         51, 1.62130382119700334E-014
         52, 1.83750511344980905E-014
         53, 1.42434455272148200E-014
         54, 1.51132153290768544E-014
         55, 1.70105779633602240E-014
         56, 1.53964131106707304E-014
         57, 1.56215533661934371E-014
         58, 1.53299018075465666E-014
         59, 1.53399506093556413E-014
         60, 1.64499733183450017E-014
         61, 1.49538113098185451E-014
         62, 1.48307268535981477E-014
         63, 1.49915792327873444E-014
         64, 1.72864628094989368E-014
         65, 1.54925943191645036E-014
         66, 1.51916758794790685E-014
         67, 1.71346508024329803E-014
         68, 1.43636342700209256E-014
         69, 1.43682717949987464E-014
         70, 1.53886630674688709E-014
         71, 1.45342910114266561E-014
         72, 1.44151554212103096E-014
         73, 1.46479086978934263E-014
         74, 1.55882202876304005E-014
         75, 1.48516954696458176E-014
         76, 1.63200703894604902E-014
         77, 1.66126274263087368E-014
         78, 1.48072110782363177E-014
         79, 1.51315213253394823E-014
         80, 1.52639811485458302E-014
         81, 1.47913178120023723E-014
         82, 1.58794392200547857E-014
         83, 1.68656954987993730E-014
         84, 1.49906134620094695E-014
         85, 1.67573165097592126E-014
         86, 1.54341167738381734E-014
         87, 1.53584847611955709E-014
         88, 1.47962014310745373E-014
         89, 1.48510111450117742E-014
         90, 1.65126506302956600E-014
         91, 1.68926069095883096E-014
         92, 1.57664900313936691E-014
         93, 1.69254120101302893E-014
         94, 1.52123952778438287E-014
         95, 1.55225824694517103E-014
         96, 1.56723262384184146E-014
         97, 1.68440167935393839E-014
         98, 1.54770355447630392E-014
         99, 1.79041872554405339E-014
        100, 1.81758912930723049E-014
        101, 1.80796691675973679E-014
        102, 1.73298828077115218E-014
        103, 1.74698902055381423E-014
        104, 1.76420324950009265E-014
        105, 1.86103031315962976E-014
        106, 1.71880087215768943E-014
        107, 1.96953241000121074E-014
        108, 1.95955272212172412E-014
        109, 1.73437699646749615E-014
        110, 1.80196237308068296E-014
        111, 2.13577442173683938E-014
        112, 1.61944022583127474E-014
        113, 2.03907661700345187E-014
        114, 2.09069667952237213E-014
        115, 1.99331756282660090E-014
        116, 2.21570742218776753E-014
        117, 2.04500800225892549E-014
        118, 2.14033690956401881E-014
        119, 1.95992841915608505E-014
        120, 2.03444574470876570E-014
        121, 2.02758017928807906E-014
        122, 2.06011401467860261E-014
        123, 2.10409358613915031E-014
        124, 1.97647170508570725E-014
        125, 2.19023575675222637E-014
        126, 2.22075605754278046E-014
        127, 2.04182228830954691E-014
        128, 2.36500390481770653E-014
        129, 2.23147921836917967E-014
        130, 2.30569992022787721E-014
        131, 2.33235490626404250E-014
        132, 2.10701047143020156E-014
        133, 2.20130453364800836E-014
        134, 2.24355639891752259E-014
        135, 2.31001356438753406E-014
        136, 2.71700811575974173E-014
        137, 2.59838464640297841E-014
        138, 2.51430171135182899E-014
        139, 2.42309473901361127E-014
        140, 2.62364048876097033E-014
        141, 2.37179245145788408E-014
        142, 2.60024887150157051E-014
        143, 2.44821496357201153E-014
        144, 2.53946625995925150E-014
        145, 2.97446568577348512E-014
        146, 2.64105194680381131E-014
        147, 3.08993729098309192E-014
        148, 2.62664445445835604E-014
        149, 2.42661328447335402E-014
        150, 2.67747552888618249E-014
        151, 2.98053160278834551E-014
        152, 2.85432335542488213E-014
        153, 2.53970804847570549E-014
        154, 2.66578597985060368E-014
        155, 2.63833017385910493E-014
        156, 2.48301552853850553E-014
        157, 3.22680186187352141E-014
        158, 2.56240209411813737E-014
        159, 2.83690600328425975E-014
        160, 2.98789653637844542E-014
        161, 3.14830064106237131E-014
        162, 2.69540170214290632E-014
        163, 3.00053077032408351E-014
        164, 3.16395567814708461E-014
        165, 3.07284786959221868E-014
        166, 3.03864492432449311E-014
        167, 2.96451609287527452E-014
        168, 2.75248216720639129E-014
        169, 2.78390486025064309E-014
        170, 3.08023727214845423E-014
        171, 2.82369222001030506E-014
        172, 2.94797722258085700E-014
        173, 3.12053529985398161E-014
        174, 2.82391654689260465E-014
        175, 2.93556180314455552E-014
        176, 2.75461432329479245E-014
        177, 3.01913939895514838E-014
        178, 2.71718979477198259E-014
        179, 3.01765168848415483E-014
        180, 2.78287519550941439E-014
        181, 2.49017560032948725E-014
        182, 2.95619501764578329E-014
        183, 2.63265557875146337E-014
        184, 2.61338894867267889E-014
        185, 2.88980058891385445E-014
        186, 3.09340321640827152E-014
        187, 3.12106180699820371E-014
        188, 3.10453567464697487E-014
        189, 3.20033259061762256E-014
        190, 3.04676670131088161E-014
        191, 2.68439172911838269E-014
        192, 2.87130785818311381E-014
        193, 2.69955268564458843E-014
        194, 2.96046507635410927E-014
        195, 3.02109096711853741E-014
        196, 3.07957193369244928E-014
        197, 3.05328185878754549E-014
        198, 3.12581286541453868E-014
        199, 3.24733640982231599E-014
        200, 3.05256037216851455E-014
        201, 3.14048511008793887E-014
        202, 3.48273369427589856E-014
        203, 3.04925427133048438E-014
        204, 3.26878221511908896E-014
        205, 3.34464393574133781E-014
        206, 3.36477851192218630E-014
        207, 2.88797568582137305E-014
        208, 3.23140069542148487E-014
        209, 3.14260288761413912E-014
        210, 3.15627057431015570E-014
        211, 3.39565977337259920E-014
        212, 3.52369312929586751E-014
        213, 3.20756388136638378E-014
        214, 3.45946620874162462E-014
        215, 3.56046327067814932E-014
        216, 3.48641839783639626E-014
        217, 3.43938663987362105E-014
        218, 3.53653285399782623E-014
        219, 3.42280158129359434E-014
        220, 3.83208483165111015E-014
        221, 3.64756900889757407E-014
        222, 3.61377867429782107E-014
        223, 3.72082753743458281E-014
        224, 3.95253828281157990E-014
        225, 4.10449447333739572E-014
        226, 4.11336304191719518E-014
        227, 3.93693681777670982E-014
        228, 3.81335399694320351E-014
        229, 3.79884829753259891E-014
        230, 3.73946142993796000E-014
        231, 3.86205851605872967E-014
        232, 4.28698872413735514E-014
        233, 3.77815195768403205E-014
        234, 3.96037675031616944E-014
        235, 4.23476890698972321E-014
        236, 4.14171544613370937E-014
        237, 4.03164713152389309E-014
        238, 4.70258067653668481E-014
        239, 4.51300141462993761E-014
        240, 4.43730119591832245E-014
        241, 4.36234860383217820E-014
        242, 4.31566508237139157E-014
        243, 4.22133976694732172E-014
        244, 4.52303649790922364E-014
        245, 4.45060508233733259E-014
        246, 4.49678271057160544E-014
        247, 4.57316510553530418E-014
        248, 4.46940358236184663E-014
        249, 4.77887876200293059E-014
        250, 5.03350804651647250E-014
        251, 4.55880508649292308E-014
        252, 5.16214309023745879E-014
        253, 4.79413924901416563E-014
        254, 4.82948006235375478E-014
        255, 5.02664680569552163E-014
        256, 5.25083644046358511E-014
        257, 4.64048856336127705E-014
        258, 4.73918689778454395E-014
        259, 5.12849481570472455E-014
        260, 5.34009707722497291E-014
        261, 5.01440477505875247E-014
        262, 5.18651918220991039E-014
        263, 6.41998044546805224E-014
        264, 5.26081747046796742E-014
        265, 5.92181020497522204E-014
        266, 6.43919690377813977E-014
        267, 5.96205936041072229E-014
        268, 6.03544546548636879E-014
        269, 6.45106300410155113E-014
        270, 5.60198525855019093E-014
        271, 6.13017866925957625E-014
        272, 6.06098842611891971E-014
        273, 6.10950839749960009E-014
        274, 5.97760664311096324E-014
        275, 7.64518004054940907E-014
        276, 5.99471201418888144E-014
        277, 5.47821492083663613E-014
        278, 6.76997099713678388E-014
        279, 6.22018795264875970E-014
        280, 7.08159436442724072E-014
        281, 6.43332637225174648E-014
        282, 6.44864334569290528E-014
        283, 8.89502538841128185E-014
        284, 7.29651101932570131E-014
        285, 7.46882030898474044E-014
        286, 8.21777452029787249E-014
        287, 8.50863976492074254E-014
        288, 7.88866516770312850E-014
        289, 7.66236155925008217E-014
        290, 6.56100843702577301E-014
        291, 7.09546328545419082E-014
        292, 8.15337270925133395E-014
        293, 8.07542572796089397E-014
        294, 8.84913779323764969E-014
        295, 1.00373318179941648E-013
        296, 8.88338019650460612E-014
        297, 7.92777254392839006E-014
        298, 8.30048871487013758E-014
        299, 7.95249939099327293E-014
        300, 1.01811952621303163E-013
        301, 8.95038275637589751E-014
        302, 9.18058676408851980E-014
        303, 8.71721734156189813E-014
        304, 8.08365445249105738E-014
        305, 7.91609384935828298E-014
        306, 1.05922392414356678E-013
        307, 9.86745687608574999E-014
        308, 9.68184896562148892E-014
        309, 9.58571364192241799E-014
        310, 9.01179139224495034E-014
        311, 1.04814995191170924E-013
        312, 9.40842130407018593E-014
        313, 1.08177137415889619E-013
        314, 1.08896559392547224E-013
        315, 9.99969795891424886E-014
        316, 1.03882771308385261E-013
        317, 9.73537460336443408E-014
        318, 9.75982933419738845E-014
        319, 9.84620761087630009E-014
        320, 8.90862651269116261E-014
        321, 1.11197461204595448E-013
        322, 1.21686884706725935E-013
        323, 1.03701760418345574E-013
        324, 1.03521685759109720E-013
        325, 9.65807110692931839E-014
        326, 9.90339782145093912E-014
        327, 1.07544615367803088E-013
        328, 1.09361505658859734E-013
        329, 9.64072132321016654E-014
        330, 1.20576712746153100E-013
        331, 1.03653433613531078E-013
        332, 1.08331987878093992E-013
