         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8390640,  1008, 2.86323664238914144E-001
         2,    8390627,  1008, 1.06100519059173351E-001
         3,    8390462,  1008, 1.16111477118454931E-001
         4,    8390187,  1008, 1.12972510210672339E-001
         5,    8389815,  1008, 1.07491410486677000E-001
         6,    8389136,  1008, 1.05438850721852745E-002
         7,    8378142,  1008, 1.23045995517199222E-003
         8,    7313606,  1008, 3.07710358163571914E-005
         9,    5726220,  1008, 1.42394549894949446E-007
        10,    3208982,  1008, 1.48305793570761677E-010
        11,     717141,  1008, 3.59151736977331304E-014
        12,     116574,  1008, 3.56912960234488564E-015
        13,       6799,  1008, 3.54947608658241293E-015
        14,         46,  1008, 1.84744941073620422E-015
        15,          4,  1008, 5.16075306975548165E-016
        16,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.33871577020691139E-012
          2, 1.16895463361340347E-012
          3, 1.20418030069539717E-012
          4, 6.10624422528731284E-013
          5, 1.29454540243022043E-012
          6, 6.29044629413870239E-013
          7, 5.78925489165804790E-013
          8, 9.12876760854628096E-013
          9, 5.79997342292839798E-013
         10, 8.20767415104471728E-013
         11, 5.51800314616789731E-013
         12, 8.22716926631937577E-013
         13, 5.53837596460443489E-013
         14, 1.31252598831411916E-012
         15, 1.31946315620715758E-012
         16, 1.36559565272452278E-012
         17, 1.09665388401557397E-012
         18, 1.27951426370909602E-012
         19, 1.22018502107226537E-012
         20, 7.63035541454605204E-013
         21, 6.23651903203187108E-013
         22, 6.36748773460192069E-013
         23, 1.10845288995684197E-012
         24, 1.10152142652676695E-012
         25, 1.27119585388634120E-012
         26, 1.36468731779676722E-012
         27, 9.89598257510141957E-013
         28, 1.07956473744922331E-012
         29, 1.48975463897222260E-012
         30, 9.45112863546908374E-013
         31, 1.08944395544339946E-012
         32, 9.41898671851021452E-013
         33, 1.01895132081557012E-012
         34, 1.13607893757747380E-012
         35, 7.51651200179124002E-013
         36, 6.29458926402404869E-013
         37, 8.48344073761811625E-013
         38, 6.76565445736014717E-013
         39, 7.78809760720353178E-013
         40, 1.41416952851216420E-012
         41, 7.78974317888619559E-013
         42, 7.11401012009941993E-013
         43, 7.34561571103997543E-013
         44, 6.21491278350160381E-013
         45, 6.12882076283656978E-013
         46, 7.77070136973618203E-013
         47, 9.17486521850325817E-013
         48, 1.28352810211246621E-012
         49, 1.12985875748503264E-012
         50, 6.42749337459169048E-013
         51, 1.00083544572920147E-012
         52, 5.64320139007634249E-013
         53, 9.99735722243316499E-013
         54, 6.89619285898508194E-013
         55, 6.19223981824444964E-013
         56, 6.55190928331298652E-013
         57, 6.19754963711226169E-013
         58, 1.26919484711944847E-012
         59, 1.20174239854821407E-012
         60, 7.24553905113350351E-013
         61, 7.29361722940355131E-013
         62, 1.00679880106406368E-012
         63, 8.69043717028861436E-013
         64, 5.89190701546405206E-013
         65, 6.47177654312273814E-013
         66, 5.82331139527149125E-013
         67, 7.02202263802413616E-013
         68, 6.70011599546523881E-013
         69, 6.08859241036346517E-013
         70, 6.80221698347728613E-013
         71, 6.79373075381322003E-013
         72, 6.62106595274570554E-013
         73, 8.94834059510649599E-013
         74, 1.07412821668623705E-012
         75, 6.46618421515761602E-013
         76, 7.24235720534649042E-013
         77, 6.15693276526247232E-013
         78, 5.88064970022393877E-013
         79, 6.09796374052268329E-013
         80, 5.84913853591711096E-013
         81, 5.75257311780917997E-013
         82, 6.15605263087727103E-013
         83, 8.39266095840755528E-013
         84, 6.72798566763219911E-013
         85, 5.99659768478381190E-013
         86, 5.91299371935780969E-013
         87, 6.24776339677815188E-013
         88, 6.64105293923802333E-013
         89, 6.60965966543327044E-013
         90, 6.07340455360617744E-013
         91, 7.58874619879521101E-013
         92, 1.25954265128764922E-012
         93, 1.26730194368571839E-012
         94, 7.12103964135512907E-013
         95, 6.57797807399893769E-013
         96, 6.67112492225318418E-013
         97, 5.27861390843949245E-013
         98, 6.52388533631534844E-013
         99, 8.51311081139419778E-013
        100, 8.90961044621224112E-013
        101, 7.83385819228853430E-013
        102, 1.18742056156896977E-012
        103, 6.77704117894355453E-013
        104, 8.15882215760140753E-013
        105, 6.54482076850573011E-013
        106, 7.25299116519826805E-013
        107, 7.64829565539125824E-013
        108, 6.66337124535458844E-013
        109, 9.40608750178806775E-013
        110, 8.37461001236828502E-013
        111, 6.00776432493371560E-013
        112, 7.76228647978289646E-013
        113, 7.29583796012371061E-013
        114, 6.07619461771701784E-013
        115, 6.65745152482607209E-013
        116, 7.27070493648039421E-013
        117, 6.45663818013028200E-013
        118, 5.67756289085270110E-013
        119, 5.75212788929814327E-013
        120, 6.40272602008893586E-013
        121, 6.33702113449714035E-013
        122, 6.08565829221898256E-013
        123, 6.08910362602998915E-013
