         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8390639,  1008, 2.15490329257522761E-001
         2,    8390601,  1008, 5.64437399986737809E-001
         3,    8390571,  1008, 7.18610874509377551E-001
         4,    8390554,  1008, 7.75404225999163810E-001
         5,    8390315,  1008, 3.97587504873649911E-002
         6,    8389485,  1008, 3.11162299461228975E-003
         7,    8388253,  1008, 3.95556602598115970E-005
         8,    8387108,  1008, 1.76160274581309155E-007
         9,    8180895,  1008, 1.13047071646565450E-010
        10,    2769376,  1008, 5.80339479955330552E-014
        11,     773301,  1008, 4.25865187381531428E-015
        12,     129428,  1008, 3.57040494887565597E-015
        13,       8326,  1008, 3.32762284514235636E-015
        14,         62,  1008, 3.54632789229285476E-015
        15,          7,  1008, 2.17443194612305725E-015
        16,          3,  1008, 0.00000000000000000E+000
        17,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.03701578851778713E-012
          2, 1.03852369309011325E-012
          3, 9.82040268856453740E-013
          4, 9.73881431762157787E-013
          5, 9.76541189121614360E-013
          6, 9.99894121075739106E-013
          7, 9.15829489001559452E-013
          8, 9.44021472120353151E-013
          9, 9.53733717999343835E-013
         10, 9.60972169318074499E-013
         11, 9.32975314949128564E-013
         12, 9.37677276524816927E-013
         13, 9.39179718428630519E-013
         14, 9.21452904084889419E-013
         15, 9.77940374798143884E-013
         16, 1.00587143214507814E-012
         17, 1.01917784082457082E-012
         18, 9.33939771914550105E-013
         19, 9.84272565466312157E-013
         20, 9.19908356748422086E-013
         21, 8.99780768942805046E-013
         22, 9.93974942367739273E-013
         23, 9.23817151396273570E-013
         24, 1.00206029005746680E-012
         25, 9.57815067557954818E-013
         26, 9.23063582635112678E-013
         27, 9.10191883509342321E-013
         28, 9.26490340942114630E-013
         29, 9.08336035478092378E-013
         30, 9.69775379990586511E-013
         31, 9.65383946673434127E-013
         32, 9.37318760396859750E-013
         33, 9.41796780050607545E-013
         34, 9.12104750896070497E-013
         35, 9.49244415235845577E-013
         36, 1.04364643921129155E-012
         37, 9.80513686679897817E-013
         38, 9.90408217133006093E-013
         39, 9.73013357910578640E-013
         40, 9.52451790864980090E-013
         41, 9.47961573333944784E-013
         42, 9.44932132424142401E-013
         43, 9.95636386618325150E-013
         44, 9.43941369402013907E-013
         45, 9.02114369081702230E-013
         46, 9.39224035058133366E-013
         47, 8.91896855751136045E-013
         48, 9.37935810932865885E-013
         49, 9.68049787405172486E-013
         50, 9.93646960679716538E-013
         51, 9.52317328518398595E-013
         52, 9.80783544646459224E-013
         53, 9.88205781962383731E-013
         54, 1.03042492767809738E-012
         55, 1.05419117472680810E-012
         56, 9.95094728922505666E-013
         57, 1.02113252506282812E-012
         58, 1.01460549843937058E-012
         59, 9.84534545962624778E-013
         60, 9.67735357232634042E-013
         61, 9.94917659447028860E-013
         62, 1.00888716711633681E-012
         63, 9.62878413679338142E-013
         64, 9.39490688329712098E-013
         65, 8.92388937921533835E-013
         66, 1.03385993051008710E-012
         67, 9.52376640613601635E-013
         68, 9.65169031404795928E-013
         69, 9.75851324041395700E-013
         70, 9.12127297039631991E-013
         71, 9.56924466384379044E-013
         72, 1.02023546904627335E-012
         73, 9.60182159225754069E-013
         74, 9.30323719224824233E-013
         75, 1.01572962945687190E-012
         76, 9.67845464041524143E-013
         77, 9.40841771437945482E-013
         78, 9.08058384226541019E-013
         79, 9.83583548158202157E-013
         80, 9.15413390008137603E-013
         81, 1.02206723670610828E-012
         82, 1.02423419079801491E-012
         83, 1.06910346911943403E-012
         84, 1.03013000615117916E-012
         85, 1.00199948477554967E-012
         86, 1.01162609854740256E-012
         87, 1.02422425689380146E-012
         88, 9.43671656232265805E-013
         89, 1.02564661186733531E-012
         90, 1.00269412287734408E-012
         91, 9.93645609723851409E-013
         92, 1.00576535757184109E-012
         93, 9.44680962630188575E-013
         94, 1.06539972685302061E-012
         95, 9.64527921688369033E-013
         96, 9.65926320678655609E-013
         97, 9.39893798863558770E-013
         98, 1.00295827911861549E-012
         99, 1.00382174789227136E-012
        100, 1.01247662369248717E-012
        101, 9.75162620745000254E-013
        102, 9.58841349119995700E-013
        103, 9.94223481480588883E-013
