         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8386560,  1008, 1.83993807562472383E-001
         2,    8386560,  1008, 1.81786311966733172E-001
         3,    8386560,  1008, 2.59834733432533438E-001
         4,    8386560,  1008, 3.26321827230961203E-001
         5,    8386560,  1008, 3.07628243005703961E-001
         6,    8386560,  1008, 8.57696602421134831E-003
         7,    8385913,  1008, 1.31833221561297319E-003
         8,    8232567,  1008, 3.89316012507911222E-005
         9,    7705294,  1008, 3.99592084264293268E-007
        10,    6702385,  1008, 5.90311928572470844E-010
        11,    2406949,  1008, 1.56861269545298642E-013
        12,     659528,  1008, 4.72968860192806204E-015
        13,     103813,  1008, 3.58576002769367216E-015
        14,       3450,  1008, 3.58093783412636865E-015
        15,         78,  1008, 3.54638944967383178E-015
        16,          8,  1008, 3.49430053617889179E-015
        17,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.23732736641514967E-012
          2, 1.36936875035878165E-012
          3, 1.76239170699788124E-012
          4, 1.11151685410829398E-012
          5, 1.81561046490514541E-012
          6, 1.80265534503952798E-012
          7, 1.45633815112624677E-012
          8, 1.58974494668764195E-012
          9, 1.63151310282386411E-012
         10, 1.33922065602565331E-012
         11, 1.54505026083057758E-012
         12, 1.29638502559029580E-012
         13, 1.19236122892383209E-012
         14, 1.04724110783506013E-012
         15, 1.26753449563675083E-012
         16, 1.62886697542533277E-012
         17, 1.28522734753882350E-012
         18, 1.72279322837510492E-012
         19, 1.16023098145405871E-012
         20, 1.11626240154704212E-012
         21, 1.19530810218319964E-012
         22, 1.26865283533824271E-012
         23, 1.64143560147890786E-012
         24, 1.30718603746176586E-012
         25, 1.29262950844007339E-012
         26, 1.40556983649770968E-012
         27, 1.38462004199519998E-012
         28, 1.99711200582289925E-012
         29, 1.56801834317767833E-012
         30, 1.99552891473028680E-012
         31, 1.62017833507246473E-012
         32, 1.74848353125132645E-012
         33, 1.82646599003437608E-012
         34, 1.80103563464425938E-012
         35, 1.63391318084269278E-012
         36, 1.83116871131144589E-012
         37, 1.31722854190914024E-012
         38, 1.51471176454787112E-012
         39, 1.15774717727901161E-012
         40, 1.49167030098250641E-012
         41, 1.33519345123082765E-012
         42, 1.40002811201124063E-012
         43, 1.52422415099012198E-012
         44, 1.64446598925419145E-012
         45, 1.33930739832103781E-012
         46, 1.46715600502713130E-012
         47, 1.03741864243682277E-012
         48, 1.66968403188202628E-012
         49, 9.52795051825214522E-013
         50, 1.64956069296143140E-012
         51, 1.57527796093720901E-012
         52, 1.75197067464328163E-012
         53, 1.78034846532980679E-012
         54, 1.29591856282871884E-012
         55, 1.36805864534172386E-012
         56, 1.46655385026805120E-012
         57, 1.32507069940402215E-012
         58, 1.82058824179515291E-012
         59, 1.40144630649223825E-012
         60, 1.21402613275223170E-012
         61, 1.59798005251282551E-012
         62, 1.79098416932783583E-012
         63, 1.50923717790103583E-012
         64, 1.76821916733955067E-012
         65, 1.89193380162068973E-012
         66, 2.00042854827464438E-012
         67, 1.89664449055217978E-012
         68, 1.81144400142384793E-012
         69, 1.63793041792484968E-012
         70, 1.70208152737859685E-012
         71, 1.84398821723653987E-012
         72, 1.75823172225720284E-012
         73, 1.68352642390157559E-012
         74, 1.30634043416595617E-012
         75, 1.45577140180189297E-012
         76, 1.61601285521436879E-012
         77, 1.23651461367246691E-012
         78, 1.61379972253077953E-012
         79, 1.58027162660363625E-012
         80, 1.74915743584383207E-012
         81, 1.49036039864130066E-012
         82, 1.58895856264065918E-012
         83, 1.63493142327358944E-012
         84, 1.71283417326700822E-012
         85, 1.32664225584422508E-012
         86, 1.91148843338311065E-012
         87, 1.59602019873002655E-012
         88, 1.50630193511988620E-012
         89, 1.60810321929531783E-012
         90, 1.71415588713625993E-012
         91, 1.83482370098359143E-012
         92, 1.47842774744941575E-012
         93, 1.73499722184096492E-012
         94, 1.54883497820981198E-012
         95, 1.55381446625511702E-012
         96, 1.17489818258624397E-012
         97, 1.78233373996526649E-012
         98, 1.63392753468636784E-012
         99, 1.68935947907897490E-012
        100, 1.41519639838337385E-012
        101, 1.93096945680092904E-012
        102, 1.54540661789428150E-012
        103, 1.66338872099221190E-012
        104, 1.93092589600572798E-012
        105, 1.52066214719533360E-012
        106, 1.97891140037559947E-012
        107, 1.79668475403681859E-012
        108, 1.73471156035312167E-012
        109, 1.56303863922969019E-012
        110, 1.83804367624764990E-012
        111, 1.48979566726867411E-012
        112, 1.56684559048937299E-012
        113, 1.47106959891873144E-012
        114, 1.67856564620112305E-012
        115, 1.73829213301041793E-012
        116, 1.70811913520551458E-012
        117, 1.58612109595769208E-012
        118, 1.49221402338956907E-012
        119, 1.68845101345639882E-012
        120, 1.60299563242936168E-012
        121, 1.34330395741909035E-012
        122, 1.76789640002430238E-012
        123, 1.21493436173998727E-012
        124, 1.19524633575456801E-012
        125, 1.01988738437531566E-012
        126, 1.02119409614091442E-012
        127, 1.17346893690901827E-012
        128, 1.31591654694656065E-012
        129, 1.39189126136876646E-012
        130, 1.46450175790663766E-012
        131, 1.67670730543113026E-012
        132, 1.53226604526673504E-012
        133, 1.74356372129659549E-012
        134, 1.84701814397675319E-012
        135, 1.87136514414075252E-012
        136, 1.73090515674746429E-012
        137, 1.41221710119400932E-012
        138, 1.41687179907279761E-012
        139, 1.21201032441385609E-012
        140, 1.18449460530219195E-012
        141, 1.81695918867139791E-012
        142, 1.37716086594369350E-012
        143, 1.89264640719167098E-012
        144, 1.74584092568383652E-012
        145, 1.91658804823759083E-012
        146, 1.93763377313734017E-012
        147, 1.80342929741760930E-012
        148, 1.64198507621892812E-012
        149, 1.66477284049339519E-012
        150, 1.58530729333017846E-012
        151, 1.64968403976733983E-012
        152, 1.93907282380147603E-012
        153, 1.54828276574212423E-012
        154, 1.29030915687129089E-012
        155, 1.52324669266278327E-012
        156, 1.34536728001239745E-012
        157, 9.80733875552984192E-013
        158, 1.07343401681147386E-012
        159, 9.92285168925095156E-013
        160, 1.67228234648241905E-012
        161, 1.38430360821984554E-012
        162, 1.25935788099372627E-012
        163, 1.31366536772375901E-012
        164, 1.46560179498571328E-012
        165, 1.28892813342239336E-012
        166, 1.33584116630508671E-012
        167, 1.18276453012641417E-012
        168, 1.43537231254121958E-012
        169, 1.67105317153122118E-012
        170, 1.59453089446201226E-012
        171, 1.68211044575481503E-012
        172, 1.38503566287908686E-012
        173, 1.52630053040928902E-012
        174, 1.66147398306329690E-012
        175, 1.99879657293277989E-012
        176, 1.57389739636933092E-012
        177, 1.78877156523476185E-012
        178, 1.96904491912391075E-012
        179, 2.05435894747888309E-012
        180, 1.67325824939206252E-012
        181, 1.30008848341979925E-012
        182, 1.02010759352208873E-012
        183, 1.28849326855444506E-012
        184, 1.23600019048461678E-012
        185, 1.49143669156861695E-012
        186, 1.39938953682584123E-012
        187, 1.50522911652183749E-012
        188, 1.68286591388870432E-012
        189, 1.50904096230147600E-012
        190, 1.83949721157413528E-012
        191, 1.57776412796659228E-012
        192, 1.46758812893939328E-012
        193, 1.32030060489662517E-012
        194, 1.69235545482064652E-012
        195, 1.08503035603174900E-012
        196, 1.32664347157697989E-012
        197, 1.20536131695172730E-012
        198, 1.28931358326364411E-012
        199, 1.52936857610957733E-012
        200, 1.70553938435451856E-012
        201, 1.64056381090540783E-012
        202, 1.62811965175906171E-012
        203, 1.22744896246460894E-012
        204, 1.51285783153312946E-012
        205, 1.33536762266225495E-012
        206, 1.21689316764449218E-012
        207, 1.27295953862173668E-012
        208, 1.52418087447652369E-012
        209, 1.89575578845820148E-012
        210, 1.64677504979244203E-012
        211, 1.69408965162484072E-012
        212, 1.64754689040871116E-012
        213, 1.67415110418833424E-012
        214, 1.28811918887987590E-012
        215, 1.16404790304568616E-012
        216, 1.65567219596439098E-012
        217, 1.76496983427697880E-012
        218, 1.49936370292407771E-012
        219, 1.63528006395934280E-012
        220, 1.73230690944645181E-012
        221, 1.61045874859014281E-012
        222, 1.26765257203700313E-012
        223, 1.31865494150174356E-012
        224, 1.61469783153759686E-012
        225, 1.89268375805922607E-012
        226, 1.46529886377532426E-012
        227, 1.94545662395357143E-012
        228, 1.85238638692871575E-012
        229, 1.25722597709128726E-012
        230, 1.63298585262477184E-012
        231, 1.63210132127026770E-012
        232, 2.17375889345333477E-012
        233, 1.85940698531248081E-012
        234, 1.10182938175529770E-012
        235, 1.31333332288386976E-012
        236, 1.44625069298903566E-012
        237, 2.05309584411314363E-012
        238, 1.35229012496038940E-012
        239, 1.33821504056393726E-012
        240, 1.64258239702448111E-012
        241, 1.97319099088183157E-012
        242, 2.09413019875037667E-012
        243, 1.30702551235586718E-012
        244, 1.91557054220290709E-012
        245, 1.86988146918505535E-012
        246, 1.62206956044678174E-012
        247, 1.70741575862700061E-012
        248, 1.55309413058360621E-012
        249, 1.91626551434243870E-012
        250, 1.41809726136696736E-012
        251, 1.31461610670613183E-012
        252, 1.61024857970560666E-012
        253, 1.33400171317204199E-012
        254, 1.74283467356934875E-012
        255, 1.73494963234916974E-012
        256, 1.77539392090895413E-012
        257, 1.91045931162561428E-012
        258, 1.82147641547683196E-012
        259, 1.74198838296749414E-012
        260, 1.18372465893606466E-012
        261, 1.85662357261440896E-012
        262, 1.69845461759468671E-012
        263, 1.93742504317411500E-012
        264, 1.93198627654746792E-012
        265, 1.66426510604388878E-012
        266, 1.77830089142938368E-012
        267, 1.58147517200431986E-012
        268, 1.98762019699083374E-012
        269, 1.64773383476424823E-012
        270, 2.08569858485298840E-012
        271, 1.57274330594925675E-012
        272, 2.18196308846458215E-012
        273, 1.86590409266160086E-012
        274, 1.78226356487691678E-012
        275, 2.08327016147654974E-012
        276, 1.45591430103956980E-012
        277, 2.21935031158334495E-012
        278, 1.96012447169815762E-012
        279, 1.97227014715845256E-012
        280, 1.69412696953204256E-012
        281, 1.50610154267300104E-012
        282, 1.59244785180938400E-012
        283, 1.60793426048543679E-012
        284, 1.60977763772421874E-012
        285, 1.78198345022481523E-012
        286, 1.79842716041777478E-012
        287, 1.14750090559207155E-012
        288, 1.25013070060396569E-012
        289, 2.05974683073686648E-012
        290, 1.94317692888270547E-012
        291, 1.83198479241162154E-012
        292, 2.10364238282186700E-012
        293, 2.11337652439712432E-012
        294, 1.92744145702453181E-012
        295, 1.40230926604072954E-012
        296, 2.07589298665066773E-012
        297, 2.22414757361556924E-012
        298, 1.62469827995915936E-012
        299, 1.42275204525666439E-012
        300, 1.89067525756477336E-012
        301, 1.81852147469635288E-012
        302, 1.32010518848228886E-012
        303, 1.71015962881561962E-012
        304, 1.98665502270663882E-012
        305, 1.66720353858710377E-012
        306, 2.11060817984962845E-012
        307, 2.23321013628952862E-012
        308, 1.60710856779873360E-012
        309, 1.82651874786373363E-012
        310, 1.83464321457859884E-012
        311, 1.97174767437521149E-012
        312, 1.97609439282316333E-012
        313, 2.11189573410231270E-012
        314, 1.99040991556903328E-012
        315, 1.78769123857415232E-012
        316, 1.76830221478641962E-012
        317, 1.75346279607680926E-012
        318, 1.79983340741771969E-012
        319, 1.77192455159202782E-012
        320, 1.67845419253707795E-012
        321, 1.63403261221428175E-012
        322, 2.18076705391241376E-012
        323, 2.03151531682003792E-012
        324, 1.95025651411218654E-012
        325, 1.71071585131205712E-012
        326, 1.51235439492167955E-012
        327, 1.16361083520691479E-012
        328, 1.73500431040715009E-012
        329, 1.92183328915660404E-012
        330, 1.60222414714247952E-012
        331, 1.86213268238847476E-012
        332, 1.37529440966818495E-012
        333, 2.04018409267585512E-012
        334, 2.03362741649691351E-012
        335, 2.00239044582398410E-012
        336, 2.11975845979326891E-012
        337, 2.00242986349670650E-012
        338, 2.03087051706983250E-012
        339, 1.86728638775746052E-012
        340, 1.71100049082095442E-012
        341, 1.61218700208651514E-012
        342, 1.72892127536717731E-012
        343, 1.96729543827711569E-012
        344, 2.07894221108031299E-012
        345, 1.90137017521226685E-012
        346, 2.21798665170745104E-012
        347, 2.11433351837348394E-012
        348, 1.89928075783723903E-012
        349, 1.92600996280051513E-012
        350, 1.93566417495576870E-012
        351, 2.23952212529056875E-012
        352, 2.11832067525128942E-012
        353, 2.30947172357051966E-012
        354, 2.19902116940482667E-012
        355, 2.16890713925102812E-012
        356, 2.13178641591485047E-012
        357, 2.09706114278785405E-012
        358, 2.30300320146443685E-012
        359, 1.94068820828617764E-012
        360, 2.02509686347172571E-012
        361, 1.94289303144404206E-012
        362, 1.55025148633582329E-012
        363, 1.88168472897698626E-012
        364, 1.33328334234598618E-012
        365, 2.01803101038438402E-012
        366, 1.83546613054593484E-012
        367, 1.90608881939395439E-012
        368, 2.02348489756387048E-012
        369, 1.79912365935488524E-012
        370, 1.90829151805828799E-012
        371, 1.28722990054814499E-012
        372, 2.17577033356817257E-012
        373, 1.95561003058679724E-012
        374, 1.64978029639194100E-012
        375, 1.69821708901535262E-012
        376, 2.02607156091266480E-012
        377, 1.76884882289116504E-012
        378, 1.43105216596004004E-012
        379, 1.66987953713534814E-012
        380, 2.03074939860270298E-012
        381, 1.97321768420664807E-012
        382, 2.01962105464732326E-012
        383, 2.08277714774006957E-012
        384, 2.09142718741360092E-012
        385, 2.15459087892430609E-012
        386, 2.40968191693900839E-012
        387, 2.48548543679608175E-012
        388, 2.31509718318077474E-012
        389, 2.22543211644835212E-012
        390, 2.10130458021897910E-012
        391, 1.95961944692133450E-012
        392, 2.02869284576734663E-012
        393, 2.01645785735277579E-012
        394, 1.79182043747448178E-012
        395, 2.27044414921265546E-012
        396, 2.16631868492955367E-012
        397, 2.18842565036773359E-012
        398, 2.08645051385619993E-012
        399, 1.60832625010477863E-012
        400, 2.18793689914761814E-012
        401, 2.20431014851641927E-012
        402, 2.09708910077758753E-012
        403, 2.11573344809626390E-012
        404, 1.84463688842911076E-012
        405, 2.24305901628047730E-012
        406, 2.07628303620960375E-012
        407, 1.86075254347564319E-012
        408, 2.01991127943932240E-012
        409, 1.94589934010824995E-012
        410, 1.86748009148140738E-012
        411, 2.01936700049975764E-012
        412, 2.00749234785195665E-012
        413, 2.09938535213569082E-012
        414, 2.20235398199068922E-012
        415, 1.90258686745330784E-012
        416, 2.19073855465027853E-012
        417, 2.24600092777479236E-012
        418, 2.15461595269575097E-012
        419, 2.29248803935627462E-012
        420, 2.16522697687557582E-012
        421, 1.79368455571905737E-012
        422, 1.82635981273580241E-012
        423, 1.89873220093068561E-012
        424, 1.86826658981916617E-012
        425, 2.13437501700795823E-012
        426, 1.91427420758391869E-012
        427, 1.36708382107741306E-012
        428, 1.89986500947165907E-012
        429, 2.10123226793024283E-012
        430, 2.11921002279571496E-012
        431, 2.12261147146077449E-012
        432, 1.89883856869025336E-012
        433, 2.08828674076018447E-012
        434, 2.21506195985487550E-012
        435, 1.87305661121219466E-012
        436, 2.37462301881564954E-012
        437, 1.65276866278061241E-012
        438, 1.92187413648927671E-012
        439, 1.90937539037410109E-012
        440, 1.96043204321563701E-012
        441, 2.03110718065474823E-012
        442, 2.00226919376993700E-012
        443, 1.99915015447741648E-012
        444, 1.98828976206687004E-012
        445, 1.92245429320817409E-012
        446, 2.06398259914418769E-012
        447, 1.75473303113700510E-012
        448, 1.92722531883948049E-012
        449, 2.28117938538870856E-012
        450, 1.96875469362788721E-012
        451, 1.84984224390396021E-012
        452, 1.73268690347694706E-012
        453, 1.99333622721648085E-012
        454, 1.92029958411621088E-012
        455, 2.04733184679400443E-012
        456, 1.94288955952365286E-012
        457, 2.32719958130420777E-012
        458, 2.24596998620973755E-012
        459, 2.05793219625816283E-012
        460, 1.71409799307236963E-012
        461, 1.37151082790872867E-012
        462, 2.34485561629428641E-012
        463, 1.97811730158732901E-012
        464, 2.03740619528183462E-012
        465, 1.64687775021645945E-012
        466, 1.72398136169010846E-012
        467, 2.02420895782604879E-012
        468, 2.12400848934637728E-012
        469, 1.98920118282137429E-012
        470, 1.75279146887932925E-012
        471, 1.94900985761571973E-012
        472, 2.09741471990073439E-012
        473, 2.37840637661003041E-012
        474, 1.89357945356289730E-012
        475, 1.91282253516983077E-012
        476, 2.25151673994544378E-012
        477, 2.23465917978953248E-012
        478, 2.07898723197986211E-012
        479, 2.16816636164529620E-012
        480, 2.27845599447297795E-012
        481, 2.18906935200630730E-012
        482, 1.91944019931156224E-012
        483, 1.73988435178084750E-012
        484, 2.10044120890503487E-012
        485, 1.99370484972394569E-012
        486, 2.09928347238562813E-012
        487, 1.87429844906887747E-012
        488, 2.24751483653526784E-012
        489, 1.51191684047845835E-012
        490, 1.84926555650171808E-012
        491, 2.18559018804318815E-012
        492, 2.46655923562740759E-012
        493, 2.08577561155799468E-012
        494, 2.17014700727339578E-012
        495, 2.19400254586777522E-012
        496, 2.21705373676364998E-012
        497, 1.70036641093737192E-012
        498, 1.69640937393294194E-012
        499, 1.93977980492636979E-012
        500, 2.16015947069363559E-012
        501, 1.52633854945640977E-012
        502, 1.62240683935385851E-012
        503, 2.14385740647881241E-012
        504, 1.81079929042099013E-012
        505, 1.84946449636358988E-012
        506, 2.12424508322879672E-012
        507, 2.10624539713393833E-012
        508, 1.46482819787740962E-012
        509, 1.73073384619138928E-012
        510, 1.80097507402616492E-012
        511, 1.88532554456678962E-012
        512, 1.78354159817391802E-012
        513, 1.63512806167061251E-012
        514, 1.75635535733251360E-012
        515, 1.96775690918733867E-012
        516, 1.97601450446540322E-012
        517, 1.96263295375312420E-012
        518, 2.02853826389434011E-012
        519, 1.91327331016288143E-012
        520, 2.16268707207893796E-012
        521, 2.14720209131972132E-012
        522, 2.09367827380002734E-012
        523, 1.86487698653708695E-012
        524, 1.93389840587318425E-012
        525, 1.90810776167493980E-012
        526, 1.77040796451439215E-012
        527, 2.09247406725815714E-012
        528, 1.76081580648608571E-012
        529, 1.62658744109845394E-012
        530, 1.81903966797492722E-012
        531, 2.12731534082860144E-012
        532, 1.91479666548371112E-012
        533, 1.98159260709067514E-012
        534, 1.99855237399754672E-012
        535, 1.87892354339220769E-012
        536, 2.19353952346493059E-012
        537, 2.18936991522902913E-012
        538, 2.20849113048630273E-012
        539, 2.33642055133948266E-012
        540, 2.11596959932034641E-012
        541, 1.48144532358379050E-012
        542, 2.18577772395969548E-012
        543, 2.24329040892805040E-012
        544, 1.81502454879637514E-012
        545, 2.20039189766741284E-012
        546, 1.83700972488782323E-012
        547, 2.30394969314716236E-012
        548, 2.31069946399938354E-012
        549, 1.90857599486838196E-012
        550, 1.96331877773156229E-012
        551, 1.63287370435592463E-012
        552, 2.02562299749547131E-012
        553, 2.06164558225103140E-012
        554, 2.33255299082946083E-012
        555, 2.35766858985427394E-012
        556, 2.23123575824501491E-012
        557, 2.43739051297432858E-012
        558, 2.17801529719193322E-012
        559, 2.28601640744542314E-012
        560, 1.34423604569527482E-012
        561, 2.16924115729827231E-012
        562, 2.21118917199660203E-012
        563, 2.18620073585796503E-012
        564, 2.11208445737651697E-012
        565, 2.22799372260153308E-012
        566, 2.35063737025680366E-012
        567, 2.27148313580796826E-012
        568, 1.89360082260047708E-012
        569, 1.80334468526400251E-012
        570, 1.58628675854961930E-012
        571, 1.58241816679755506E-012
        572, 1.52436776779946287E-012
        573, 1.62785790011026048E-012
        574, 1.74276059980446658E-012
        575, 1.64465386322753208E-012
        576, 1.92977562330057377E-012
        577, 1.62284705943889618E-012
        578, 1.80667136307430366E-012
        579, 1.88739681080691476E-012
        580, 1.95292469455318895E-012
        581, 2.00085949989707471E-012
        582, 2.59701943981560554E-012
        583, 2.24267518205435452E-012
        584, 2.10696923148560392E-012
        585, 1.97909951805396048E-012
        586, 2.09731042557756788E-012
        587, 2.05979995798540710E-012
        588, 2.25086905632545372E-012
        589, 2.08194625153869032E-012
        590, 2.09866255382814999E-012
        591, 1.96755599040992835E-012
        592, 1.98500120348187463E-012
        593, 2.13753472484645620E-012
        594, 2.03275428049773542E-012
        595, 1.93875622735413457E-012
        596, 2.00127742224224432E-012
        597, 2.40526726956455979E-012
        598, 2.17532194032169883E-012
        599, 2.27711468034346039E-012
        600, 2.45377470164424991E-012
        601, 2.27337098119486283E-012
        602, 1.98013082485230670E-012
        603, 1.73772354830494680E-012
        604, 1.69064159086252278E-012
        605, 2.06297139179409978E-012
        606, 1.83493797207206689E-012
        607, 1.62551314668767904E-012
        608, 2.18399017854479080E-012
        609, 1.57651773856427362E-012
        610, 1.82576255573289191E-012
        611, 1.76130638401140982E-012
        612, 2.05166777231875444E-012
        613, 1.53244723633034624E-012
        614, 2.05579148578934901E-012
        615, 1.85391426287263170E-012
        616, 2.01223567139988363E-012
        617, 1.32096885893554275E-012
        618, 2.45577852737119544E-012
        619, 1.51510672040250705E-012
        620, 2.29400076485556538E-012
        621, 1.81771029014548687E-012
        622, 1.76706466659642560E-012
        623, 1.79517471638844763E-012
        624, 2.00429075307443865E-012
        625, 1.34072828535727880E-012
        626, 1.97449486361110024E-012
        627, 1.64640090927981723E-012
        628, 2.08691495626038891E-012
        629, 1.69101661457537380E-012
        630, 1.77850676514562997E-012
        631, 2.26399844864399931E-012
        632, 1.79731094691572025E-012
        633, 1.49227378003103024E-012
        634, 1.61334763771304610E-012
        635, 1.67885635817160649E-012
        636, 1.97794394897098026E-012
        637, 1.47018515193054307E-012
        638, 1.90625132811056527E-012
        639, 1.58195201886572601E-012
        640, 1.66136473024667476E-012
        641, 1.93118775475569064E-012
        642, 2.05026346233813571E-012
        643, 2.03630000043649097E-012
        644, 1.92315931215908977E-012
        645, 1.90374595380270066E-012
        646, 1.77486317314781355E-012
        647, 2.12434041095279345E-012
        648, 2.06873135149114510E-012
        649, 1.69894484198408713E-012
        650, 1.92491262938904661E-012
        651, 2.02677774796053116E-012
        652, 1.92045935534186223E-012
        653, 1.68436067123981151E-012
        654, 1.60310891753719227E-012
        655, 1.68023622366251070E-012
        656, 1.42397164597988807E-012
        657, 1.64721979099306074E-012
        658, 1.69671891901136893E-012
        659, 1.72993454531844297E-012
        660, 1.58966394228136967E-012
        661, 1.79120693830090293E-012
        662, 1.75433044728826094E-012
        663, 1.55309022990117854E-012
        664, 1.46658361780019720E-012
        665, 1.58737566881076947E-012
        666, 1.86229417788770703E-012
        667, 2.08494815143201126E-012
        668, 1.61183976799413705E-012
        669, 1.69432146088194206E-012
        670, 1.76480804589831297E-012
        671, 1.92783306184821644E-012
        672, 1.81170293858660748E-012
        673, 1.83413762291580812E-012
        674, 1.77269561555510334E-012
        675, 1.92642971286295714E-012
        676, 2.06958603794899631E-012
        677, 1.32367051943210821E-012
        678, 1.76732350201948532E-012
        679, 2.00156490111702119E-012
        680, 2.06528311582313110E-012
        681, 1.39503594395943599E-012
        682, 1.48955437107047845E-012
        683, 1.56459449694259553E-012
        684, 1.41862422730282345E-012
        685, 1.60385690544370128E-012
        686, 1.90371486319112006E-012
        687, 1.80344228387440007E-012
        688, 2.01811312129774673E-012
        689, 2.23646320792703152E-012
        690, 2.39375602232959382E-012
        691, 2.38109155225827536E-012
        692, 2.32519433609809586E-012
        693, 2.26714952461277751E-012
        694, 2.31529593513118547E-012
        695, 1.97565872538397958E-012
        696, 2.31807344581073532E-012
        697, 2.04163243789722143E-012
        698, 1.84449276909453257E-012
        699, 1.82568826223952118E-012
        700, 2.03184612385339747E-012
        701, 1.93442355231831925E-012
        702, 1.75450695936404887E-012
        703, 1.46910690021487835E-012
        704, 1.58590661293208163E-012
        705, 1.79785418735800953E-012
        706, 1.30538393998309552E-012
        707, 2.10125713115184706E-012
        708, 2.18608452980402720E-012
        709, 1.82486011102361996E-012
        710, 1.90915384997907249E-012
        711, 1.75808168926469359E-012
        712, 2.02234223823320890E-012
        713, 2.37404217916624570E-012
        714, 2.66371984599815775E-012
        715, 1.92844923865454046E-012
        716, 1.88676046607395318E-012
        717, 2.31797933641515930E-012
        718, 2.34120290584284702E-012
        719, 2.31143819791182643E-012
        720, 2.14736573610396503E-012
        721, 2.31764091210831739E-012
        722, 1.85610114914457488E-012
        723, 2.49717874914658847E-012
        724, 1.97223737349038386E-012
        725, 2.36736730594478580E-012
        726, 2.24879507051765796E-012
        727, 1.92597393706596805E-012
        728, 1.89612592356202525E-012
        729, 2.21996803610281032E-012
        730, 2.06883912317103036E-012
        731, 1.74176778610805647E-012
        732, 2.19370666852514404E-012
        733, 2.29525356686657051E-012
        734, 1.83485163845662886E-012
        735, 2.06228078568293908E-012
        736, 2.19400786314144770E-012
        737, 2.15450120767091196E-012
        738, 2.09714945070968289E-012
        739, 1.77393189058455062E-012
        740, 1.68468511386536578E-012
        741, 1.72328478139118620E-012
        742, 1.85857940644688615E-012
        743, 1.94824645702967597E-012
        744, 2.07743032070814527E-012
        745, 2.07860558096424690E-012
        746, 1.39894306585345124E-012
        747, 2.35491108831565777E-012
        748, 1.85083969122800451E-012
        749, 1.96299239811606836E-012
        750, 1.38649263902651758E-012
        751, 2.40527452613156985E-012
        752, 2.22559199659468034E-012
        753, 1.99189276250924145E-012
        754, 1.78008798988837738E-012
        755, 1.83073921781499277E-012
        756, 2.29894020555174750E-012
        757, 2.13793286518205356E-012
        758, 1.60322099180815158E-012
        759, 1.58658358191704961E-012
        760, 1.68533857730700163E-012
        761, 1.59071663422434719E-012
        762, 1.52954238909315201E-012
        763, 1.98627358916125436E-012
        764, 1.88299604163013470E-012
        765, 2.01750336717034874E-012
        766, 2.05900412709141225E-012
        767, 2.18486085611412259E-012
        768, 2.05354099402456714E-012
        769, 1.86880853560480719E-012
        770, 1.91577279951750129E-012
        771, 1.85862031609552894E-012
        772, 1.86673899526103179E-012
        773, 1.53364910665017257E-012
        774, 1.53091796956780813E-012
        775, 1.87727899228520963E-012
        776, 1.62681428693067584E-012
        777, 1.84062284441047071E-012
        778, 2.04271582651899079E-012
        779, 1.90492851296293639E-012
        780, 2.22165576809827763E-012
        781, 1.49874346279039079E-012
        782, 1.54334657139803508E-012
        783, 2.03542439955026329E-012
        784, 1.89016762663499362E-012
        785, 1.62035783252921960E-012
        786, 1.76130902810090901E-012
        787, 1.44742748719045511E-012
        788, 1.58425670683559003E-012
        789, 1.88903943053919303E-012
        790, 1.57212436957239511E-012
        791, 1.62992937373856244E-012
        792, 1.51050506719899210E-012
        793, 1.62453831582329151E-012
        794, 1.51994468169304706E-012
        795, 1.34809762848021977E-012
        796, 1.85843792190887969E-012
        797, 1.83666145376901453E-012
        798, 2.01825867973929615E-012
        799, 1.75693448936567238E-012
        800, 1.67482651819402321E-012
        801, 2.07515370766992622E-012
        802, 1.59327389134872776E-012
        803, 1.96014917673072418E-012
        804, 1.78152319363397872E-012
        805, 1.70108654336821172E-012
        806, 1.67031960758684996E-012
        807, 1.91266676571918006E-012
        808, 1.32184817238239768E-012
        809, 1.37559213993296661E-012
        810, 1.87091137183312826E-012
        811, 1.43443292029819478E-012
        812, 1.48338040750353014E-012
        813, 1.82465550867541963E-012
        814, 2.08663807469068351E-012
        815, 1.69313558654144294E-012
        816, 1.35289917164493882E-012
        817, 1.66264634572610187E-012
        818, 1.81808207872469822E-012
        819, 1.77549127991165113E-012
        820, 1.53394471710298255E-012
        821, 1.62093362723332759E-012
        822, 1.80299778004113695E-012
        823, 2.02111377460400204E-012
        824, 1.80640450631635805E-012
        825, 1.81563955744349992E-012
        826, 1.48242084610227138E-012
        827, 1.68961536732639246E-012
        828, 1.55564847827382402E-012
        829, 1.50003398633378308E-012
        830, 1.55372009291814976E-012
        831, 1.99148876813167797E-012
        832, 1.71830595036068615E-012
        833, 1.83497445334404842E-012
