         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8386560,  1008, 1.47025833957919072E-001
         2,    8386560,  1008, 1.99408115888401183E-001
         3,    8386560,  1008, 1.80692393837304871E-001
         4,    8386560,  1008, 1.69367506266029283E-001
         5,    8386560,  1008, 1.53979203354037891E-001
         6,    8386560,  1008, 1.76680993738414852E-002
         7,    8386056,  1008, 2.46181105953925325E-003
         8,    7812279,  1008, 1.31690837226561877E-004
         9,    6534496,  1008, 1.92904248137303280E-006
        10,    5151729,  1008, 7.70837337879058469E-009
        11,    1253635,  1008, 7.66509870490268877E-012
        12,     269051,  1008, 3.56524857701120676E-015
        13,      20712,  1008, 3.26867493422785685E-015
        14,        154,  1008, 3.48211845052551799E-015
        15,         14,  1008, 0.00000000000000000E+000
        16,          3,  1008, 0.00000000000000000E+000
        17,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.92376106079801513E-014
          2, 1.78969945006305646E-014
          3, 1.90411054323500087E-014
          4, 1.71174347604716584E-014
          5, 1.72753700040143086E-014
          6, 1.63019844755691449E-014
          7, 1.72280517067832351E-014
          8, 1.63105333961645305E-014
          9, 1.69783303555310192E-014
         10, 1.68388953482863977E-014
         11, 1.76380650515158569E-014
         12, 1.70446156706046868E-014
         13, 1.72330295200599850E-014
         14, 1.64272114653092290E-014
         15, 1.71917193196205517E-014
         16, 1.80965410615186655E-014
         17, 1.72578965709075928E-014
         18, 1.88649281230183528E-014
         19, 1.72037287662461244E-014
         20, 1.67026307356305725E-014
         21, 1.72162816405546720E-014
         22, 1.73059115232229750E-014
         23, 1.56362147385191030E-014
         24, 1.57295842064118034E-014
         25, 1.56482073313406036E-014
         26, 1.73711233031371980E-014
         27, 1.49660097223224038E-014
         28, 1.46508195030720139E-014
         29, 1.72701038963831631E-014
         30, 1.46995700260078463E-014
         31, 1.71529735922518927E-014
         32, 1.80666496873727219E-014
         33, 1.56316464088925850E-014
         34, 1.54985284653629069E-014
         35, 1.61176227874980729E-014
         36, 1.74562066939907703E-014
         37, 1.63303641407494484E-014
         38, 1.46728919767317072E-014
         39, 1.47081874608145203E-014
         40, 1.55635761008864827E-014
         41, 1.79803197950682865E-014
         42, 1.45051712492008708E-014
         43, 1.59825296546017371E-014
         44, 1.69625288390102574E-014
         45, 1.76759938564024050E-014
         46, 1.40577655806543574E-014
         47, 1.44983512925098240E-014
         48, 1.40748158154708397E-014
         49, 1.64326056652288543E-014
         50, 1.48659022913393991E-014
         51, 1.25079271157876794E-014
         52, 1.42909435051991160E-014
         53, 1.44300471751658028E-014
         54, 1.39569209999927380E-014
         55, 1.38017377749449932E-014
         56, 1.31217861009083296E-014
         57, 1.37083689323955932E-014
         58, 1.33467978189803234E-014
         59, 1.35445603979712131E-014
         60, 1.24387174979429607E-014
         61, 1.34502462071252633E-014
         62, 1.38788675818462803E-014
         63, 1.51282247961366723E-014
         64, 1.29205590978339619E-014
         65, 1.49603233250917077E-014
         66, 1.49894621467345277E-014
         67, 1.65581834626339748E-014
         68, 1.69662652779133930E-014
         69, 1.63058855804878107E-014
         70, 1.47066072036210639E-014
         71, 1.40431764184342738E-014
         72, 1.38297863010721804E-014
         73, 1.44194118093244197E-014
         74, 1.54066172438626929E-014
         75, 1.49853844694345135E-014
         76, 1.38241480641195081E-014
         77, 1.49474001327811810E-014
         78, 1.54304965443355535E-014
         79, 1.67681346370203514E-014
         80, 1.55847841613549649E-014
         81, 1.69588954792746562E-014
         82, 1.51197960868811658E-014
         83, 1.39882061627311454E-014
         84, 1.31402935377842070E-014
         85, 1.46636271770061381E-014
         86, 1.40621531815732531E-014
         87, 1.38620148046555184E-014
         88, 1.27214664111198838E-014
         89, 1.28594147151675339E-014
         90, 1.37397636358320297E-014
         91, 1.35699365245506195E-014
         92, 1.34062001005013156E-014
         93, 1.49231476290546298E-014
         94, 1.37236987833595554E-014
         95, 1.36848217158788386E-014
         96, 1.39242559261503520E-014
         97, 1.29075969705805203E-014
         98, 1.46169111215609058E-014
         99, 1.50158963082975600E-014
        100, 1.36218027006112600E-014
        101, 1.44002516568065326E-014
        102, 1.36968153572523296E-014
        103, 1.25942113185210473E-014
        104, 1.41843910860193928E-014
        105, 1.47809784758817123E-014
        106, 1.51278790118812023E-014
        107, 1.37784163922848333E-014
        108, 1.47268292057499540E-014
        109, 1.52448580348348474E-014
        110, 1.41139321623305678E-014
        111, 1.43505324117713277E-014
        112, 1.36187666185744582E-014
        113, 1.36978149317102630E-014
        114, 1.67893875711933242E-014
        115, 1.32244811311787070E-014
        116, 1.43046106757045761E-014
        117, 1.41738805494072071E-014
        118, 1.51835416903430404E-014
        119, 1.37285104523438038E-014
        120, 1.53237386284593691E-014
        121, 1.42627123952458049E-014
        122, 1.40467187145873065E-014
        123, 1.60562182065919544E-014
        124, 1.29731276381006398E-014
        125, 1.31246417458608049E-014
        126, 1.32338787541866124E-014
