         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8386560,  1008, 2.21103813371115648E-001
         2,    8386560,  1008, 1.73345677453929953E-001
         3,    8386560,  1008, 1.46798294737539831E-001
         4,    8386560,  1008, 1.19191819731172696E-001
         5,    8386560,  1008, 3.39184203317147576E-002
         6,    8386560,  1008, 1.57391436829321489E-002
         7,    8344446,  1008, 2.14622295211910506E-003
         8,    6583793,  1008, 1.09102926173329964E-004
         9,    4919706,  1008, 3.05687216032891827E-006
        10,    2903483,  1008, 3.24406313460774697E-008
        11,     732015,  1008, 2.47384241534115157E-011
        12,     157144,  1008, 3.60715398843499889E-015
        13,      11723,  1008, 3.55712826258864055E-015
        14,        232,  1008, 3.46064316000258114E-015
        15,          9,  1008, 2.91624693086482916E-015
        16,          2,  1008, 3.79239194141009580E-016
        17,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.43625045428528162E-014
          2, 1.43759316227179459E-014
          3, 1.40963590903825269E-014
          4, 2.33493190083771371E-014
          5, 2.85625285102962151E-014
          6, 1.95025937418128108E-014
          7, 2.92387698217348322E-014
          8, 2.71208184362587892E-014
          9, 2.49041321535731856E-014
         10, 2.71553831433225616E-014
         11, 2.89315833982799567E-014
         12, 2.73032463039184302E-014
         13, 2.76311833302639131E-014
         14, 2.77934747668922682E-014
         15, 2.45770079978366627E-014
         16, 2.92118558710369652E-014
         17, 3.00840159604244380E-014
         18, 2.62178140736423428E-014
         19, 2.21114394928827450E-014
         20, 2.61857237721367133E-014
         21, 2.96963041193800360E-014
         22, 2.71674072676908818E-014
         23, 2.06226453703866365E-014
         24, 2.80681514202068572E-014
         25, 3.19031220357006146E-014
         26, 2.62974462389148915E-014
         27, 2.63900514901476813E-014
         28, 3.27737678356467993E-014
         29, 2.80299039187901460E-014
         30, 2.68604214270875761E-014
         31, 2.70512638051253762E-014
         32, 2.78237841163667484E-014
         33, 2.53298620146590273E-014
         34, 2.99459819121840028E-014
         35, 2.97690983952725400E-014
         36, 2.15024979607802700E-014
         37, 2.95217913947705931E-014
         38, 2.73233196627922482E-014
         39, 2.45303721338058041E-014
         40, 2.81903568143261304E-014
         41, 3.02352016639706856E-014
         42, 2.95554711246933094E-014
         43, 3.18404939609599989E-014
         44, 2.91206160569780247E-014
         45, 3.30315403970039184E-014
         46, 2.78049187487118738E-014
         47, 2.06727829503418837E-014
         48, 2.61568041885994644E-014
         49, 2.83684983540412592E-014
         50, 2.87862921406996611E-014
         51, 2.18867982334235326E-014
         52, 2.65168117100969588E-014
         53, 2.94891007478529495E-014
         54, 2.05423903878319835E-014
         55, 2.69880459300989456E-014
         56, 2.92694093534026270E-014
         57, 2.62589152916916345E-014
         58, 1.91691897383410187E-014
         59, 2.31781790207471223E-014
         60, 2.39181217675868425E-014
         61, 2.34544291922590828E-014
         62, 1.77053725835542423E-014
         63, 1.88024678741784022E-014
         64, 2.09982126349973964E-014
         65, 2.83437393959175796E-014
         66, 1.75677462654030659E-014
         67, 2.21913728363592083E-014
         68, 2.04462645264448558E-014
         69, 1.79787165114689586E-014
         70, 2.32482636149209433E-014
         71, 2.17945202602528376E-014
         72, 2.83026341361274714E-014
         73, 3.27300340747447064E-014
         74, 2.86254784856451961E-014
         75, 2.44080007198280036E-014
         76, 2.69213489138624576E-014
         77, 2.62131161006378352E-014
         78, 2.45736422180200383E-014
         79, 2.30253241549340678E-014
         80, 2.45585453966535999E-014
         81, 2.37767464362790341E-014
         82, 2.84542296095459334E-014
         83, 2.64069196531218843E-014
         84, 2.87491367329176870E-014
         85, 1.88297830215980254E-014
         86, 2.60635757969240654E-014
         87, 2.52469947789939322E-014
         88, 2.72727114294949929E-014
         89, 2.16967704151836595E-014
         90, 2.78470176418485282E-014
         91, 2.20196192907813426E-014
         92, 2.66255035828485746E-014
         93, 2.53582753842076547E-014
         94, 2.59884464084527617E-014
         95, 2.21443096749359370E-014
         96, 2.21531214391134831E-014
         97, 2.54783139048405449E-014
         98, 2.34814592476624147E-014
         99, 2.66726914366322199E-014
        100, 2.68909151579619262E-014
        101, 2.18708077948201584E-014
        102, 1.87009826599291523E-014
        103, 2.18112763246731974E-014
        104, 1.88994168557964422E-014
        105, 1.64801842483229601E-014
        106, 1.56428936855731569E-014
        107, 2.20317327637172505E-014
