         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8386560,  1008, 2.86323664238914144E-001
         2,    8386560,  1008, 1.06366611088637528E-001
         3,    8386560,  1008, 1.21073822117199026E-001
         4,    8386560,  1008, 1.44262374693991752E-001
         5,    8386560,  1008, 9.70541559905310075E-002
         6,    8386559,  1008, 4.12894185018016814E-003
         7,    8346328,  1008, 2.59306651008137264E-004
         8,    6741514,  1008, 2.60357885893804294E-006
         9,    5046513,  1008, 1.74446338488140860E-008
        10,    2835015,  1008, 3.42703172366956486E-011
        11,     680365,  1008, 5.99987897378499660E-015
        12,     194384,  1008, 3.57260582450766742E-015
        13,      18755,  1008, 3.51736424772262370E-015
        14,        286,  1008, 3.37268649547639214E-015
        15,          8,  1008, 5.70629060741069184E-016
        16,          1,  1008, 0.00000000000000000E+000
        17,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 7.26559522439330758E-013
          2, 7.28125078183414516E-013
          3, 7.95949371400298593E-013
          4, 8.50405539404531618E-013
          5, 8.36201696797755731E-013
          6, 8.83750678178459105E-013
          7, 8.10990821269543101E-013
          8, 7.86971365568901977E-013
          9, 8.28004207650657005E-013
         10, 9.54605877792033199E-013
         11, 7.51715747639123459E-013
         12, 8.24088035636336284E-013
         13, 7.24379661023432419E-013
         14, 8.52490318745767281E-013
         15, 8.90001671985734665E-013
         16, 8.86935817983274320E-013
         17, 8.01382601720995360E-013
         18, 7.19559809495539165E-013
         19, 8.79045426977969851E-013
         20, 6.65970156650604245E-013
         21, 9.11878735026015098E-013
         22, 9.22899110972674136E-013
         23, 9.71903598883443081E-013
         24, 9.95741646852473462E-013
         25, 8.87511566990043009E-013
         26, 8.00519355970068164E-013
         27, 8.48132029969344277E-013
         28, 1.02565762091882792E-012
         29, 8.33822134303434130E-013
         30, 9.60398224514718431E-013
         31, 9.92337499298761232E-013
         32, 9.17176877179767881E-013
         33, 9.04366977362793339E-013
         34, 9.56725495353969576E-013
         35, 9.66956014373593039E-013
         36, 9.19443244309694740E-013
         37, 9.60142486645938449E-013
         38, 9.58611213794621452E-013
         39, 9.80335239184386830E-013
         40, 8.96647344579655089E-013
         41, 9.20785978332375510E-013
         42, 8.94653261860714589E-013
         43, 9.09740173055517715E-013
         44, 9.35393524656908394E-013
         45, 9.48114138940898394E-013
         46, 1.02346334785193845E-012
         47, 9.76074367247983994E-013
         48, 8.84339689078718595E-013
         49, 8.80171731897007674E-013
         50, 8.96659821756804591E-013
         51, 9.28160349368966161E-013
         52, 9.86222522908325849E-013
         53, 8.63824894687106723E-013
         54, 9.16899800664981265E-013
         55, 8.45325282082634730E-013
         56, 1.01802624271742667E-012
         57, 1.00724595859376786E-012
         58, 8.53997924515218352E-013
         59, 9.12159509889704899E-013
         60, 8.43334591324765341E-013
         61, 9.09196717639702613E-013
         62, 1.00530886461885730E-012
         63, 8.79449174046211763E-013
         64, 9.39808677821897431E-013
         65, 1.00522622773478673E-012
         66, 9.46036467903125640E-013
         67, 9.75734995422443460E-013
         68, 9.10091378566275311E-013
         69, 9.99639904144988834E-013
         70, 9.87700312947588420E-013
         71, 9.71496893091112347E-013
         72, 1.04986425343616437E-012
         73, 1.00040818640887520E-012
         74, 1.02078486454078281E-012
         75, 1.04742152773056184E-012
         76, 1.00321704489711952E-012
         77, 9.68645867359408775E-013
         78, 9.61462333826963420E-013
         79, 8.18995798387905203E-013
         80, 9.93359260087283889E-013
         81, 8.81755073131492251E-013
         82, 8.84891452087136939E-013
         83, 8.78865604312360574E-013
         84, 9.37064506853920429E-013
         85, 8.88975178907417598E-013
         86, 9.14350642460899402E-013
         87, 8.81573120043018938E-013
         88, 8.91247927907831242E-013
         89, 8.74001507672442049E-013
         90, 9.43967608772026732E-013
         91, 8.60399674000134694E-013
         92, 8.70172457669221223E-013
         93, 7.89235156250587274E-013
         94, 9.37195212452652945E-013
         95, 1.00861496732557794E-012
         96, 8.63668071594969365E-013
         97, 8.38020794605682954E-013
         98, 9.49659992797803650E-013
         99, 9.45644882779944646E-013
        100, 9.44766550997353081E-013
        101, 8.15569429465451232E-013
        102, 9.49033411701406189E-013
        103, 7.91340548871144793E-013
        104, 7.93677195423321859E-013
        105, 8.74686003200579384E-013
        106, 7.89920189537771291E-013
        107, 8.81236607979424179E-013
        108, 9.31845433995848763E-013
        109, 7.71708638399402882E-013
        110, 8.74493530863278384E-013
        111, 8.34071398537573555E-013
        112, 9.39234495224473874E-013
        113, 8.67494059160108224E-013
        114, 8.42020587217769667E-013
        115, 8.74117461304220320E-013
        116, 9.33732909808674138E-013
        117, 9.10136416251886429E-013
        118, 9.06645856758204754E-013
        119, 1.02818255683867394E-012
        120, 1.01322420081824015E-012
        121, 8.33073297384549910E-013
        122, 8.51626315583227855E-013
        123, 9.08783638410957762E-013
        124, 9.25331852334575626E-013
        125, 9.43151602663674235E-013
        126, 8.64466912488525379E-013
        127, 8.51353623920364081E-013
        128, 9.36495623462367769E-013
        129, 9.01953426006806101E-013
        130, 8.92943389111527533E-013
        131, 8.43404845388467776E-013
        132, 9.61121596861006250E-013
        133, 9.68972856007294074E-013
        134, 9.13473871512784817E-013
        135, 1.04945336809116949E-012
        136, 8.79567015556856707E-013
        137, 9.85445474758000011E-013
        138, 9.11168605158669525E-013
        139, 9.71640141270181762E-013
        140, 9.08997111234239395E-013
        141, 7.06528228363331522E-013
        142, 7.59474386897211518E-013
        143, 9.91076463546663407E-013
        144, 8.69801576642566924E-013
        145, 9.70791638161393183E-013
        146, 9.26592245926621653E-013
        147, 9.69488488058199973E-013
        148, 7.86849554963897191E-013
        149, 9.13364161832723575E-013
        150, 8.52223393261020762E-013
        151, 9.21512526051167654E-013
        152, 9.76016892465707930E-013
        153, 9.28974892961051476E-013
        154, 9.33004795173557946E-013
        155, 8.86836882377824619E-013
        156, 9.12372201729286640E-013
        157, 8.01144673396453665E-013
        158, 8.26588552422391543E-013
        159, 8.19445889980626361E-013
        160, 8.92261693991280916E-013
        161, 8.50622306975593991E-013
        162, 1.03799567183589112E-012
        163, 7.85375729950439674E-013
        164, 9.27064191473451822E-013
        165, 7.70553388848691049E-013
        166, 9.72026610514811274E-013
        167, 1.01170843589183936E-012
        168, 8.33700598336197097E-013
        169, 8.70037256263276519E-013
        170, 8.17424996668465180E-013
        171, 8.34722747384256159E-013
        172, 8.08249401751294909E-013
        173, 9.29482182222346408E-013
        174, 1.08646253945200897E-012
        175, 8.53761697056234100E-013
        176, 8.99158916995516457E-013
        177, 9.46892413176452388E-013
        178, 8.73091159334082460E-013
        179, 7.91801842530285102E-013
        180, 8.97656341452197619E-013
        181, 8.11878525625884339E-013
