         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8386560,  1008, 1.72370716123669471E-001
         2,    8386560,  1008, 4.01829981084065035E-001
         3,    8386560,  1008, 7.57268530749758750E-001
         4,    8386560,  1008, 7.28930817080584159E-001
         5,    8386560,  1008, 7.57792803880080190E-002
         6,    8386560,  1008, 6.41889143607446838E-002
         7,    8386560,  1008, 2.51169854951937832E-002
         8,    8386555,  1008, 7.55668043423657712E-004
         9,    8353481,  1008, 6.63480166414318381E-006
        10,    4855196,  1008, 6.13897432641571888E-009
        11,    1480996,  1008, 1.91085791967870551E-014
        12,     305102,  1008, 3.74273160349030372E-015
        13,      23073,  1008, 3.56856253471647401E-015
        14,        147,  1008, 3.56446877712728998E-015
        15,         14,  1008, 3.53637633327659960E-015
        16,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 9.84771668808666015E-013
          2, 1.09647102476770932E-012
          3, 1.04344731624658375E-012
          4, 1.09094928295841645E-012
          5, 1.04802502272676862E-012
          6, 1.10716157439122011E-012
          7, 1.03064168477162725E-012
          8, 1.14074269502541899E-012
          9, 1.06209743317342294E-012
         10, 1.09154738982037050E-012
         11, 1.08958419337054976E-012
         12, 1.13559123689690750E-012
         13, 9.96732542661868531E-013
         14, 1.04805557496205344E-012
         15, 1.13124399767956453E-012
         16, 1.12735666215952253E-012
         17, 1.12519389855950233E-012
         18, 1.07850312193899036E-012
         19, 1.12401124133432089E-012
         20, 1.03229325640331144E-012
         21, 1.02529151835803093E-012
         22, 1.10097983630028855E-012
         23, 1.02600495283719103E-012
         24, 1.05028771132913640E-012
         25, 1.02956215472715659E-012
         26, 1.03544245563537460E-012
         27, 1.08913892241432098E-012
         28, 1.04320394293539885E-012
         29, 1.07771318412890001E-012
         30, 1.08551049038878729E-012
         31, 1.07488271093487584E-012
         32, 1.01419415719424153E-012
         33, 1.05324432546068138E-012
         34, 1.09017049071743336E-012
         35, 1.12223478943989211E-012
         36, 1.04300664652423079E-012
         37, 1.14512971331691964E-012
         38, 1.08835769376761869E-012
         39, 1.17540384756082453E-012
         40, 1.07095069394081477E-012
         41, 1.04927219732824225E-012
         42, 1.01573864678864606E-012
         43, 1.13558570239047660E-012
         44, 1.10758359204197227E-012
         45, 1.15776018131577844E-012
         46, 1.04442154962836325E-012
         47, 1.05829838296496909E-012
         48, 1.09066947558956585E-012
         49, 1.10124590664921647E-012
         50, 1.08720374306229948E-012
         51, 1.05551952965490625E-012
         52, 1.03815177831078453E-012
         53, 1.09998775530421021E-012
         54, 1.09706315817659087E-012
         55, 1.05315778131994872E-012
         56, 1.06338459522469510E-012
         57, 1.09155076991642924E-012
         58, 1.10185748284494162E-012
         59, 1.06901124075299420E-012
         60, 1.09874758606746995E-012
         61, 1.06338090055090448E-012
         62, 1.01029597331841527E-012
         63, 1.08108202025636923E-012
         64, 1.04625518438683576E-012
         65, 1.11617107364723829E-012
         66, 1.10560707289833106E-012
         67, 1.00265437803657223E-012
         68, 1.10588641773544581E-012
         69, 1.23774590688179727E-012
         70, 1.12684316883543678E-012
         71, 1.10696080420372523E-012
         72, 1.07609999768536288E-012
         73, 1.08743509500282447E-012
         74, 1.12707456952470672E-012
         75, 1.05716534567300425E-012
         76, 1.09114473496203180E-012
         77, 1.09941899150806084E-012
         78, 9.92421828177617523E-013
         79, 1.05243738712149137E-012
         80, 9.57775370263072614E-013
         81, 1.02913314559785936E-012
         82, 1.16622927942133122E-012
         83, 1.24609476006258724E-012
         84, 9.99300872789909611E-013
         85, 9.79672784443863086E-013
         86, 1.07996865990982015E-012
         87, 1.06890303832883049E-012
         88, 1.16204083158363373E-012
         89, 1.16776511968769605E-012
         90, 1.08504428249280761E-012
         91, 1.03225234910808595E-012
         92, 1.16348262584878879E-012
         93, 1.03205685901203477E-012
         94, 1.13471553320668290E-012
         95, 1.07130302131553259E-012
         96, 1.19034164623924364E-012
         97, 1.04953125510158148E-012
         98, 1.05578607531885697E-012
         99, 1.06912912052604887E-012
        100, 1.15303917232670880E-012
        101, 1.13187737520978613E-012
        102, 1.15132416876719345E-012
        103, 1.08758755633486842E-012
        104, 1.12045377746144363E-012
        105, 1.08352788453920809E-012
        106, 1.21434149007914764E-012
        107, 1.08504549629635731E-012
        108, 1.12262827601489957E-012
        109, 1.15778299070494122E-012
        110, 1.09718670079532992E-012
        111, 1.05787279038105554E-012
        112, 1.10613181324695044E-012
        113, 1.02976398785535639E-012
        114, 1.11465491314553562E-012
        115, 1.03720026243211365E-012
        116, 1.04986894307710699E-012
        117, 1.10355434740519961E-012
        118, 1.17115344118814498E-012
        119, 1.14447476276897283E-012
        120, 1.09882247968864871E-012
        121, 1.13049920462591187E-012
        122, 1.07622933866984762E-012
        123, 1.04704265130102814E-012
        124, 1.08283113804090099E-012
        125, 1.10019080454871550E-012
        126, 1.03926609330418705E-012
        127, 1.07517019084971682E-012
        128, 1.06721514450017001E-012
        129, 1.11202680729711496E-012
        130, 1.13418002976175055E-012
        131, 1.02036176733727378E-012
        132, 1.00065961259488008E-012
        133, 1.13018309402798166E-012
        134, 1.10594313673120673E-012
        135, 1.00056322809744785E-012
        136, 1.08577798325771203E-012
        137, 1.14491613932090031E-012
        138, 1.02405133692071450E-012
        139, 1.02973996251005601E-012
        140, 1.11022383523137082E-012
        141, 1.11758222409496388E-012
        142, 1.09693345075795919E-012
        143, 1.07284313343446817E-012
        144, 1.06317064881860552E-012
        145, 1.14149515839063555E-012
        146, 1.08300164920289604E-012
        147, 1.11692845484184061E-012
        148, 1.07985516077102514E-012
        149, 1.02680559546625884E-012
        150, 1.11253635423182243E-012
        151, 9.95795898041088194E-013
        152, 1.11076201406644961E-012
        153, 1.13624151298794051E-012
        154, 1.11653726378924302E-012
        155, 1.06382222299625723E-012
        156, 1.06826255008657022E-012
        157, 1.14561360567668474E-012
        158, 1.08439064418883522E-012
        159, 1.06090397981283420E-012
        160, 1.16244643259090311E-012
        161, 1.15080037647159886E-012
        162, 1.08371319494720162E-012
        163, 1.17063355632491585E-012
        164, 1.05798476325433078E-012
        165, 1.07310479493364142E-012
