         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8390643,  1008, 2.13293548935046567E-001
         2,    8390615,  1008, 1.33255926926180684E-001
         3,    8390509,  1008, 1.46934812791433250E-001
         4,    8390331,  1008, 1.28223679288074488E-001
         5,    8390037,  1008, 1.39601021877190534E-001
         6,    8389493,  1008, 1.50632208954123645E-002
         7,    8385770,  1008, 1.84110374533264821E-003
         8,    7940181,  1008, 7.83427162658361829E-005
         9,    6896329,  1008, 5.65056608437473283E-007
        10,    4757336,  1008, 1.09385158942242564E-009
        11,    1355921,  1008, 2.09056777679080031E-013
        12,     262175,  1008, 3.91047058215809123E-015
        13,      31800,  1008, 3.56944382685052803E-015
        14,        323,  1008, 3.55611887269439475E-015
        15,         15,  1008, 3.32675170629207169E-015
        16,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.42806577590840726E-012
          2, 1.34784255244313620E-012
          3, 1.57882127307247718E-012
          4, 1.64561600319191461E-012
          5, 1.35189144349260812E-012
          6, 1.27891271882920558E-012
          7, 1.58891975583530718E-012
          8, 1.49998385828771445E-012
          9, 2.02255740445435743E-012
         10, 1.76009648399258995E-012
         11, 1.65545242208698771E-012
         12, 1.70886178333455257E-012
         13, 1.58441776416358395E-012
         14, 1.64307717942900115E-012
         15, 1.64256851651462527E-012
         16, 1.42932713943127841E-012
         17, 1.54502652570952744E-012
         18, 1.44732680822813925E-012
         19, 1.14947263901391425E-012
         20, 1.34010988846767648E-012
         21, 1.68753794434974363E-012
         22, 1.25652549763757977E-012
         23, 1.39982163479501875E-012
         24, 1.69267514204472681E-012
         25, 1.54468857920461332E-012
         26, 1.51700863624487988E-012
         27, 1.58210425109513435E-012
         28, 1.58212101312899079E-012
         29, 1.73522344428091659E-012
         30, 1.44887779910312551E-012
         31, 1.30117075338442041E-012
         32, 1.71237984669069789E-012
         33, 1.65247582293668425E-012
         34, 1.43787318460103329E-012
         35, 1.68754395089309309E-012
         36, 1.58574160226955336E-012
         37, 1.83687660931254090E-012
         38, 1.36993863583721888E-012
         39, 1.74339127370804005E-012
         40, 1.74694902887003314E-012
         41, 1.64127142873990948E-012
         42, 1.61949623710435823E-012
         43, 1.57365892024802627E-012
         44, 1.68926849320171382E-012
         45, 1.76195563316898935E-012
         46, 1.74023603231721142E-012
         47, 1.66884374928874274E-012
         48, 1.73232550812166777E-012
         49, 1.68312539658063537E-012
         50, 1.74044075461790948E-012
         51, 1.75504236771161743E-012
         52, 1.80352900436346449E-012
         53, 1.86895799114693410E-012
         54, 1.73253807500198405E-012
         55, 1.74338043677219500E-012
         56, 1.69127815988452820E-012
         57, 1.76920446287927880E-012
         58, 1.74160523554934228E-012
         59, 1.65199293939814019E-012
         60, 1.51728361071697992E-012
         61, 1.71715872399141965E-012
         62, 1.71156422439638014E-012
         63, 1.98075839032150823E-012
         64, 1.92748997169384097E-012
         65, 1.77140787620561898E-012
         66, 1.67398186205203562E-012
         67, 1.61065914999620442E-012
         68, 1.86207299005721035E-012
         69, 1.76560854846454231E-012
         70, 1.69487563518281391E-012
         71, 1.64972778861712440E-012
         72, 1.57779383120820867E-012
         73, 1.76715010600556516E-012
         74, 1.85533723833827936E-012
         75, 1.83479375042163577E-012
         76, 1.70876053494023284E-012
         77, 2.00459822800819007E-012
         78, 1.84543329089113034E-012
         79, 1.94526481702522936E-012
         80, 1.68971525023143536E-012
         81, 1.82150289102255825E-012
         82, 1.55176451989193397E-012
         83, 2.02138730894701874E-012
         84, 1.81984177326693410E-012
         85, 1.85392413283843558E-012
         86, 1.70734770556793514E-012
         87, 1.87820122946976224E-012
         88, 1.97802592226288992E-012
         89, 2.09302467900806789E-012
         90, 1.77701462079028900E-012
         91, 1.96435033900134816E-012
         92, 1.82128037362216580E-012
         93, 1.81989771807561843E-012
         94, 1.58996060324331678E-012
         95, 1.82001008088002114E-012
         96, 1.82753409111273306E-012
         97, 1.75448353124140794E-012
         98, 1.63314136541855475E-012
         99, 1.79158741544444952E-012
        100, 1.53405406672976366E-012
        101, 1.49119356747857056E-012
        102, 1.75553525621731536E-012
        103, 1.67118789793859126E-012
        104, 1.61853768146455781E-012
        105, 1.37239447089605581E-012
        106, 1.47444435339066585E-012
        107, 1.56834687427114431E-012
        108, 1.71995840454579202E-012
        109, 1.66321193367767619E-012
        110, 1.40451165317902653E-012
        111, 2.07952766853435768E-012
        112, 1.46537784748885185E-012
        113, 1.52142716796745007E-012
        114, 1.42331692317721369E-012
        115, 1.83159011367920729E-012
        116, 1.62320325462844009E-012
        117, 1.54456721933365161E-012
        118, 1.61172475588955286E-012
        119, 1.57768514611079865E-012
        120, 1.64119691695602857E-012
        121, 1.90298616892420044E-012
        122, 1.60923245154271688E-012
        123, 1.68560950237059506E-012
        124, 1.90511182071785964E-012
        125, 1.91077233080837308E-012
        126, 1.86756020626767017E-012
        127, 1.76449783270902782E-012
        128, 1.69517099506575830E-012
        129, 1.82396050542001627E-012
        130, 1.89139420962789733E-012
        131, 1.95181365613106596E-012
        132, 1.90344400898466103E-012
        133, 1.98354747931570470E-012
        134, 1.77746603298177595E-012
        135, 1.71364339728898188E-012
        136, 1.88016915738888974E-012
        137, 1.93003553846118344E-012
        138, 1.52853108755907775E-012
        139, 1.78837985630290888E-012
        140, 1.67120694594396587E-012
        141, 1.84761923389962744E-012
        142, 1.88380687054592729E-012
        143, 1.74541697430262143E-012
        144, 2.13003280314821141E-012
        145, 1.60359463571002830E-012
        146, 2.01762061370557979E-012
        147, 1.71573853019220672E-012
        148, 1.93841814119609205E-012
        149, 1.90631958292454744E-012
        150, 2.03133910916805833E-012
        151, 1.89401105938764341E-012
        152, 2.00593839993155537E-012
        153, 1.94748711267393832E-012
        154, 1.79677959717588979E-012
        155, 1.71355939409243912E-012
        156, 1.83208706125005824E-012
        157, 1.76919460111469200E-012
        158, 1.84740487468243330E-012
        159, 2.02503517071400573E-012
        160, 1.97238399773808068E-012
        161, 2.01684427938859559E-012
        162, 1.59969855498103882E-012
        163, 1.65659771443804936E-012
        164, 1.94090873904454061E-012
        165, 1.79430502555474134E-012
        166, 1.73597136148239811E-012
        167, 1.72681446493258706E-012
        168, 1.86608404341011417E-012
        169, 1.91781390943057521E-012
        170, 1.73823548113327574E-012
        171, 1.99668212779421525E-012
        172, 1.91953157839789569E-012
        173, 2.10168424053486630E-012
        174, 2.10657714365621786E-012
        175, 1.97203637642038147E-012
        176, 2.23556648579236108E-012
        177, 2.01456665996151766E-012
        178, 2.12436313183670091E-012
        179, 2.13720489278733183E-012
        180, 1.82458728667943608E-012
        181, 1.97460881907100033E-012
        182, 1.94745075271398461E-012
        183, 1.85335736462096600E-012
        184, 1.72188726462227533E-012
        185, 1.49290735247731731E-012
        186, 2.09967446712524646E-012
        187, 2.08266726406555572E-012
        188, 1.91947594490077191E-012
        189, 1.91209203798607458E-012
        190, 1.92084892650785415E-012
        191, 1.95822375922009181E-012
        192, 2.09047541927757541E-012
        193, 1.98583437324325612E-012
        194, 1.95414706526275581E-012
        195, 2.15099167870523001E-012
        196, 2.26539411220190787E-012
        197, 1.68696916433185947E-012
        198, 1.83468244139961194E-012
        199, 1.92482201330791577E-012
        200, 2.03971063654281103E-012
        201, 2.10808978512521458E-012
        202, 1.67674124871468441E-012
        203, 1.90202626446206028E-012
        204, 2.11090431211293873E-012
        205, 1.93919154077251999E-012
        206, 2.03648499594296211E-012
        207, 1.82033391425943135E-012
        208, 1.80471832474868437E-012
        209, 1.69965052666188747E-012
        210, 1.90963795207083168E-012
        211, 1.85925887294036355E-012
        212, 2.04043910293216910E-012
        213, 2.28200184373231520E-012
        214, 1.97068484361969119E-012
        215, 2.14995961695572150E-012
        216, 2.01763031567044832E-012
        217, 1.96607758461879367E-012
        218, 1.98860382780967285E-012
        219, 2.06833116723786255E-012
        220, 2.22037060630379613E-012
        221, 1.89975128443708125E-012
        222, 1.73695269319706927E-012
        223, 1.12234643661587713E-012
