         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8390638,  1008, 1.78906983313902035E-001
         2,    8390603,  1008, 2.05209599878003357E-001
         3,    8390540,  1008, 1.93741663855169860E-001
         4,    8390486,  1008, 2.21173568163209017E-001
         5,    8390332,  1008, 1.70257767088672796E-001
         6,    8389962,  1008, 1.69892164021154257E-001
         7,    8389029,  1008, 6.18755883131991494E-003
         8,    8387514,  1008, 2.70114680650323158E-003
         9,    8240178,  1008, 4.17005191005549237E-005
        10,    7655545,  1008, 1.78739994039561206E-007
        11,    4739168,  1008, 1.10455949440288226E-010
        12,     469328,  1008, 3.86145371620839901E-015
        13,      66188,  1008, 3.59038599520595608E-015
        14,       2735,  1008, 3.56443601844652848E-015
        15,         42,  1008, 3.55703296466685891E-015
        16,          7,  1008, 3.48175009563780411E-015
        17,          1,  1008, 0.00000000000000000E+000
        18,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 7.05377869213295234E-015
          2, 7.73476371784696154E-015
          3, 7.21378181861853802E-015
          4, 9.46086853596780030E-015
          5, 9.07433458879876683E-015
          6, 1.32745998056223710E-014
          7, 7.44829095065840147E-015
          8, 1.06107822597932455E-014
          9, 8.51581497405545238E-015
         10, 1.24963551935473184E-014
         11, 7.98328783263934951E-015
         12, 1.44310871229576712E-014
         13, 8.78006835853832141E-015
         14, 9.87001249015944059E-015
         15, 1.26119165934768617E-014
         16, 8.44597030792721532E-015
         17, 1.29238171261953293E-014
         18, 8.18024521442026338E-015
         19, 9.12110376160853941E-015
         20, 1.06253934282112885E-014
         21, 1.01140072812330371E-014
         22, 1.21545873706725968E-014
         23, 9.12947685272919759E-015
         24, 1.25301602111633687E-014
         25, 1.00912429771159479E-014
         26, 1.02267476540073878E-014
         27, 1.00608103878182878E-014
         28, 1.03962229970457129E-014
         29, 9.35495754779131224E-015
         30, 1.24732590253662970E-014
         31, 1.03414353067702350E-014
         32, 1.28817510139233600E-014
         33, 1.00784580328645066E-014
         34, 1.05787826777423927E-014
         35, 1.26424897865465832E-014
         36, 1.22152433585301883E-014
         37, 1.32267403489769949E-014
         38, 1.18112818737413655E-014
         39, 1.11853984624096176E-014
         40, 1.42611713880326940E-014
         41, 1.45927755098379597E-014
         42, 1.05368277507442762E-014
         43, 1.13500032548215696E-014
         44, 1.56379902635275989E-014
         45, 1.78369152862765241E-014
         46, 1.04910490372309958E-014
         47, 1.31292706738449541E-014
         48, 1.36034830604246306E-014
         49, 1.33750422520908980E-014
         50, 1.10299014829678006E-014
         51, 1.23678166667155513E-014
         52, 1.13016693695776571E-014
         53, 1.18401244448308986E-014
         54, 1.14686623164980856E-014
         55, 1.36102580731420353E-014
         56, 1.23676628257021246E-014
         57, 1.18550664485927584E-014
         58, 1.50866522271188089E-014
         59, 1.65732738692051166E-014
         60, 1.22171667320329571E-014
         61, 1.33348923402327483E-014
         62, 1.17427141742001790E-014
         63, 1.28685033597864752E-014
         64, 1.74890135100993672E-014
         65, 1.42546361218004401E-014
         66, 1.26702215639271538E-014
         67, 1.75525050026743602E-014
         68, 1.39206253474891094E-014
         69, 1.19280845988092984E-014
         70, 1.17228425891476126E-014
         71, 1.24377373284849884E-014
         72, 1.10603083357309265E-014
         73, 1.52497553201534946E-014
         74, 1.24128704692211718E-014
         75, 1.07683037844167237E-014
         76, 1.25975214202609672E-014
         77, 1.19539405414386751E-014
         78, 1.19184385769972040E-014
         79, 1.22725917764006941E-014
         80, 1.43684384467450131E-014
         81, 1.22914637353430406E-014
         82, 1.28162862794573889E-014
         83, 1.50679306411479308E-014
         84, 1.23678536326247013E-014
         85, 1.35641558615176460E-014
         86, 1.50377021201729359E-014
         87, 1.56630357742339938E-014
         88, 1.18673042652092669E-014
         89, 1.25890973547036446E-014
         90, 1.44041370542188774E-014
         91, 1.59109684251932521E-014
         92, 1.34641372831666092E-014
         93, 1.48872303745734797E-014
         94, 1.39616820503835281E-014
         95, 1.37366577216941173E-014
         96, 1.34804442954911332E-014
         97, 1.37940816805012556E-014
