         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8390642,  1008, 1.70322035089126411E-001
         2,    8390611,  1008, 1.96721894191276281E-001
         3,    8390509,  1008, 1.19770270954732763E-001
         4,    8390240,  1008, 1.25124289742111150E-001
         5,    8389837,  1008, 8.10106180821319050E-002
         6,    8389190,  1008, 8.86747954105699017E-003
         7,    8386646,  1008, 9.46108408480016714E-004
         8,    7664745,  1008, 3.41625730915890796E-005
         9,    5957298,  1008, 2.01013913308978989E-007
        10,    4168519,  1008, 1.69081175000933925E-010
        11,     712757,  1008, 4.04324078782465198E-014
        12,      71665,  1008, 3.55849908473737944E-015
        13,        573,  1008, 3.54466308933092973E-015
        14,         23,  1008, 3.45283790189112550E-015
        15,          3,  1008, 0.00000000000000000E+000
        16,          1,  1008, 0.00000000000000000E+000
        17,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.29630943894017300E-014
          2, 1.05860789025136639E-014
          3, 1.32471927128246026E-014
          4, 2.01056982380595604E-014
          5, 9.28156448332026987E-015
          6, 1.71506060536203868E-014
          7, 1.20446017938587350E-014
          8, 1.92560414919467124E-014
          9, 1.73937166579595375E-014
         10, 2.41636965808141250E-014
         11, 1.52636990093852542E-014
         12, 1.47326461337431568E-014
         13, 1.99456503896901908E-014
         14, 1.40339256635021429E-014
         15, 1.17509052857718554E-014
         16, 1.70571784145161122E-014
         17, 1.68185046215787811E-014
         18, 1.81479599727145082E-014
         19, 2.00401641755894387E-014
         20, 2.35756163867303934E-014
         21, 1.93755995481070340E-014
         22, 1.54221185516204569E-014
         23, 1.36157841923425459E-014
         24, 1.69339864760596638E-014
         25, 2.18967448269893353E-014
         26, 1.50169256969439750E-014
         27, 1.40048370622887004E-014
         28, 1.60614551240928342E-014
         29, 1.60763724523711716E-014
         30, 2.64428555985523415E-014
         31, 2.56242817230054066E-014
         32, 1.95479040645044759E-014
         33, 2.13890063988063966E-014
         34, 1.85447201384925512E-014
         35, 1.62552677602963861E-014
         36, 1.52836238481001781E-014
         37, 1.94980966037442566E-014
         38, 2.39608904095345392E-014
         39, 1.86424666267754766E-014
         40, 1.79307231670633578E-014
         41, 1.55586712425240628E-014
         42, 1.67321227046696508E-014
         43, 1.90973309397770360E-014
         44, 1.81403276749384506E-014
         45, 2.36071278935212773E-014
         46, 1.96042255030436426E-014
         47, 1.03144133858054843E-014
         48, 1.38161290489834937E-014
         49, 1.65951505196962339E-014
         50, 1.24969152458663929E-014
         51, 1.73493327682130077E-014
         52, 1.64310721444123406E-014
         53, 2.03613400021101111E-014
         54, 1.93528535190045189E-014
         55, 1.93931448334039886E-014
         56, 2.33135397048251504E-014
         57, 2.04165329907622865E-014
         58, 1.14328028094314950E-014
         59, 1.58432917294222548E-014
         60, 2.11086987846776914E-014
         61, 2.20372346428039802E-014
         62, 1.85601780024332870E-014
         63, 1.64310332268598580E-014
         64, 1.89601314921830894E-014
         65, 1.89806161684545074E-014
         66, 1.82667336169064964E-014
         67, 1.95390062097711501E-014
         68, 2.10288127837281429E-014
         69, 2.09510497006992293E-014
         70, 1.93101914252416104E-014
         71, 1.90913002373732825E-014
         72, 1.51279141453652459E-014
