         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8390641,  1008, 2.86323664238914144E-001
         2,    8390626,  1008, 1.06100519058080212E-001
         3,    8390457,  1008, 1.16107896550507447E-001
         4,    8390186,  1008, 1.19354122138449176E-001
         5,    8389808,  1008, 1.08806822360910160E-001
         6,    8389125,  1008, 7.15600729401321897E-003
         7,    8377971,  1008, 1.37751951674968645E-003
         8,    7317184,  1008, 3.25522957234496371E-005
         9,    5716774,  1008, 1.31842836145607305E-007
        10,    3197648,  1008, 2.76969578015577391E-010
        11,     725263,  1008, 4.64921807352437378E-014
        12,     116101,  1008, 3.55194102020415020E-015
        13,       6564,  1008, 3.48921332990278862E-015
        14,         72,  1008, 2.09319509242403099E-015
        15,          2,  1008, 1.89016707861204878E-015
        16,          1,  1008, 0.00000000000000000E+000
        17,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 5.52778378783028908E-013
          2, 1.32804405901724063E-012
          3, 9.48317651833855782E-013
          4, 1.40063120026265786E-012
          5, 1.43337412937251099E-012
          6, 1.51363399596840184E-012
          7, 1.59269946470278799E-012
          8, 7.55595508498956322E-013
          9, 1.32873970838315388E-012
         10, 1.12506093883998775E-012
         11, 9.45308330588733505E-013
         12, 6.22915951813413173E-013
         13, 1.31685614379773081E-012
         14, 1.31153406438219888E-012
         15, 6.44228381081749471E-013
         16, 7.88486853640748431E-013
         17, 8.48403422115987799E-013
         18, 6.79485381646281032E-013
         19, 9.74042561462766224E-013
         20, 1.01819711148224775E-012
         21, 6.12407605764939395E-013
         22, 7.75608599965839282E-013
         23, 6.86978482063640779E-013
         24, 7.46358048410602086E-013
         25, 6.27029656966722727E-013
         26, 1.19195003770933103E-012
         27, 8.33297481478875033E-013
         28, 7.42540751944498473E-013
         29, 1.49106228900992210E-012
         30, 7.33666562471934907E-013
         31, 6.62192231847393942E-013
         32, 8.45120283068764279E-013
         33, 9.03505119217971235E-013
         34, 1.52072743608888022E-012
         35, 6.51349034468705058E-013
         36, 6.62539810732560413E-013
         37, 1.19318971394554671E-012
         38, 1.35561419277800372E-012
         39, 1.28885668629039692E-012
         40, 6.59381212712124628E-013
         41, 5.40837001166023186E-013
         42, 7.31129458162556308E-013
         43, 8.74394270989912721E-013
         44, 6.44860488810306717E-013
         45, 6.27014978762436888E-013
         46, 8.59058680282722157E-013
         47, 8.41257315145253882E-013
         48, 8.81552396791676281E-013
         49, 6.80691233643433576E-013
         50, 7.90233502470733416E-013
         51, 9.79406978348900925E-013
         52, 8.21226253825361853E-013
         53, 6.23862856270523270E-013
         54, 8.28627325985360876E-013
         55, 6.46136699556844979E-013
         56, 6.74814626266044733E-013
         57, 7.69296223249046158E-013
         58, 1.07569014307070813E-012
         59, 1.03899847199649512E-012
         60, 6.94729273492825927E-013
         61, 1.20860272056555025E-012
         62, 7.85790258282757353E-013
         63, 8.39563120885110168E-013
         64, 5.42653615492988843E-013
         65, 6.83122036268142160E-013
         66, 8.00953567924299644E-013
         67, 1.15136647822590014E-012
         68, 8.80324563668444655E-013
         69, 8.94198366383004738E-013
         70, 6.06365885536173987E-013
         71, 6.07333552757985081E-013
         72, 6.72794718899908009E-013
         73, 1.49974358729317908E-012
         74, 9.92462023801151297E-013
         75, 9.45699920384754513E-013
         76, 8.13520370895396985E-013
         77, 8.77571607769223000E-013
         78, 1.11029844480296006E-012
         79, 1.09112837009162504E-012
         80, 6.06092786692257616E-013
         81, 7.01940341936142088E-013
         82, 1.02313836088733171E-012
         83, 1.06364787032274822E-012
         84, 6.34327480301830636E-013
         85, 6.91326257359224365E-013
         86, 6.04112110626950927E-013
         87, 1.27201691000274304E-012
         88, 7.00909829013712764E-013
         89, 1.45001678223208601E-012
         90, 7.36125223602996135E-013
         91, 1.07973423595483399E-012
         92, 1.23319540876907335E-012
         93, 6.54902169241665479E-013
         94, 7.00639442143526710E-013
         95, 6.27131392491734465E-013
         96, 6.15168412898815949E-013
         97, 6.73105468433261271E-013
         98, 6.72826666988274293E-013
         99, 6.93160873473183368E-013
        100, 1.01865426957464207E-012
        101, 6.72579203043690723E-013
        102, 9.34770439733651514E-013
        103, 5.73029465094692538E-013
        104, 5.91638314358913869E-013
        105, 6.57462419539783396E-013
        106, 6.12765883442894445E-013
        107, 6.45259383440307281E-013
        108, 6.51402628031647067E-013
        109, 6.50778553847541006E-013
        110, 7.67028856500893271E-013
        111, 7.44761684398400883E-013
        112, 8.20086313749936331E-013
        113, 6.01139981822801562E-013
        114, 9.35635969509629820E-013
        115, 6.20753854552114413E-013
        116, 6.61379152388206208E-013
        117, 6.88545060233050247E-013
        118, 6.76792005621246742E-013
        119, 6.44656567030628498E-013
        120, 6.55117262552627321E-013
        121, 6.51917904755998436E-013
        122, 6.52763753008087111E-013
        123, 7.48357147765973305E-013
        124, 6.74826831040675294E-013
        125, 5.98831147333166213E-013
        126, 6.78823577228244910E-013
        127, 5.91068056528503204E-013
        128, 7.83389134276133905E-013
        129, 6.88458273056483101E-013
        130, 7.05436145643560378E-013
        131, 5.79023982667628906E-013
        132, 6.63169785727468036E-013
        133, 6.22342272308105741E-013
        134, 6.09277071771565397E-013
        135, 8.44803357475524536E-013
        136, 9.76996318593383643E-013
        137, 6.98160868743852714E-013
        138, 5.86592385576728530E-013
        139, 6.12481581542826516E-013
        140, 6.76596191782021090E-013
        141, 6.02731137785027484E-013
        142, 5.86095185701967080E-013
        143, 6.88679877550735696E-013
        144, 5.70725203353356769E-013
        145, 7.22602792424160712E-013
        146, 6.82667749468882265E-013
        147, 6.08071529706628125E-013
        148, 5.88403193442656987E-013
        149, 5.85917718104097036E-013
        150, 6.38333834264292456E-013
        151, 6.77602026032765406E-013
        152, 6.58085160621731838E-013
        153, 6.38960974834650203E-013
        154, 5.65671505369831475E-013
        155, 5.90272734127193603E-013
        156, 5.85935840636545639E-013
        157, 6.37671455295628030E-013
        158, 6.62206086438911679E-013
        159, 6.74733182339586307E-013
        160, 5.55904927580550470E-013
        161, 6.44673719099070263E-013
        162, 6.61704799811730524E-013
        163, 6.11538007486332394E-013
        164, 6.45123082493824624E-013
        165, 6.04349075517990169E-013
        166, 6.97837467406465356E-013
        167, 6.75857638326021792E-013
        168, 1.11354411678057634E-012
        169, 6.94892400356185418E-013
        170, 6.04317756637551092E-013
        171, 5.75538998666747742E-013
        172, 6.20980870899478948E-013
        173, 6.54072163501478428E-013
        174, 7.57670117735323038E-013
        175, 7.30254934144648945E-013
        176, 5.68226385950891074E-013
        177, 6.73571286638371498E-013
        178, 5.49700668445100593E-013
        179, 7.44269943979099632E-013
        180, 6.36834373821684070E-013
        181, 6.31657609087815846E-013
        182, 6.18022274725640111E-013
        183, 6.09352321764754102E-013
        184, 6.47725977961502691E-013
        185, 7.17324859526449778E-013
        186, 6.28122091768689024E-013
        187, 6.70484950813974719E-013
        188, 6.68057116584275898E-013
        189, 6.11822395157292494E-013
        190, 7.21572779440819901E-013
        191, 5.94557725615924866E-013
        192, 6.63197673267398730E-013
        193, 6.75676080594432671E-013
        194, 5.91886676987288511E-013
        195, 7.86961607433957514E-013
        196, 7.49873838709325139E-013
        197, 6.70835460669046319E-013
        198, 8.29296091090467996E-013
        199, 8.22043230761668035E-013
        200, 8.84776126381633534E-013
        201, 7.38682460189546766E-013
        202, 6.22117930744491768E-013
        203, 7.15717662026550542E-013
        204, 1.35052986476877610E-012
        205, 6.58914050544920255E-013
        206, 9.55009046648419097E-013
        207, 8.08215153822658782E-013
        208, 7.91420967734702368E-013
        209, 1.06291784907215321E-012
        210, 6.55215240394771147E-013
        211, 8.54006750267422135E-013
        212, 6.71012410410008694E-013
        213, 7.38422341252547091E-013
        214, 6.66682464539697993E-013
        215, 6.91843212824956313E-013
        216, 7.83533303224192489E-013
        217, 7.84168057859176654E-013
        218, 7.81382767389302363E-013
        219, 7.45394209355570468E-013
        220, 7.52245873703038145E-013
        221, 9.42124001710352947E-013
        222, 1.02125834765183507E-012
        223, 7.29484021854187236E-013
        224, 6.73390391455232300E-013
        225, 7.59642245171432400E-013
        226, 6.73997524970536478E-013
        227, 6.66981035143736589E-013
        228, 9.62485204129621587E-013
        229, 6.55503086624932223E-013
        230, 5.67836893470629599E-013
        231, 7.05563509215680067E-013
        232, 6.21214389768269840E-013
        233, 6.34864206386306367E-013
        234, 6.52853511487036761E-013
        235, 7.12805609842635088E-013
        236, 8.13036292572305963E-013
        237, 6.02651573108285460E-013
        238, 6.67042498597303208E-013
        239, 6.61605984724841408E-013
        240, 6.30833223174983491E-013
        241, 6.77013835992449454E-013
        242, 6.48031712022608538E-013
        243, 7.05947648058857107E-013
        244, 6.76134887740256550E-013
        245, 6.53252006339455883E-013
        246, 6.69672643791726904E-013
        247, 7.16876440020489841E-013
        248, 5.92611047872695570E-013
        249, 6.98414418785347306E-013
        250, 7.07472803427017572E-013
        251, 6.29065914753847780E-013
        252, 5.91328514584103682E-013
        253, 7.12500280593344109E-013
        254, 6.92008964616261831E-013
        255, 7.17445030964380246E-013
        256, 6.67988561961534646E-013
        257, 6.39561141180324054E-013
        258, 6.89507720170945087E-013
        259, 6.44114571900273117E-013
        260, 7.00225380847268555E-013
        261, 6.85181111904056708E-013
        262, 8.30690191209631483E-013
        263, 6.26096475889641849E-013
        264, 7.59445836120621278E-013
        265, 7.06718601345346098E-013
        266, 6.46614561631571243E-013
        267, 6.17049295293885234E-013
        268, 5.98493070246092616E-013
        269, 6.89053500530813551E-013
        270, 6.17612493511425699E-013
        271, 7.33891412024829392E-013
        272, 6.31127030084835187E-013
        273, 6.60855731334456365E-013
        274, 6.53397255024652237E-013
        275, 6.36135445516811490E-013
        276, 6.71855186314086318E-013
        277, 7.17599144740200829E-013
        278, 6.21231616617527366E-013
        279, 8.09827101602213340E-013
        280, 7.29464931154450767E-013
        281, 6.40615305995823480E-013
        282, 6.08380222837271975E-013
        283, 6.61116975054953676E-013
        284, 6.65669177016817854E-013
        285, 6.73030861954272442E-013
        286, 7.97329957743634813E-013
        287, 6.66738236990151030E-013
        288, 7.75235168335802308E-013
        289, 7.29882548198654348E-013
        290, 7.52474085676419412E-013
        291, 6.77075720011434714E-013
        292, 7.40535955554291104E-013
        293, 6.68057068573099880E-013
        294, 7.02459190998379105E-013
        295, 7.77361355877961996E-013
        296, 7.89370287688814943E-013
        297, 7.64281194373875363E-013
        298, 7.80219032728397056E-013
        299, 7.02099752728602637E-013
        300, 6.58478844609018257E-013
        301, 7.45187202569424202E-013
        302, 7.14679115188161127E-013
        303, 7.27353706522378241E-013
        304, 7.32715732940904788E-013
        305, 6.48375285029103888E-013
        306, 7.11808937987275484E-013
        307, 6.93796195674272073E-013
        308, 7.44679003219011160E-013
        309, 7.02027081658339971E-013
        310, 6.43004706829077802E-013
        311, 7.31961825895290824E-013
        312, 6.48515925545823506E-013
        313, 7.13609194024597573E-013
        314, 6.96083996447893473E-013
        315, 7.67708879248466798E-013
        316, 6.44171860581512731E-013
        317, 6.78595946747434592E-013
        318, 6.26549366405636889E-013
        319, 7.31900676776201665E-013
        320, 6.70476245750256148E-013
        321, 7.17491919963184266E-013
        322, 7.51611643622136078E-013
        323, 7.75857529874781512E-013
        324, 7.26065200620183118E-013
        325, 7.11033705628044260E-013
        326, 7.55423440801857408E-013
        327, 7.41946906410544140E-013
        328, 7.20308297721582818E-013
        329, 6.58577059755664162E-013
        330, 7.74490851986788423E-013
        331, 6.64797522276041473E-013
        332, 8.09952890013692777E-013
        333, 8.23197571265561030E-013
        334, 7.26942184114250981E-013
        335, 7.54168158656511197E-013
        336, 7.39030533389807330E-013
        337, 8.24481794154964749E-013
        338, 7.40698944632071761E-013
        339, 6.72671279578664844E-013
        340, 8.00079547580048486E-013
        341, 7.58683338310169351E-013
        342, 7.03652667536426644E-013
        343, 8.31217712236632598E-013
        344, 7.23847928945904769E-013
        345, 6.60717033280053632E-013
        346, 6.95079775298716582E-013
        347, 7.42177246266364403E-013
        348, 7.40986921562508993E-013
        349, 7.31396734956997621E-013
        350, 7.37456525938193747E-013
        351, 6.76310971635774690E-013
        352, 7.15157132063189036E-013
        353, 7.64763985706420849E-013
        354, 8.50495197283899969E-013
        355, 7.52234796942390238E-013
        356, 8.56243146094703114E-013
        357, 7.60747272238338887E-013
        358, 8.20561916429303176E-013
        359, 7.45471850281635118E-013
        360, 7.84918502305320958E-013
        361, 8.44294653234081505E-013
        362, 7.45407671705355597E-013
        363, 7.72872228192323830E-013
        364, 7.75290739832004852E-013
        365, 7.12521594025809086E-013
        366, 6.73330953417607634E-013
        367, 9.08300881784032207E-013
        368, 7.57105647463328276E-013
        369, 6.92713593842717676E-013
        370, 7.07311679789449559E-013
        371, 7.05531843783007836E-013
        372, 7.69714057470679556E-013
        373, 8.83332775486797527E-013
        374, 8.44026804541718820E-013
        375, 6.99641482601502032E-013
        376, 7.96806721838017838E-013
        377, 7.95436870460560132E-013
        378, 7.78559209641696191E-013
        379, 7.62412819926294847E-013
        380, 7.52653581376417044E-013
        381, 7.62240541288058973E-013
        382, 8.53507203567746975E-013
        383, 8.24323612848460870E-013
        384, 7.63843959092248692E-013
        385, 7.68541006635445819E-013
        386, 8.58962264866399246E-013
        387, 7.97103523276502875E-013
        388, 8.93409638987123743E-013
        389, 6.74597306982697778E-013
        390, 8.33502577231686950E-013
        391, 7.00557887567128037E-013
        392, 7.30013676385421238E-013
        393, 8.37052323317193518E-013
        394, 8.09958289795972405E-013
        395, 9.15517550542788325E-013
        396, 8.59233130549426141E-013
        397, 7.71580423474871380E-013
        398, 7.68374385900655166E-013
        399, 8.09592493756954711E-013
        400, 8.49326879926687315E-013
        401, 9.11184385558124112E-013
        402, 7.76290461155981332E-013
        403, 8.18277873883937270E-013
        404, 8.41032918065359985E-013
        405, 8.90269387486082375E-013
        406, 8.30869231723586683E-013
        407, 7.42083155654252758E-013
        408, 7.93432491365877570E-013
        409, 7.74853833294723594E-013
        410, 8.26579752316697580E-013
        411, 8.03064983847050119E-013
        412, 8.07140965402331788E-013
        413, 7.87703116988511766E-013
        414, 7.85240931003175572E-013
        415, 8.82541029679383626E-013
        416, 8.86990768427533937E-013
        417, 9.72960759225247049E-013
        418, 8.45005185709360567E-013
        419, 8.64359663642855203E-013
        420, 8.74396444519768358E-013
        421, 9.52436821234473028E-013
        422, 1.02252375420167676E-012
        423, 9.34830730905025885E-013
        424, 8.25028856717998652E-013
        425, 8.27654215120751852E-013
        426, 7.63728210365654498E-013
        427, 8.82841633681871555E-013
        428, 8.25197793665409066E-013
        429, 9.48284134823077980E-013
        430, 8.24052931562332861E-013
        431, 8.20336576666245341E-013
        432, 8.85655418143405259E-013
        433, 8.21718219272110948E-013
        434, 9.04233901322992798E-013
        435, 8.12763931818473423E-013
        436, 8.49060267887688115E-013
        437, 8.75270559556365292E-013
        438, 8.53334427266117621E-013
        439, 8.67726724011915802E-013
        440, 8.88263666706860243E-013
        441, 8.59363859093205952E-013
        442, 7.76405823304703769E-013
        443, 7.85762245159460186E-013
        444, 9.40535221500729164E-013
        445, 8.55718031914891136E-013
        446, 8.39364534749360884E-013
        447, 8.21331518775415168E-013
        448, 8.73378185167669473E-013
        449, 9.38475692661112643E-013
        450, 8.75255311421538001E-013
        451, 8.43809774075316066E-013
        452, 8.00354901011539419E-013
        453, 8.45244385422321876E-013
        454, 8.93594391169012356E-013
        455, 7.52495593403360589E-013
        456, 8.31565782548144707E-013
        457, 8.22258524774515158E-013
        458, 1.00061086316869374E-012
        459, 8.75319077971562059E-013
        460, 9.71382919411890413E-013
        461, 9.64902612348440309E-013
        462, 9.23564087166869257E-013
        463, 8.88451867672157998E-013
        464, 8.61399069948370554E-013
        465, 9.67207641544789931E-013
        466, 8.35849812259185439E-013
        467, 1.02143013882355047E-012
        468, 1.03295896185869883E-012
        469, 9.21908676590778682E-013
        470, 9.11937107794525731E-013
        471, 8.64252414024888231E-013
        472, 8.91544610171530290E-013
        473, 7.44469240597291997E-013
        474, 9.02693382139189267E-013
        475, 1.03506259114831898E-012
