         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8390642,  1008, 6.17181394591746220E+303
         2,    8390602,  1008, 6.17181394591746220E+303
         3,    8390572,  1008, 6.17181394591746220E+303
         4,    8390550,  1008, 6.17181394591746220E+303
         5,    8390333,  1008, 6.17181394591746220E+303
         6,    8389483,  1008, 6.17181394591746220E+303
         7,    8388268,  1008, 6.17181394591746220E+303
         8,    8387130,  1008, 6.17181394591746220E+303
         9,    8198037,  1008, 6.17181394591746220E+303
        10,    2794404,  1008, 6.17181394591746220E+303
        11,     779359,  1008, 6.17181394591746220E+303
        12,     134633,  1008, 6.17181394591746220E+303
        13,       6938,  1008, 6.17181394591746220E+303
        14,         85,  1008, 6.17181394591746220E+303
        15,         10,  1008, 6.17181394591746220E+303
        16,          1,  1008, 6.17181394591746220E+303
        17,          0,  1008, 6.17181394591746220E+303
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 9.37351313768850015E-013
          2, 9.27307080615321184E-013
          3, 9.29738283039709715E-013
          4, 9.41104471310647298E-013
          5, 1.00308663718747315E-012
          6, 9.93916014782164239E-013
          7, 9.44438161588060953E-013
          8, 9.62664827433276796E-013
          9, 9.40339898720726967E-013
         10, 1.05292945092248483E-012
         11, 9.28430487521801936E-013
         12, 9.60023570505256280E-013
         13, 9.96164625909432690E-013
         14, 9.12239652298152663E-013
         15, 9.63893087791170616E-013
         16, 9.88758323693202824E-013
         17, 9.89044537309577801E-013
         18, 9.09537387926806704E-013
         19, 9.72138654545846548E-013
         20, 9.84211925890349064E-013
         21, 1.01258423048042065E-012
         22, 9.62683320882757771E-013
         23, 9.46676842982211760E-013
         24, 9.35997455381893734E-013
         25, 1.02269900759188356E-012
         26, 1.00999514117960750E-012
         27, 9.63633848422586166E-013
         28, 9.65409765042045462E-013
         29, 8.82646504165084585E-013
         30, 1.02944916236771183E-012
         31, 9.71473944949529780E-013
         32, 8.88988913581822802E-013
         33, 9.82744075343293930E-013
         34, 9.12873132781188374E-013
         35, 9.72671311655512900E-013
         36, 9.94058001599111138E-013
         37, 1.02551267167109712E-012
         38, 9.74362080799083865E-013
         39, 1.04100185869514182E-012
         40, 1.03792894720493833E-012
         41, 9.60359087716655725E-013
         42, 9.41321520569961875E-013
         43, 9.74990206689283985E-013
         44, 8.76097572883839436E-013
         45, 9.93114990520581523E-013
         46, 9.90163141626123800E-013
         47, 8.94424710271174697E-013
         48, 9.77773519276528525E-013
         49, 9.61319765835386960E-013
         50, 9.69103368543736684E-013
         51, 9.00133666075356645E-013
         52, 1.03879688659909126E-012
         53, 1.03074949117784688E-012
         54, 9.93674015717710207E-013
         55, 9.51318282461924860E-013
         56, 9.63083231422617629E-013
         57, 9.95811090067060112E-013
         58, 1.02401160436780576E-012
         59, 9.42150304801081030E-013
         60, 9.51839196399887280E-013
         61, 9.26494255838618864E-013
         62, 1.02017534522092962E-012
         63, 9.49543230305221869E-013
         64, 9.66953527157646556E-013
         65, 9.90611404030629140E-013
         66, 1.03249806985057106E-012
         67, 9.29530756713427343E-013
         68, 9.23062798621058120E-013
         69, 9.83680686121523197E-013
         70, 1.01670650764361275E-012
         71, 9.45529823790582792E-013
         72, 9.57495576328624103E-013
         73, 1.00860935330099521E-012
         74, 1.03016393254146478E-012
         75, 1.06310774182773142E-012
         76, 9.69538312867498779E-013
         77, 9.83658444659994782E-013
         78, 8.84753604470564364E-013
         79, 9.81266498092251217E-013
         80, 9.50167015970955137E-013
         81, 9.79649757683333791E-013
         82, 1.06066413855519813E-012
         83, 9.82732622917403873E-013
         84, 9.29459399194623570E-013
         85, 9.20263611716056764E-013
         86, 9.91299899537036512E-013
         87, 9.51240707637817113E-013
         88, 9.49194364403109553E-013
         89, 9.39521133973445583E-013
         90, 9.32389897878619357E-013
         91, 9.64980576083616218E-013
         92, 1.10099719784229821E-012
         93, 9.34128705036707633E-013
         94, 9.83041250645854316E-013
         95, 9.29222300594634079E-013
         96, 9.97719000390010753E-013
         97, 9.87272762934933901E-013
         98, 1.00211851610949300E-012
         99, 9.88948464494579907E-013
        100, 1.05611088582095496E-012
        101, 1.01683952552199566E-012
        102, 9.93162629018298297E-013
        103, 9.79997391159967624E-013
        104, 1.06023799613374832E-012
        105, 1.00384937650244439E-012
        106, 9.87804899479543141E-013
        107, 9.78853196068184209E-013
        108, 9.10176345646386856E-013
        109, 9.80876721706845635E-013
        110, 9.61825166275154963E-013
        111, 8.92241967874999491E-013
        112, 1.04636326671568405E-012
        113, 9.97701822812586022E-013
        114, 9.53083181185798620E-013
        115, 9.14725363400781542E-013
        116, 9.39728496508707336E-013
        117, 1.04835643780099252E-012
        118, 9.82294658715820266E-013
        119, 9.97197158156320123E-013
        120, 1.05304508248249692E-012
        121, 9.43473079633660587E-013
        122, 9.90043423198396030E-013
        123, 1.01219351268844871E-012
        124, 1.00713853042353756E-012
        125, 1.07143414883629802E-012
        126, 1.01003016364304626E-012
        127, 9.82673552137273671E-013
        128, 1.00788107611865349E-012
        129, 1.00681730734242004E-012
        130, 1.03111996400649273E-012
        131, 1.00174294253153692E-012
        132, 1.02901277154758224E-012
        133, 9.61401477665936235E-013
        134, 1.03848080888691275E-012
        135, 1.04944733377162477E-012
        136, 9.84769971788042575E-013
        137, 1.01461988766417062E-012
        138, 9.98089426248412558E-013
        139, 9.36937542379714367E-013
        140, 1.02902896095108422E-012
        141, 1.00886815186707192E-012
        142, 9.73173482436523716E-013
        143, 9.84482419157863701E-013
        144, 1.02964478942265449E-012
        145, 1.02384282886840952E-012
        146, 1.01437707062466338E-012
        147, 1.00267906460148545E-012
        148, 9.60155744508482805E-013
        149, 1.02219499423129589E-012
        150, 8.96177355174958244E-013
        151, 9.19154959381128035E-013
        152, 9.95673049396962999E-013
        153, 9.93655598289877303E-013
        154, 9.59868532474689959E-013
        155, 9.26424376623405875E-013
        156, 9.90057828370750374E-013
        157, 9.74151300951189029E-013
        158, 1.03422658198814699E-012
        159, 9.70725607150310904E-013
        160, 1.02058321093430554E-012
        161, 1.07919262828949198E-012
        162, 1.05298612264021217E-012
        163, 1.08151786435998810E-012
        164, 1.02805977046632690E-012
        165, 1.04071949391527228E-012
        166, 9.72985403435426333E-013
        167, 9.98853461318404109E-013
        168, 9.80721665068352217E-013
        169, 9.76582648614411061E-013
        170, 9.88226783764656810E-013
        171, 1.04956816992739294E-012
        172, 1.03525145420393532E-012
        173, 1.00101205530724651E-012
        174, 9.65755193211754594E-013
        175, 1.02634663523216686E-012
        176, 1.02915233497272033E-012
        177, 1.08888059030380506E-012
        178, 1.10007437469366153E-012
        179, 1.05811974697009739E-012
        180, 1.05881263206908744E-012
        181, 9.02000974267639359E-013
        182, 9.92702017906328438E-013
        183, 1.10010245822922624E-012
        184, 1.05792505830932297E-012
        185, 1.03152637294825975E-012
        186, 1.05400324275646824E-012
        187, 9.68896358879583901E-013
        188, 9.56947500482686189E-013
        189, 9.88074697704678951E-013
        190, 1.01962644745235413E-012
        191, 1.01066440163127345E-012
        192, 1.01739556560162533E-012
        193, 1.03640840375677657E-012
        194, 1.06875541268253647E-012
        195, 1.05506643576974256E-012
        196, 9.69928957171673569E-013
        197, 1.09819894677381861E-012
        198, 1.01182960747881307E-012
        199, 1.01925066529111408E-012
        200, 1.02791262057575534E-012
        201, 9.77538752120262605E-013
        202, 9.62098591137290770E-013
        203, 9.92241997664953711E-013
        204, 1.01428280410429228E-012
        205, 1.08159855457880893E-012
        206, 1.01423642951992155E-012
        207, 9.26800564884923033E-013
        208, 1.05441693627147232E-012
        209, 1.02847907635726560E-012
        210, 9.95780441034795268E-013
        211, 9.83310891399086751E-013
        212, 1.03438465042732253E-012
        213, 9.89303475613394028E-013
        214, 1.03014056149290115E-012
        215, 9.94079529616959752E-013
        216, 1.03013687261174510E-012
        217, 1.06402803187480342E-012
        218, 1.03727416559421232E-012
        219, 1.05548934378861233E-012
        220, 1.06745416394372344E-012
        221, 1.02197660122519293E-012
        222, 1.04869304925680083E-012
        223, 1.03739153355131699E-012
        224, 1.07152144933484651E-012
        225, 1.08028543509167680E-012
        226, 1.00839581893371895E-012
        227, 1.12376561729862585E-012
        228, 1.14738148585456404E-012
        229, 1.15924479958188863E-012
        230, 1.07318204603336528E-012
        231, 9.62877167040723165E-013
        232, 1.07185419668768279E-012
        233, 1.01383334785462776E-012
        234, 9.98589278758812984E-013
        235, 9.90514171485785543E-013
        236, 1.07747152625972229E-012
        237, 1.07243215565563048E-012
        238, 1.05749386595875049E-012
        239, 1.14130657370525772E-012
        240, 9.59073268505791222E-013
        241, 9.79701860803037782E-013
        242, 1.03711365455414192E-012
        243, 1.01780228307795795E-012
        244, 1.05945221132570560E-012
        245, 1.00626658064595859E-012
        246, 1.07651992411777663E-012
        247, 9.75202770333668491E-013
        248, 1.07693710729285362E-012
        249, 9.62955670278707009E-013
        250, 1.02765356548721032E-012
        251, 1.06895645847466903E-012
        252, 1.03245146370315878E-012
        253, 1.08559701337775963E-012
        254, 9.83472985862823530E-013
        255, 1.03211245441194484E-012
        256, 9.90123293816545740E-013
        257, 1.09396706433888970E-012
        258, 1.01061978389592890E-012
        259, 1.05230225519937658E-012
        260, 1.01783859225323327E-012
        261, 1.05775962031693222E-012
        262, 1.13011036262282271E-012
        263, 9.75241201318861816E-013
