         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8386560,  1008, 0.00000000000000000E+000
         2,    8386560,  1008, 0.00000000000000000E+000
         3,    8386560,  1008, 0.00000000000000000E+000
         4,    8386560,  1008, 0.00000000000000000E+000
         5,    8386560,  1008, 0.00000000000000000E+000
         6,    8386554,  1008, 0.00000000000000000E+000
         7,    8263141,  1008, 0.00000000000000000E+000
         8,    5693156,  1008, 0.00000000000000000E+000
         9,    3826402,  1008, 0.00000000000000000E+000
        10,    1985127,  1008, 0.00000000000000000E+000
        11,     776109,  1008, 0.00000000000000000E+000
        12,     177470,  1008, 0.00000000000000000E+000
        13,      15486,  1008, 0.00000000000000000E+000
        14,        134,  1008, 0.00000000000000000E+000
        15,          6,  1008, 0.00000000000000000E+000
        16,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 9.27131133058186393E-015
          2, 8.17672099467835369E-015
          3, 8.57975028848108834E-015
          4, 8.99502752084821342E-015
          5, 1.51021831614357819E-014
          6, 5.09992801346609490E-014
          7, 1.19132508334531533E-014
          8, 1.22006380975437014E-014
          9, 1.28072288707079126E-014
         10, 4.18456691160074329E-014
         11, 2.00414865662701154E-014
         12, 2.13437026299718578E-014
         13, 3.86529100630623844E-014
         14, 1.33996075254893735E-014
         15, 1.59669036668627768E-014
         16, 2.73972240804477006E-014
         17, 2.79033102235026152E-014
         18, 4.14575379180749987E-014
         19, 3.34964609091923743E-014
         20, 1.76098489264355547E-014
         21, 2.34046829181421846E-014
         22, 1.81987840095300033E-014
         23, 1.46866895105750320E-014
         24, 2.80071039246596274E-014
         25, 5.20344873558584361E-014
         26, 3.16492850688317480E-014
         27, 1.25370402813553063E-014
         28, 1.51953535791843916E-014
         29, 2.14723471666967278E-014
         30, 3.62394911564142317E-014
         31, 1.88764580228206647E-014
         32, 1.77119574157799275E-014
         33, 1.81573695019148545E-014
         34, 1.79941975962141769E-014
         35, 1.86660871966878429E-014
         36, 4.40720277059283524E-014
         37, 2.51935972970470794E-014
         38, 3.46642464593255080E-014
         39, 5.18557440485505664E-014
         40, 4.64957453160891178E-014
         41, 2.57765021466814975E-014
         42, 3.60292950728629289E-014
         43, 3.54935379843828158E-014
         44, 2.66674776662251487E-014
         45, 3.94301484254779928E-014
         46, 3.18019216183795712E-014
         47, 5.07141801386787282E-014
         48, 2.60117079071963516E-014
         49, 2.84229564847227380E-014
         50, 4.08004211127776757E-014
         51, 2.81226460781460801E-014
         52, 4.32140461725800060E-014
         53, 4.40318043503728738E-014
         54, 4.68376830364907867E-014
         55, 3.37189036212283691E-014
         56, 3.31630697357775561E-014
         57, 4.03895021898432897E-014
         58, 2.30471681018131010E-014
         59, 1.90409462052714843E-014
         60, 2.93208812782312672E-014
         61, 2.10691162167076545E-014
         62, 3.76207454384908837E-014
         63, 2.83264663741827311E-014
         64, 2.94861511959756934E-014
         65, 3.14863111418071715E-014
         66, 3.97744888166940987E-014
         67, 2.55475090389842085E-014
         68, 2.62032255932190822E-014
         69, 3.41594122208801335E-014
         70, 2.07275354510731009E-014
         71, 4.21472027821018514E-014
         72, 1.94728061250455615E-014
         73, 3.38303704124705489E-014
         74, 2.43637257574250140E-014
         75, 3.23212530985841459E-014
         76, 3.67775381837526811E-014
         77, 3.58648480747416324E-014
         78, 2.12898030862062030E-014
         79, 3.67168231126356154E-014
         80, 1.87878747614090149E-014
         81, 2.77330473939973832E-014
         82, 2.14491959934839039E-014
         83, 1.96322748340493837E-014
         84, 2.95972616437399475E-014
         85, 2.61071328525305953E-014
         86, 3.28178004845527348E-014
         87, 3.86252035702508948E-014
         88, 4.02209956422748368E-014
         89, 3.43528322531438881E-014
         90, 1.96467887942289785E-014
         91, 3.18504557424841242E-014
         92, 3.86875102263157598E-014
         93, 3.26316747940973423E-014
         94, 2.65910561416866786E-014
         95, 1.77616202354381815E-014
         96, 1.26528726446638628E-014
         97, 1.73512138916576972E-014
         98, 1.29462085438449527E-014
         99, 4.02252780383174487E-014
        100, 2.72873683336720357E-014
        101, 1.93612860282628678E-014
        102, 1.59984409714003570E-014
        103, 1.45447836892889198E-014
        104, 1.81836912135931266E-014
        105, 2.11010033389310261E-014
        106, 1.72696513583830354E-014
        107, 1.59059193201437191E-014
        108, 1.56857462459810862E-014
        109, 1.49393396864462017E-014
        110, 2.26440428221120991E-014
        111, 3.50408943465146482E-014
        112, 3.16444731839197274E-014
        113, 3.05435780919664657E-014
        114, 4.97746669269560410E-014
        115, 1.78265453938489377E-014
        116, 1.71600302895643678E-014
        117, 1.47351608840905397E-014
        118, 1.98156497953110692E-014
        119, 2.34420918411364057E-014
        120, 2.05828147868154778E-014
        121, 1.68373573791171763E-014
        122, 2.40427596304957718E-014
        123, 3.04363938041735034E-014
        124, 4.78047890230938001E-014
        125, 1.36394996783507405E-014
        126, 1.83717990216807591E-014
        127, 1.47704659071334715E-014
        128, 1.36226612672470460E-014
        129, 1.48119415330648457E-014
        130, 1.92756132098761680E-014
        131, 2.91990454281635707E-014
        132, 3.03350906746231938E-014
        133, 1.31895538329377922E-014
        134, 1.51309871436091963E-014
