         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8386560,  1008, 1.83993807562475464E-001
         2,    8386560,  1008, 1.76013664162546796E-001
         3,    8386560,  1008, 2.10736866266990397E-001
         4,    8386560,  1008, 3.78392590143531271E-001
         5,    8386560,  1008, 2.36004747433278400E-001
         6,    8386560,  1008, 9.59859885878559284E-003
         7,    8385893,  1008, 9.88817514977516051E-004
         8,    8216104,  1008, 3.27275146807879926E-005
         9,    7691038,  1008, 3.30931586787129608E-007
        10,    6648649,  1008, 4.65254668023121562E-010
        11,    2411917,  1008, 2.00738926567348273E-013
        12,     664869,  1008, 4.88206779918258043E-015
        13,     105011,  1008, 3.61908236138368569E-015
        14,       3338,  1008, 3.58831898505145038E-015
        15,         76,  1008, 3.56870549139760710E-015
        16,         10,  1008, 3.55808208894044388E-015
        17,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 9.71264891322772426E-013
          2, 1.82921976458055030E-012
          3, 1.55696711202443752E-012
          4, 1.40707146219564986E-012
          5, 1.25878253010303861E-012
          6, 1.20095599886663218E-012
          7, 1.19740440260346277E-012
          8, 1.45035469369689733E-012
          9, 1.69013676092466406E-012
         10, 1.62145813046118127E-012
         11, 1.53141977594177322E-012
         12, 1.66268942439154134E-012
         13, 1.67274276682040026E-012
         14, 1.67347710513275142E-012
         15, 1.75712145866548424E-012
         16, 1.53350847244994548E-012
         17, 1.56197056925798985E-012
         18, 1.70479719135743073E-012
         19, 1.69855512391009624E-012
         20, 1.60202420763947206E-012
         21, 1.89953723580639881E-012
         22, 1.87856159047100146E-012
         23, 1.83461945762531379E-012
         24, 1.63444923367643469E-012
         25, 1.58103574634926913E-012
         26, 1.84371062693585828E-012
         27, 1.31340267237765325E-012
         28, 1.88668352232648946E-012
         29, 1.79928601018277773E-012
         30, 1.52129168211802713E-012
         31, 1.28222024332114209E-012
         32, 1.70037852606693316E-012
         33, 1.49337644621557258E-012
         34, 1.75534911426104458E-012
         35, 1.56062681565675221E-012
         36, 1.42644078845212465E-012
         37, 1.66791256848141064E-012
         38, 1.75231365249153679E-012
         39, 1.83639074968235097E-012
         40, 1.67808878889955413E-012
         41, 1.77285757210171988E-012
         42, 1.49394694198414808E-012
         43, 1.55745929142428347E-012
         44, 1.82816481682278298E-012
         45, 1.60912744730725001E-012
         46, 1.47044468971104653E-012
         47, 1.56986435172766104E-012
         48, 1.48456945513265700E-012
         49, 1.64446031794512906E-012
         50, 1.41265079045678405E-012
         51, 1.77232972995462206E-012
         52, 1.60680919239428898E-012
         53, 1.51453159788040575E-012
         54, 1.50932493571222894E-012
         55, 1.66036077193695892E-012
         56, 1.17613041801535497E-012
         57, 1.71222417955209460E-012
         58, 1.65997696649640784E-012
         59, 1.88045675960763939E-012
         60, 1.64446256231294581E-012
         61, 1.67255515501553080E-012
         62, 1.80999802037155635E-012
         63, 1.26958531636858919E-012
