         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8386560,  1008, 1.72370716123943390E-001
         2,    8386560,  1008, 3.48046791121939314E-001
         3,    8386560,  1008, 7.03546659375081762E-001
         4,    8386560,  1008, 6.80279482607737740E-001
         5,    8386560,  1008, 8.12371758779617814E-002
         6,    8386560,  1008, 6.26900495451261780E-002
         7,    8386560,  1008, 2.34175588130688984E-002
         8,    8386556,  1008, 7.76734476762336919E-004
         9,    8358268,  1008, 4.96343691938415525E-006
        10,    5024458,  1008, 3.06904204069324763E-009
        11,    1540252,  1008, 3.20942920347901314E-014
        12,     327268,  1008, 3.58411106859322472E-015
        13,      24947,  1008, 3.57062872440767554E-015
        14,        216,  1008, 3.55860280318608946E-015
        15,         29,  1008, 3.55833915894707689E-015
        16,          2,  1008, 3.51769330537910601E-015
        17,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.07349685642019809E-012
          2, 1.05844107802400581E-012
          3, 1.06940925896443393E-012
          4, 1.05054782631382308E-012
          5, 1.11705049205642489E-012
          6, 1.09604762367193427E-012
          7, 1.08107611647828441E-012
          8, 1.06602160252799830E-012
          9, 1.04627574173295363E-012
         10, 1.08501139999899797E-012
         11, 1.08614720477744218E-012
         12, 1.12266011965876357E-012
         13, 1.10264965820330801E-012
         14, 1.00050442282890308E-012
         15, 1.05884246823293575E-012
         16, 1.11963527623403530E-012
         17, 1.09179786974212583E-012
         18, 1.09449529689100365E-012
         19, 1.07622489562267635E-012
         20, 1.06051156094859811E-012
         21, 1.07434746471467765E-012
         22, 1.09543270165753570E-012
         23, 1.04728686568099361E-012
         24, 1.01178375443874881E-012
         25, 1.02049678218106822E-012
         26, 1.04815852689267952E-012
         27, 1.08141035583199423E-012
         28, 1.04350458170997236E-012
         29, 1.11899716796190141E-012
         30, 1.08893424487064910E-012
         31, 1.04526493372079652E-012
         32, 1.01948760450854930E-012
         33, 1.03010124315824874E-012
         34, 1.02960983041661230E-012
         35, 1.09593793745000373E-012
         36, 1.13611213022640227E-012
         37, 1.08925944641223478E-012
         38, 1.12714112632113489E-012
         39, 1.07881501032197326E-012
         40, 1.04442886047288160E-012
         41, 1.03302536689561702E-012
         42, 1.06475788997351559E-012
         43, 1.03051543645168724E-012
         44, 1.13054711458528255E-012
         45, 1.00936971416410322E-012
         46, 1.09551688495243152E-012
         47, 1.07964296342787039E-012
         48, 1.08974070150070592E-012
         49, 1.03943943052928207E-012
         50, 1.06935738612493533E-012
         51, 1.09402301140385073E-012
         52, 1.09468091828247540E-012
         53, 1.09408401744023060E-012
         54, 1.08659130327211412E-012
         55, 1.09007132183254346E-012
         56, 1.06885536528536098E-012
         57, 1.12854431840014423E-012
