         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8386560,  1008, 1.47025833957917795E-001
         2,    8386560,  1008, 1.95776494127729073E-001
         3,    8386560,  1008, 2.04198542554015344E-001
         4,    8386560,  1008, 1.52620259241131706E-001
         5,    8386560,  1008, 1.89819200830104118E-001
         6,    8386560,  1008, 2.52397814785938271E-002
         7,    8386025,  1008, 2.90650463193690024E-003
         8,    7811545,  1008, 1.18366573608980896E-004
         9,    6534966,  1008, 1.25066909225377706E-006
        10,    5155019,  1008, 3.43566487301582119E-009
        11,    1202548,  1008, 9.87184098496318512E-013
        12,     259122,  1008, 3.58118857409043271E-015
        13,      17027,  1008, 3.53468361431643370E-015
        14,        122,  1008, 3.24412903244252547E-015
        15,         15,  1008, 2.88322745618781407E-015
        16,          3,  1008, 7.62914507451312573E-016
        17,          3,  1008, 0.00000000000000000E+000
        18,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.41078702698902467E-014
          2, 1.51744037021985166E-014
          3, 1.03309211876516384E-014
          4, 1.19242920351296043E-014
          5, 1.06090481661433547E-014
          6, 7.29134460933584284E-015
          7, 1.09716606087599520E-014
          8, 1.09734829223378229E-014
          9, 9.43361932190880571E-015
         10, 1.08461893347375789E-014
         11, 1.09370724384568323E-014
         12, 9.01474169966357835E-015
         13, 1.12174208519590641E-014
         14, 1.32514598295326640E-014
         15, 1.22245396489800302E-014
         16, 2.05827530401036363E-014
         17, 1.00931174726090611E-014
         18, 1.27141920643874847E-014
         19, 1.02316825078947205E-014
         20, 1.27305346317880319E-014
         21, 1.01362898811873971E-014
         22, 1.43589282195580883E-014
         23, 1.26312608795078777E-014
         24, 1.34670602435210009E-014
         25, 1.07904754997376124E-014
         26, 1.66848907879972584E-014
         27, 1.47932733159743608E-014
         28, 1.77520194092660763E-014
         29, 1.80445518838416948E-014
         30, 1.15147061576203881E-014
         31, 1.32602746216280128E-014
         32, 1.69343735425433554E-014
         33, 1.21375857436054320E-014
         34, 1.32189194322816981E-014
         35, 1.92425964459243089E-014
         36, 2.04519047858317947E-014
         37, 1.13025974707485193E-014
         38, 1.60995481172714073E-014
         39, 1.18030114311851971E-014
         40, 1.49712261043511943E-014
         41, 1.08360534077742637E-014
         42, 1.84853588462762607E-014
         43, 1.18541974194142973E-014
         44, 1.79003865721527063E-014
         45, 1.42846031927240594E-014
         46, 1.13611451850062885E-014
         47, 1.04375612940343322E-014
         48, 1.02877662744022724E-014
         49, 1.43504778410269352E-014
         50, 1.41325560538449390E-014
         51, 9.53391271699940726E-015
         52, 1.25490831983548055E-014
         53, 1.68690202665013637E-014
         54, 1.49357185792388422E-014
         55, 9.90919390446955857E-015
         56, 8.57950453488864898E-015
         57, 1.60002151041659306E-014
         58, 9.12190217422692477E-015
         59, 1.27479127915186310E-014
         60, 1.01881826962120123E-014
         61, 8.85352307123344376E-015
         62, 1.06155866275028474E-014
         63, 1.32835508101356455E-014
         64, 9.66832108425185999E-015
         65, 1.27082003070384513E-014
         66, 1.40634737901655581E-014
         67, 1.53801963293586506E-014
         68, 1.43641323621827361E-014
         69, 1.19354049892266084E-014
         70, 1.61749273291582286E-014
         71, 1.06852137084437873E-014
         72, 1.30202588365599260E-014
         73, 9.55306061578490058E-015
         74, 1.69365679717745893E-014
         75, 1.02012790818038568E-014
         76, 1.11982034147810483E-014
         77, 9.44402851426230937E-015
         78, 1.51277902768974996E-014
         79, 1.32990380853532389E-014
         80, 1.43187399482522349E-014
         81, 1.38110563769301737E-014
         82, 1.43814066210554077E-014
         83, 1.02142159696573390E-014
         84, 1.04192225627188888E-014
         85, 1.10578042244833805E-014
         86, 1.14029522626248582E-014
         87, 1.25431673702219132E-014
         88, 1.04050152004720036E-014
         89, 1.36610585204085548E-014
         90, 9.48640791308326190E-015
         91, 9.47857180425457554E-015
         92, 1.09269168389526233E-014
         93, 9.71400027657401616E-015
         94, 1.37336048688636045E-014
         95, 1.24149853373311063E-014
         96, 1.10047464283029593E-014
         97, 1.18852929028460561E-014
         98, 9.83127361896282486E-015
         99, 1.46418739798155816E-014
        100, 1.33032275595833776E-014
        101, 1.44956765163503006E-014
        102, 1.04331557684136489E-014
        103, 9.90194622693196275E-015
        104, 1.04906383830830782E-014
        105, 1.14355543604444949E-014
        106, 1.55641901631692252E-014
        107, 1.18050891076652727E-014
        108, 1.03460399261198437E-014
        109, 1.04319285863374523E-014
        110, 9.33376339725569393E-015
        111, 1.11266755889543802E-014
        112, 1.02687227403374097E-014
        113, 1.14298934031808104E-014
        114, 1.09326156712817267E-014
        115, 1.29000452421805917E-014
        116, 1.08467165038884835E-014
        117, 1.08053323277536472E-014
        118, 1.01318116371310034E-014
        119, 1.31497705509500692E-014
        120, 1.11094964510530633E-014
        121, 1.06297846928037478E-014
        122, 1.59320901835501428E-014
        123, 1.08934690215629591E-014
        124, 1.05229461825950339E-014
        125, 1.01085856387751558E-014
        126, 1.02260631834569476E-014
        127, 1.24273974558810831E-014
        128, 1.33014480694915338E-014
        129, 1.12541488797225816E-014
        130, 1.27384201967074634E-014
        131, 1.52259276172352947E-014
        132, 2.09043036941136330E-014
        133, 1.25809658624224638E-014
        134, 1.12514508345640464E-014
        135, 1.20066074578346456E-014
        136, 1.18840320706494569E-014
        137, 1.59304597392130739E-014
        138, 1.30117025009553113E-014
        139, 1.12045261556566342E-014
        140, 1.22938310366944758E-014
        141, 1.38656332651017045E-014
        142, 1.25459010718773758E-014
        143, 1.09939365497017715E-014
        144, 1.26919981542021775E-014
        145, 1.14577785207994412E-014
        146, 1.23904758964637425E-014
        147, 1.44843406265247818E-014
        148, 1.23834287996021817E-014
        149, 1.03461053617891543E-014
        150, 1.11200242340394487E-014
        151, 1.36409085656653794E-014
        152, 1.61632747876233636E-014
        153, 1.43029947975639187E-014
        154, 1.19717477125614496E-014
        155, 1.18654067997767960E-014
        156, 1.28215372760299961E-014
        157, 1.29330688444184458E-014
        158, 1.23741381078337011E-014
        159, 1.15329558412826487E-014
        160, 1.17248383709836410E-014
        161, 1.57126086188592793E-014
        162, 1.13197662536948655E-014
        163, 1.26291100383441145E-014
        164, 1.33749597340650041E-014
        165, 1.27705623270069546E-014
        166, 9.70741950986773442E-015
        167, 1.21527316727073575E-014
        168, 1.06465148540685125E-014
        169, 1.22953364182386777E-014
        170, 1.02211381375621672E-014
        171, 1.12150886969660528E-014
        172, 1.29265039435554653E-014
        173, 1.15086794543205367E-014
        174, 1.29021524549203238E-014
        175, 1.19192674930889732E-014
        176, 1.29223471100628726E-014
        177, 1.83530393929835972E-014
        178, 1.36037353600521276E-014
        179, 1.29102015540965314E-014
        180, 1.84810399094848465E-014
        181, 1.54062981297231191E-014
        182, 1.61374463540926280E-014
        183, 1.52052914990884944E-014
        184, 1.19069177925848694E-014
        185, 1.16780350119418214E-014
        186, 1.37650028482514580E-014
        187, 1.04638977996092905E-014
        188, 1.56057832431898770E-014
        189, 1.08801620558278292E-014
        190, 1.50726490606537845E-014
        191, 1.43027548694767808E-014
        192, 1.79124206059850395E-014
        193, 2.14055988298791015E-014
        194, 1.40412090628565847E-014
        195, 1.80858486832271902E-014
        196, 1.58640750712218112E-014
        197, 1.32687182855371475E-014
        198, 1.55388537293739116E-014
        199, 1.54717236736523659E-014
        200, 1.58591848331648735E-014
        201, 1.53815841286210398E-014
        202, 1.16902847338563823E-014
        203, 1.38346275327972844E-014
        204, 1.37197265880780532E-014
        205, 1.23884395568897280E-014
        206, 1.97414809830959869E-014
        207, 1.50030013605622858E-014
        208, 1.40143761384099320E-014
        209, 1.28491021606400558E-014
        210, 1.56242553284366067E-014
        211, 1.30963316869729782E-014
        212, 1.75626592903972505E-014
        213, 1.78096181529211105E-014
        214, 1.47034887412272653E-014
        215, 1.69975446273131639E-014
        216, 1.38628372193864863E-014
        217, 1.60823829366384234E-014
        218, 1.51729177631549814E-014
        219, 1.87392983316685001E-014
        220, 1.33833800959612114E-014
        221, 1.69436963516940917E-014
        222, 1.50672024334257605E-014
        223, 1.84296057180665257E-014
        224, 1.80851330980261224E-014
        225, 2.01641027785003619E-014
        226, 1.77812056521420951E-014
        227, 1.46923858841382141E-014
        228, 1.43373821323248755E-014
        229, 1.83479756511372459E-014
        230, 1.95497621517404350E-014
        231, 1.65763890685485832E-014
        232, 1.73915044611813786E-014
        233, 1.80612835925668698E-014
        234, 1.82184296988528438E-014
        235, 1.56831602034620310E-014
        236, 1.60434801341465496E-014
        237, 1.46679412379265868E-014
        238, 1.66995329784967432E-014
        239, 1.71404948936040097E-014
        240, 1.68246953990872389E-014
        241, 2.53446287188441662E-014
        242, 1.99588902695260874E-014
        243, 1.81136454844987677E-014
        244, 1.73355488739803145E-014
        245, 1.86419792172985050E-014
        246, 2.06566396632511573E-014
        247, 1.70596426266982873E-014
        248, 1.65952930898398425E-014
        249, 2.71547686283626288E-014
        250, 2.14488823996766415E-014
        251, 1.77596551310705872E-014
        252, 1.93222593823978850E-014
        253, 2.08627113942652241E-014
        254, 1.55280560049262605E-014
        255, 1.94405397834404853E-014
        256, 1.94570416599715908E-014
        257, 1.82168732401434953E-014
        258, 1.69093100043487837E-014
        259, 1.76774925634224986E-014
        260, 1.78123144174593710E-014
        261, 1.90208403127440740E-014
        262, 1.64787273498488195E-014
        263, 1.80715942469729773E-014
        264, 1.73071856719074194E-014
        265, 1.77003295290137459E-014
        266, 1.87350517840784001E-014
        267, 1.75493434460861438E-014
        268, 1.97606992278534948E-014
        269, 2.08803535210462957E-014
        270, 1.92915211913446147E-014
        271, 2.03793098308239939E-014
        272, 1.94534195728776287E-014
        273, 1.84074983123611882E-014
        274, 1.99587281473047032E-014
        275, 1.95031258758375228E-014
        276, 2.13918154496343194E-014
        277, 2.01666478672929733E-014
        278, 2.22485038691167340E-014
        279, 1.90366806630732836E-014
        280, 2.48283097371288506E-014
        281, 1.83601118551039053E-014
        282, 1.79198160856400771E-014
        283, 1.88509957741697093E-014
        284, 1.89716334197721955E-014
        285, 1.79969850746414879E-014
        286, 2.04563998728208767E-014
        287, 2.05144990690408194E-014
        288, 2.24519414777187932E-014
        289, 2.02493818699237816E-014
        290, 1.98469650230966727E-014
        291, 2.21878596525825981E-014
        292, 2.10938013466053109E-014
        293, 1.99404417292105040E-014
        294, 2.13733856232253880E-014
        295, 2.09394909972262866E-014
        296, 1.73244613341370884E-014
        297, 2.00623933032547801E-014
        298, 2.43929311084699174E-014
        299, 2.11187972678082317E-014
        300, 1.99838888085512530E-014
        301, 1.90034584324690542E-014
