         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8386560,  1008, 2.86323664238914144E-001
         2,    8386560,  1008, 9.93758524522037473E-002
         3,    8386560,  1008, 1.31986637500643045E-001
         4,    8386560,  1008, 1.57567345641959844E-001
         5,    8386560,  1008, 8.44109012707887907E-002
         6,    8386558,  1008, 5.53088375585994788E-003
         7,    8331460,  1008, 2.35231201052414732E-004
         8,    6740808,  1008, 2.74945469199276599E-006
         9,    5186431,  1008, 1.51446239464577175E-008
        10,    2998462,  1008, 1.49753443132627687E-011
        11,     688204,  1008, 3.60085532150136950E-015
        12,     204719,  1008, 3.56434876241210300E-015
        13,      18792,  1008, 3.48409920203923157E-015
        14,        184,  1008, 3.55459144040719558E-015
        15,          5,  1008, 1.86241686557255393E-016
        16,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 6.72996997440892153E-013
          2, 7.46461180141400979E-013
          3, 7.97646040304996492E-013
          4, 8.74434336177293995E-013
          5, 8.93778600976098825E-013
          6, 7.12654263224650540E-013
          7, 9.09525244976850963E-013
          8, 8.42847371749580139E-013
          9, 8.22217280750989815E-013
         10, 7.32817702715233676E-013
         11, 8.10990577812224644E-013
         12, 8.28360560775078651E-013
         13, 7.72786998248199450E-013
         14, 7.47940240061776719E-013
         15, 8.95588077934715567E-013
         16, 8.51899578469984796E-013
         17, 8.19415074288667022E-013
         18, 8.00257923152409282E-013
         19, 8.53903441533318320E-013
         20, 8.00176588030372597E-013
         21, 9.36952223078335676E-013
         22, 8.98048841507165134E-013
         23, 9.60137937546405122E-013
         24, 9.40178312609374011E-013
         25, 1.03844376292842616E-012
         26, 9.01083767406122601E-013
         27, 8.95807756059930934E-013
         28, 8.38258945181134037E-013
         29, 9.59690076429658264E-013
         30, 8.90490600670863286E-013
         31, 9.90550782491175524E-013
         32, 8.88658185386327288E-013
         33, 8.86432506732163017E-013
         34, 9.76266545815839619E-013
         35, 1.04146379124578951E-012
         36, 8.60126419425709266E-013
         37, 9.41572115418089439E-013
         38, 8.55430648307407514E-013
         39, 9.92309918560807268E-013
         40, 8.89810708392713054E-013
         41, 8.39093381238294309E-013
         42, 8.47313371904721229E-013
         43, 8.87621851022259594E-013
         44, 9.38703561351563587E-013
         45, 8.81195357614286863E-013
         46, 8.28738601490330220E-013
         47, 7.70751143679810894E-013
         48, 1.08556560824213170E-012
         49, 9.85720049729194268E-013
         50, 9.53309457462004171E-013
         51, 8.87703245746480479E-013
         52, 8.75136126283332683E-013
         53, 8.39434051341262967E-013
         54, 1.06862635413340574E-012
         55, 9.31722430449739292E-013
         56, 8.91671172822969223E-013
         57, 9.58953244180906697E-013
         58, 9.32096765975035418E-013
         59, 8.87935416194705531E-013
         60, 7.92812899130560666E-013
