         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8386560,  1008, 1.72370716122261625E-001
         2,    8386560,  1008, 3.81693794820847865E-001
         3,    8386560,  1008, 7.78962129373389489E-001
         4,    8386560,  1008, 7.50743587017589475E-001
         5,    8386560,  1008, 8.60715129124624972E-002
         6,    8386560,  1008, 6.39204682363793686E-002
         7,    8386560,  1008, 1.31427123218710862E-002
         8,    8386545,  1008, 5.29009744425472210E-004
         9,    8348222,  1008, 7.21704872536851538E-006
        10,    4874349,  1008, 1.87583474111083630E-009
        11,    1516367,  1008, 6.08716546849555774E-015
        12,     323025,  1008, 3.67260121569274327E-015
        13,      26370,  1008, 3.56840367925034577E-015
        14,        287,  1008, 3.55825783617148995E-015
        15,         43,  1008, 3.55756547192623501E-015
        16,          6,  1008, 3.28606400754874220E-015
        17,          1,  1008, 0.00000000000000000E+000
        18,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.09440508559016656E-012
          2, 1.01427947009204086E-012
          3, 1.03039089448127020E-012
          4, 1.08042205781014779E-012
          5, 1.01113645916838958E-012
          6, 1.03326339938033885E-012
          7, 1.04296237236250512E-012
          8, 1.14859515268860255E-012
          9, 1.09082621867705437E-012
         10, 1.16410206044932782E-012
         11, 1.08361727817654160E-012
         12, 1.07736425645896590E-012
         13, 1.02730798640769391E-012
         14, 1.05036049074394312E-012
         15, 1.05239092694345282E-012
         16, 1.19945165099030144E-012
         17, 1.14854193072570742E-012
         18, 1.00204250812437801E-012
         19, 1.04840762624746047E-012
         20, 1.05179874942511342E-012
         21, 1.17235500452576828E-012
         22, 1.06452525655086796E-012
         23, 1.04346953403120874E-012
         24, 1.03294169560551375E-012
         25, 1.09370397741021624E-012
         26, 1.04136236243129561E-012
         27, 1.02696853597414861E-012
         28, 1.01574529073104067E-012
         29, 1.06613463945701530E-012
         30, 1.05673936423844893E-012
         31, 1.00941260620135520E-012
         32, 9.68867262430641557E-013
         33, 1.09331923722882995E-012
         34, 1.04698115872261401E-012
         35, 1.09888770412398696E-012
         36, 9.82718437697968780E-013
         37, 1.11668881372333579E-012
         38, 1.15626690084936213E-012
         39, 9.81105788249136484E-013
         40, 1.08659916106892135E-012
         41, 9.80120855956665071E-013
         42, 1.06467939908591122E-012
         43, 1.03568418234418696E-012
         44, 1.02540015961154280E-012
         45, 1.05847165476662523E-012
         46, 1.00741247735682887E-012
         47, 1.08399458585770068E-012
         48, 1.02609730058407544E-012
         49, 1.18499191045422975E-012
         50, 1.10073321927548157E-012
         51, 1.11097275420224052E-012
         52, 1.06733776996895110E-012
         53, 1.07702455510806969E-012
         54, 1.05558013549916229E-012
         55, 1.04217123656112971E-012
         56, 1.05677287798629770E-012
         57, 1.11953700509286316E-012
         58, 1.11524935471175057E-012
         59, 1.06211054970730501E-012
         60, 1.03383643329826431E-012
         61, 1.10086498396142077E-012
         62, 1.08115610835090707E-012
         63, 1.15338120936378406E-012
         64, 1.08152159681418025E-012
         65, 1.17954053568374397E-012
         66, 1.09370362480492022E-012
         67, 9.77535573440134025E-013
         68, 1.06010095860814798E-012
         69, 1.12456568790590441E-012
         70, 1.09229551796398792E-012
         71, 1.06214254380539042E-012
         72, 9.91421715061933665E-013
         73, 1.04327039077629083E-012
         74, 1.04931983512994289E-012
         75, 1.08282367557722073E-012
         76, 1.05043882863812799E-012
         77, 1.09536871154803514E-012
         78, 1.05245530941690385E-012
         79, 1.09634214913049482E-012
         80, 1.08322344814643312E-012
         81, 1.02085164591364233E-012
         82, 1.12705949487511180E-012
         83, 1.06167668542916231E-012
         84, 1.09777733772188218E-012
         85, 1.03925367066368350E-012
         86, 1.13177654032350980E-012
         87, 1.07521191748979449E-012
         88, 1.09250234720191596E-012
         89, 1.22226583372313333E-012
         90, 1.02883888263727019E-012
         91, 1.10540037616402985E-012
         92, 1.12258822523607419E-012
         93, 1.09790150738970974E-012
         94, 1.02707473385771949E-012
         95, 1.04088202244307574E-012
         96, 1.15263872338950065E-012
         97, 1.16736957608561060E-012
         98, 1.10666310164371453E-012
         99, 1.07515721857723239E-012
        100, 1.12240615376071977E-012
        101, 1.15556043957590529E-012
        102, 1.12213681408259935E-012
        103, 1.12693353678609158E-012
        104, 1.07259491227342540E-012
        105, 1.13831994433936024E-012
        106, 1.08454170428099764E-012
        107, 1.01577428147632404E-012
        108, 1.03882887338618464E-012
        109, 1.02978017850824179E-012
        110, 1.05060023898419257E-012
        111, 1.03989151429778335E-012
        112, 1.17180520898154334E-012
        113, 1.07855250438626365E-012
        114, 1.04896771664062180E-012
        115, 1.07683158367243323E-012
        116, 1.11647928599101889E-012
        117, 1.06187781665714224E-012
        118, 1.03896152811839065E-012
        119, 1.12071406062460656E-012
        120, 1.05850519459924545E-012
        121, 1.06424342944463881E-012
        122, 1.04419916710487656E-012
        123, 1.02334652448515468E-012
        124, 1.09856101489693586E-012
        125, 1.05397226020058683E-012
        126, 1.10638469835692028E-012
        127, 1.06088310397182907E-012
        128, 1.06339691494688863E-012
        129, 1.05368496053471443E-012
        130, 1.07427184108137204E-012
        131, 1.12081383420485468E-012
        132, 1.12419627642522782E-012
        133, 1.11327616701205990E-012
        134, 1.08253597382258842E-012
        135, 1.08284448516188335E-012
        136, 1.03828161361685702E-012
        137, 1.11593871902881162E-012
        138, 1.04897692770853171E-012
        139, 1.07351278952685254E-012
        140, 1.05679851998295093E-012
        141, 1.10780453528136486E-012
        142, 1.12521647843778717E-012
        143, 1.05174981496453690E-012
        144, 1.09891759876744106E-012
        145, 1.06539320638313246E-012
        146, 1.10789603743850014E-012
        147, 1.15753358048684234E-012
        148, 1.03002722474508723E-012
        149, 1.05548623198437525E-012
        150, 9.82094451259637597E-013
        151, 1.06678683259123310E-012
        152, 1.04422223460448541E-012
        153, 1.08314441993283929E-012
        154, 1.01351822860266368E-012
        155, 1.16734630985011576E-012
        156, 1.03879215470433779E-012
        157, 1.15722147792757377E-012
        158, 1.15368108330788138E-012
        159, 1.14102610676969077E-012
        160, 1.14647342455516042E-012
        161, 1.15705799912021463E-012
        162, 1.13057014887103395E-012
        163, 1.20717943404521574E-012
        164, 1.03970472658703668E-012
        165, 1.07898944713707814E-012
        166, 1.04253127823311654E-012
        167, 1.06047267887394546E-012
        168, 1.10246009116604830E-012
        169, 1.16628303141121731E-012
        170, 1.08323735357735705E-012
        171, 1.04345328840996071E-012
        172, 1.04615849337427481E-012
        173, 1.09828551147638236E-012
        174, 1.10620167512120380E-012
        175, 1.08741018481970562E-012
        176, 1.13006424617058933E-012
        177, 1.16308949622803476E-012
        178, 1.10860673174012530E-012
        179, 1.16384599930756647E-012
        180, 1.16965494258798733E-012
        181, 1.07261719042733516E-012
        182, 9.81771298995856969E-013
        183, 1.12137241551537754E-012
