         0, 2147483647,  1012, 5.25437631102797436E+304
         1,     131312,  1012, 3.30454081467353666E-001
         2,     131272,  1012, 7.29692470210622224E-001
         3,     131250,  1012, 5.37070258840153136E-001
         4,     131125,  1012, 4.64401220211605389E-002
         5,     130923,  1012, 2.67597653360680549E-003
         6,     130837,  1012, 2.49236255223933347E-005
         7,     130805,  1012, 1.06936969077414225E-007
         8,     113057,  1012, 1.07969024073194778E-010
         9,      22187,  1012, 7.46789235013109085E-015
        10,       3715,  1012, 9.90293597391181872E-016
        11,        106,  1012, 0.00000000000000000E+000
        12,          0,  1012, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 5.10526457621872945E-014
          2, 6.14654255971912692E-014
          3, 6.80453381134580816E-014
          4, 5.33952923769930487E-014
          5, 8.09507444189408565E-014
          6, 5.52312881721897218E-014
          7, 6.64874227656031144E-014
          8, 5.93302934509142587E-014
          9, 6.60393524336670737E-014
         10, 5.53057867792217141E-014
         11, 7.10840004747257999E-014
         12, 6.59846909062036633E-014
         13, 6.30351013506194471E-014
         14, 5.86299571270574210E-014
         15, 5.24933337250644475E-014
         16, 6.10082803803620625E-014
         17, 6.35536297579315760E-014
         18, 6.97750635383267527E-014
         19, 6.08261276296635124E-014
         20, 5.39830380014763276E-014
         21, 4.89953865625206790E-014
         22, 7.29234759657701000E-014
         23, 4.84283398766160620E-014
         24, 5.28712575878677930E-014
         25, 4.84632822603329388E-014
         26, 6.36571113193280543E-014
         27, 5.81584842982271581E-014
         28, 5.61330203636279669E-014
         29, 6.14540454831653801E-014
         30, 6.89069461177719735E-014
         31, 5.23134119170388412E-014
         32, 5.31791076387054194E-014
         33, 5.82632046692145357E-014
         34, 6.65111442677864905E-014
         35, 7.47658172406334571E-014
         36, 6.77912162628117774E-014
         37, 6.64590396943281604E-014
         38, 6.53192041385680353E-014
         39, 6.32296995427943974E-014
         40, 7.60881055544278157E-014
         41, 8.05880710486679348E-014
         42, 6.68027608043877941E-014
         43, 7.34912628813335134E-014
         44, 6.48552594341795783E-014
         45, 7.38785370226056626E-014
         46, 6.14061970478462538E-014
         47, 7.07931908001452012E-014
         48, 5.45357391409751969E-014
         49, 5.98367121755483088E-014
         50, 6.96701016987717739E-014
         51, 7.08669092538198205E-014
         52, 6.32024496050808060E-014
         53, 6.30171033779964765E-014
         54, 6.33175142272169773E-014
         55, 6.57588290494363019E-014
         56, 7.80970234771993821E-014
         57, 6.35388077459426879E-014
         58, 7.85451163861707501E-014
         59, 7.63426045578801643E-014
         60, 7.82419199681508938E-014
         61, 6.44204109040736810E-014
         62, 7.96660968540393563E-014
         63, 7.67019632814116988E-014
         64, 7.84184652637280025E-014
         65, 7.88651443464117189E-014
         66, 7.19427696025299343E-014
         67, 6.68306102792888023E-014
         68, 7.11341756175811739E-014
         69, 7.56433101752472713E-014
         70, 6.10745815851286031E-014
         71, 7.66388506314224006E-014
         72, 7.33309758987793918E-014
         73, 5.91408706656882350E-014
         74, 9.82231113281057399E-014
         75, 7.33981793011556414E-014
         76, 7.89133804038472292E-014
         77, 7.88012444637144077E-014
         78, 7.08836396023966331E-014
         79, 7.76918938322005335E-014
         80, 5.38757853359491785E-014
         81, 7.09315931640062813E-014
         82, 8.19142126111914310E-014
         83, 9.33773610521891859E-014
         84, 8.11153150608259754E-014
         85, 7.02109317189991699E-014
         86, 6.81098435265700905E-014
         87, 6.86259373925539856E-014
         88, 7.28957783818256546E-014
         89, 7.89507196878651109E-014
         90, 8.17543103881049358E-014
         91, 9.09101364760537280E-014
         92, 7.59720028935768352E-014
         93, 7.75289138607747390E-014
         94, 6.39217314016990719E-014
         95, 7.02836261754196512E-014
         96, 8.65422607817183439E-014
         97, 8.11950251734920364E-014
         98, 7.89827648030002359E-014
         99, 7.62657169939872715E-014
        100, 6.34652636366812376E-014
        101, 7.71465808638071106E-014
        102, 6.56418693087042151E-014
        103, 9.03546100727690275E-014
        104, 1.01490197957315210E-013
        105, 8.46902838342754977E-014
        106, 8.92033915464196927E-014
        107, 8.01403183529778751E-014
        108, 8.59200445614784828E-014
        109, 8.29706319017131427E-014
        110, 8.41070976064254547E-014
        111, 1.04342442281644121E-013
