         0, 2147483647,  1012, 5.25437631102797436E+304
         1,     130816,  1012, 3.11493134052591825E-001
         2,     130816,  1012, 6.37455213418683164E-001
         3,     130816,  1012, 4.42831591878295461E-001
         4,     130816,  1012, 1.12538793094750331E-001
         5,     130816,  1012, 4.33712219532170137E-002
         6,     130816,  1012, 3.41274570442482968E-003
         7,     130816,  1012, 6.22082322088588559E-005
         8,     129786,  1012, 4.99305864242713844E-008
         9,      43606,  1012, 4.12923779041201868E-013
        10,       9867,  1012, 1.28443561833882008E-015
        11,         97,  1012, 1.25911719634136188E-015
        12,          2,  1012, 0.00000000000000000E+000
        13,          0,  1012, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 5.03324449627096175E-014
          2, 7.52664007085535103E-014
          3, 6.11996449090434302E-014
          4, 6.29106210566179503E-014
          5, 5.47612028645788322E-014
          6, 6.37397005105573841E-014
          7, 5.96634952541765911E-014
          8, 6.38861873118865007E-014
          9, 6.17848468396549912E-014
         10, 5.09415420938326084E-014
         11, 5.88886910627053206E-014
         12, 5.94425547757681031E-014
         13, 5.42826822391216507E-014
         14, 6.51830140921952025E-014
         15, 4.59337399760070180E-014
         16, 7.29986431449562737E-014
         17, 6.19562066237617558E-014
         18, 7.47242117096533397E-014
         19, 5.57798265176409427E-014
         20, 5.61764111723243324E-014
         21, 5.92066614921789735E-014
         22, 7.58279033333407321E-014
         23, 5.69572059992707162E-014
         24, 6.14020877495145857E-014
         25, 6.11712998010733485E-014
         26, 5.87871520697268754E-014
         27, 7.61660665104370370E-014
         28, 5.73521977143345447E-014
         29, 5.97156325818947657E-014
         30, 6.37996289459512904E-014
         31, 6.53656102708162879E-014
         32, 7.08931458131127960E-014
         33, 5.95098727551195711E-014
         34, 7.00947313803934944E-014
         35, 5.95015190062743188E-014
         36, 6.77132414403073713E-014
         37, 6.79681420269660864E-014
         38, 7.70933125171526724E-014
         39, 7.18113368439084378E-014
         40, 7.05162238071026925E-014
         41, 6.67779897887849312E-014
         42, 7.07156514420760304E-014
         43, 6.78434227013577718E-014
         44, 7.63160193304527987E-014
         45, 6.28089220963388029E-014
         46, 6.75960438389570654E-014
         47, 6.64040330461538402E-014
         48, 6.19024092218362396E-014
         49, 6.96487490151140099E-014
         50, 6.65071647406650552E-014
         51, 7.82097599189098142E-014
         52, 8.40409134724987095E-014
         53, 7.34977670903528658E-014
         54, 5.56904361434596166E-014
         55, 7.28123599457292717E-014
         56, 6.96582189091607627E-014
         57, 6.97109125340901855E-014
         58, 6.20887091403326146E-014
         59, 7.21579130451746646E-014
         60, 7.18939135390803484E-014
         61, 7.71079794526190324E-014
         62, 7.65451485206523774E-014
         63, 7.66548603810579754E-014
         64, 7.27012766700048540E-014
         65, 6.95081096895674926E-014
         66, 7.89409434963728931E-014
         67, 7.32099889846396223E-014
         68, 6.63265300272475584E-014
         69, 7.16573151685838589E-014
         70, 7.60309312890616405E-014
         71, 7.37382481699995722E-014
         72, 7.51782705867288512E-014
         73, 7.26829185732612101E-014
         74, 7.73861352038280964E-014
         75, 6.56156040213413743E-014
         76, 8.96263490888427521E-014
         77, 8.72092348645072266E-014
         78, 7.42134974323743229E-014
         79, 7.13439285162703492E-014
         80, 7.91086511873945896E-014
         81, 9.29384274734448738E-014
         82, 1.00404027338571938E-013
         83, 8.05881704559331681E-014
         84, 9.82412229098219845E-014
         85, 7.22264411453591349E-014
         86, 7.54631628609039995E-014
         87, 8.75358576122774648E-014
         88, 7.47991408494168195E-014
         89, 8.52194378859185983E-014
         90, 7.60953400639544856E-014
         91, 9.03783067000340734E-014
         92, 8.12039892860090613E-014
         93, 6.46256605642720006E-014
         94, 7.45525289868627025E-014
         95, 7.70891271477425425E-014
         96, 7.27033578345816964E-014
         97, 7.89538732031832027E-014
         98, 8.57701013237738199E-014
