         0, 2147483647,  1012, 5.25437631102797436E+304
         1,     131312,  1012, 3.30454081467355332E-001
         2,     131272,  1012, 7.29692470210665411E-001
         3,     131250,  1012, 5.37070258840173231E-001
         4,     131125,  1012, 4.64401220158320444E-002
         5,     130923,  1012, 2.67597653453566231E-003
         6,     130837,  1012, 2.49236255147425469E-005
         7,     130805,  1012, 1.06936969125943734E-007
         8,     113050,  1012, 1.07969011975637077E-010
         9,      22195,  1012, 7.48335336311512552E-015
        10,       3710,  1012, 1.26282890692683699E-015
        11,        105,  1012, 0.00000000000000000E+000
        12,          1,  1012, 0.00000000000000000E+000
        13,          0,  1012, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 5.70546232304142052E-014
          2, 5.74212408603176810E-014
          3, 5.64912951808996907E-014
          4, 6.67862195895519452E-014
          5, 7.08192597329488636E-014
          6, 6.30275506481220960E-014
          7, 7.32492516676234407E-014
          8, 6.12921112501741743E-014
          9, 7.15301623713498545E-014
         10, 5.38393198535234332E-014
         11, 7.12491276691120331E-014
         12, 6.61748046302450249E-014
         13, 6.96254844008653941E-014
         14, 6.11882554507328006E-014
         15, 5.97202339416811594E-014
         16, 6.41946091911945001E-014
         17, 5.79538094078263180E-014
         18, 6.22373942785219182E-014
         19, 5.57206381613517416E-014
         20, 6.63428764939618512E-014
         21, 4.66193042875983967E-014
         22, 7.69097405220358291E-014
         23, 6.49451440265801638E-014
         24, 6.39003144977179843E-014
         25, 5.33851887795014701E-014
         26, 6.08414707130317167E-014
         27, 5.93715809052460446E-014
         28, 5.43263291900098579E-014
         29, 6.22575823799573015E-014
         30, 6.73471443401586096E-014
         31, 6.16938067856691074E-014
         32, 5.70504997747482458E-014
         33, 5.93651236416853014E-014
         34, 5.24799901208632625E-014
         35, 6.57901490625044738E-014
         36, 6.87615762969129527E-014
         37, 8.95373893878598844E-014
         38, 7.11560025018039483E-014
         39, 7.37569312636249923E-014
         40, 8.25958748609129053E-014
         41, 6.66621285833914284E-014
         42, 9.20544790610715582E-014
         43, 5.44761805395292535E-014
         44, 6.00262230529401170E-014
         45, 7.21611145845006376E-014
         46, 6.95087492551733575E-014
         47, 7.21562600631045526E-014
         48, 7.18201964280228571E-014
         49, 6.27626131029493824E-014
         50, 7.04249913120805010E-014
         51, 6.39198567263675664E-014
         52, 6.51949824097355503E-014
         53, 7.32372914888373632E-014
         54, 5.94605644856239653E-014
         55, 5.58474746184978955E-014
         56, 6.45171944292912253E-014
         57, 7.11977407699354556E-014
         58, 8.25813701701820291E-014
         59, 6.27536167711501226E-014
         60, 7.63361222907580342E-014
         61, 7.28086730501740654E-014
         62, 6.40489430394881019E-014
         63, 7.69382126709576075E-014
         64, 7.28092516736870081E-014
         65, 6.28370413494707924E-014
         66, 7.52683372132133322E-014
         67, 7.15207010659011507E-014
         68, 7.83185439809151430E-014
         69, 6.87056526819900989E-014
         70, 7.81803647968557504E-014
         71, 7.47463116287774613E-014
         72, 8.54597075844195412E-014
         73, 6.29421213651197115E-014
         74, 6.19360428573444623E-014
         75, 6.81639795226725596E-014
         76, 6.88328726184599658E-014
         77, 8.01521891298056056E-014
         78, 6.93789575601343667E-014
         79, 8.90201675160345575E-014
         80, 6.81027111976248842E-014
         81, 7.07511933392547643E-014
         82, 6.72433428709245561E-014
         83, 7.40595886297520787E-014
         84, 7.59474567097279687E-014
         85, 6.76157800393796674E-014
         86, 6.90110922452847936E-014
         87, 6.98665584974745290E-014
         88, 7.36214323034749548E-014
         89, 7.28641715117711314E-014
         90, 8.11897357827858017E-014
         91, 9.15281701065395942E-014
         92, 7.64826426618828218E-014
         93, 6.48250255292968451E-014
         94, 7.58752544384396237E-014
         95, 5.73323274506690639E-014
         96, 8.17514754631104105E-014
         97, 7.31966296550441841E-014
         98, 7.93890142553903140E-014
         99, 6.88730943653110462E-014
        100, 7.64560079951182976E-014
        101, 7.94770369744592109E-014
        102, 6.81102649309225137E-014
        103, 8.39931092854218843E-014
        104, 9.20594797918373344E-014
        105, 7.65494389660033067E-014
        106, 9.23359140163535959E-014
        107, 8.52307164652846302E-014
        108, 8.75353507166126970E-014
        109, 8.34126057686321254E-014
        110, 8.84221043361508258E-014
        111, 9.08374629724279263E-014
        112, 7.40310295017252155E-014
        113, 7.33750857221229510E-014
        114, 8.59690072715489654E-014
        115, 1.01163448121699761E-013
        116, 8.57979256926341365E-014
        117, 7.64734817434489212E-014
        118, 9.38066924959664017E-014
        119, 8.57925501300302541E-014
        120, 9.85181414286882139E-014
        121, 7.87102441766356692E-014
        122, 8.02135539349457813E-014
        123, 9.26181986440949927E-014
        124, 9.12275909593267021E-014
        125, 9.88988523764632227E-014
        126, 7.28897068347117051E-014
        127, 9.06942910125764057E-014
        128, 8.22202000835485148E-014
        129, 7.82157478948013867E-014
        130, 1.13138593669321208E-013
        131, 7.37874276507057099E-014
        132, 9.76836784316742551E-014
        133, 8.48372259339629159E-014
        134, 9.36935065715771105E-014
        135, 9.03333564482720839E-014
        136, 9.18058345474093834E-014
        137, 8.77775679910173373E-014
        138, 9.71090310464443246E-014
        139, 8.98576051996615696E-014
        140, 1.04177493650395932E-013
        141, 9.04723643519917763E-014
        142, 7.90521001765236718E-014
        143, 1.09344067007614108E-013
        144, 1.00374899340192568E-013
        145, 9.46816360949235466E-014
        146, 9.73999935905658497E-014
        147, 8.75918109860950497E-014
        148, 9.12839422243608266E-014
        149, 9.37343417434946785E-014
        150, 1.03258627968651274E-013
        151, 1.24849986343897546E-013
        152, 9.36107235199730404E-014
        153, 8.00698227433921242E-014
        154, 9.22674543646877571E-014
        155, 9.35705495849373396E-014
        156, 8.30621650961911206E-014
        157, 9.69857103754318685E-014
        158, 9.44623009562445910E-014
        159, 9.55001100150305794E-014
        160, 8.97911204272636532E-014
        161, 8.58188215394520649E-014
        162, 1.28585079359074584E-013
        163, 9.73272273785592411E-014
        164, 1.02793451371797579E-013
        165, 1.04077449956535167E-013
        166, 7.77623067552232983E-014
        167, 1.05114904647968322E-013
        168, 1.14375420898203494E-013
        169, 9.10407691435236900E-014
        170, 9.52444385052775038E-014
        171, 9.92446396625347452E-014
        172, 1.17902267477513040E-013
        173, 9.55842048472125885E-014
        174, 9.89998030855230725E-014
        175, 1.34889916604605499E-013
        176, 9.09907113146207294E-014
        177, 8.75256077352240396E-014
        178, 1.08769719300338122E-013
        179, 1.12335272319461577E-013
        180, 1.07541389563373811E-013
        181, 1.06296642193961141E-013
        182, 9.18698872228986872E-014
        183, 1.19619679710566385E-013
