         0, 2147483647,  1012, 5.25437631102797436E+304
         1,     130816,  1012, 3.11493134052593657E-001
         2,     130816,  1012, 6.37455213393013809E-001
         3,     130816,  1012, 4.42717225421065397E-001
         4,     130816,  1012, 1.12667366185829093E-001
         5,     130816,  1012, 4.48078211348635069E-002
         6,     130816,  1012, 1.04909957505380982E-002
         7,     130816,  1012, 3.58795924195269165E-004
         8,     130435,  1012, 8.67770449001266349E-007
         9,      46799,  1012, 1.24634221588365971E-011
        10,      10973,  1012, 1.28297049543223122E-015
        11,        259,  1012, 1.25451830107642618E-015
        12,          2,  1012, 0.00000000000000000E+000
        13,          0,  1012, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 5.41950732547466840E-014
          2, 5.59636379095459052E-014
          3, 6.06757421398168452E-014
          4, 5.71894455045533013E-014
          5, 6.76273639264822335E-014
          6, 6.04548286257708667E-014
          7, 6.33924767583016369E-014
          8, 5.96799121650325992E-014
          9, 6.91982465450510208E-014
         10, 6.53962685863445659E-014
         11, 6.33623240298928101E-014
         12, 8.09429296126159776E-014
         13, 6.82736972109818770E-014
         14, 5.83631295972564505E-014
         15, 5.43421327190107239E-014
         16, 6.01537799521050507E-014
         17, 5.92064198045675948E-014
         18, 6.96419351829292763E-014
         19, 5.32624181100773716E-014
         20, 6.36335250171242696E-014
         21, 6.78970662597084758E-014
         22, 6.99505043295013991E-014
         23, 5.34566626938272248E-014
         24, 6.00071095167973046E-014
         25, 5.49481051053560680E-014
         26, 5.90821002953159487E-014
         27, 5.77177120092108797E-014
         28, 5.14217943102136651E-014
         29, 7.73927105148705329E-014
         30, 5.93088171207610679E-014
         31, 6.25619351548326447E-014
         32, 5.74015080688914313E-014
         33, 7.03112723607467518E-014
         34, 7.07228615791068893E-014
         35, 6.73437563065330579E-014
         36, 8.06212170768607658E-014
         37, 6.86198574309283418E-014
         38, 6.68904141723639943E-014
         39, 7.07398883121777228E-014
         40, 7.40223356901861306E-014
         41, 7.55773807596570188E-014
         42, 7.11218488628637820E-014
         43, 7.14456897178772834E-014
         44, 6.63307748461968992E-014
