         0, 2147483647,  1015, 3.53018733546059663E+305
         1,       2062,  1015, 5.26532529890500589E-001
         2,       2054,  1015, 2.71346749848031199E-001
         3,       2028,  1015, 4.41552769400638395E-002
         4,       2017,  1015, 1.78913878486793845E-003
         5,       2016,  1015, 2.31626437142058603E-005
         6,       1878,  1015, 2.03199851768759290E-008
         7,        504,  1015, 3.70378414277030056E-014
         8,         21,  1015, 0.00000000000000000E+000
         9,          0,  1015, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 4.56636957144789125E-015
          2, 4.11183492720612555E-015
          3, 6.95571116431451869E-015
          4, 4.61247025901096617E-015
          5, 2.58424094894248718E-015
          6, 4.98877554273211699E-015
          7, 2.88762685022140143E-015
          8, 3.49902931551029056E-015
          9, 5.24710306930328736E-015
         10, 5.21068435393408454E-015
         11, 4.62548692006141983E-015
         12, 4.72767797660903082E-015
         13, 5.10476525388026597E-015
         14, 6.19296242026850292E-015
         15, 4.92121816340010830E-015
         16, 6.03800122002717594E-015
         17, 4.90043227617777349E-015
         18, 5.92659794413195884E-015
         19, 8.00566386319403322E-015
         20, 7.22620358817976016E-015
         21, 5.25268799942278587E-015
         22, 9.16220521339971076E-015
         23, 8.35298723851399015E-015
         24, 7.74697941936421087E-015
         25, 8.99972522251144606E-015
         26, 1.14818711885900211E-014
         27, 6.67637774789601433E-015
         28, 6.73741753403465926E-015
         29, 6.95912760746526880E-015
         30, 6.11184189409365166E-015
         31, 7.64213940703244813E-015
         32, 1.06825903814262611E-014
         33, 2.90981883516203423E-015
         34, 6.77503001514745937E-015
         35, 4.08177250185683066E-015
         36, 4.39429944915804534E-015
         37, 3.30477306240139406E-015
         38, 4.23340507690989417E-015
         39, 4.03575405128706386E-015
         40, 4.13551441751818208E-015
         41, 3.30565734032843656E-015
         42, 5.08004325681535335E-015
         43, 6.33573617972778755E-015
         44, 5.63315540112852652E-015
         45, 6.04962822256420734E-015
         46, 5.16026753609039133E-015
         47, 5.02136509814111858E-015
         48, 5.23328177999408846E-015
         49, 5.52876574294432323E-015
         50, 4.51744010090951036E-015
         51, 5.84748353305083777E-015
         52, 8.05852213328856888E-015
         53, 7.68573280340266932E-015
         54, 7.87105238176442659E-015
         55, 1.02336616925661215E-014
         56, 7.01890616413784780E-015
         57, 8.59428080280975249E-015
         58, 8.45892194588824658E-015
         59, 4.95160395607670473E-015
         60, 1.25236854115902511E-014
         61, 7.56463497144920681E-015
         62, 7.55842111215410782E-015
         63, 1.14546727674985985E-014
         64, 8.95609663654751824E-015
        -60, 1.25236854115902511E-014
          0, 3.62589980652413453E-015
