         0, 2147483647,  1015, 3.53018733546059663E+305
         1,       2016,  1015, 5.07819650964778546E-001
         2,       2016,  1015, 4.36417562176694640E-001
         3,       2016,  1015, 5.53193497611061957E-002
         4,       2016,  1015, 4.45105406835241864E-003
         5,       2016,  1015, 5.51213990717907664E-005
         6,       2006,  1015, 4.82989536469682876E-008
         7,       1286,  1015, 4.60273258334807839E-013
         8,        102,  1015, 4.77222159478346989E-016
         9,          0,  1015, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 4.26099075929146377E-015
          2, 4.55552885176791489E-015
          3, 5.21979842870940662E-015
          4, 6.01908281115290943E-015
          5, 3.48627134396589121E-015
          6, 8.16856382163582265E-015
          7, 4.47811315786090814E-015
          8, 4.32717365320467150E-015
          9, 6.09292710942680964E-015
         10, 5.75427468072716041E-015
         11, 5.90813786786181084E-015
         12, 6.55007282069845650E-015
         13, 5.91621343920753491E-015
         14, 1.14883184260587483E-014
         15, 4.72022726193295168E-015
         16, 5.40690160772818636E-015
         17, 4.85494243501492083E-015
         18, 4.18008995405850206E-015
         19, 8.88475137370544100E-015
         20, 7.92806414549874127E-015
         21, 6.80579688117426367E-015
         22, 1.10180612790797010E-014
         23, 8.53580134560072718E-015
         24, 7.05499348377756936E-015
         25, 8.19887082189446415E-015
         26, 8.05122710691607550E-015
         27, 7.29877003624731143E-015
         28, 6.44159407228367568E-015
         29, 9.68047963842548091E-015
         30, 1.28664146152974202E-014
         31, 7.43135027843730392E-015
         32, 1.30841709971078146E-014
         33, 5.83691927343687559E-015
         34, 4.95096895820097929E-015
         35, 5.26887126860418846E-015
         36, 5.00796715398110304E-015
         37, 7.93809622823647703E-015
         38, 5.70250871097514556E-015
         39, 3.41836881076344083E-015
         40, 3.45236398244072778E-015
         41, 5.92007255248226632E-015
         42, 6.15628272729810981E-015
         43, 5.04611811992398022E-015
         44, 4.52825872566836337E-015
         45, 6.68738693585440474E-015
         46, 5.27336317428637156E-015
         47, 5.86674836759247267E-015
         48, 4.29438641455863056E-015
         49, 3.59584770410405188E-015
         50, 6.70438495528164483E-015
         51, 6.82914270660484509E-015
         52, 5.82865664165147019E-015
         53, 7.36810310689035941E-015
         54, 7.64166458917191966E-015
         55, 6.72166221930219420E-015
         56, 5.94934540944055046E-015
         57, 7.53165880093899220E-015
         58, 6.98921002122989156E-015
         59, 6.93919369348818119E-015
         60, 1.02832507353893729E-014
         61, 8.31440404558768366E-015
         62, 9.66691010993477453E-015
         63, 8.19534943162909741E-015
         64, 1.19199822097255613E-014
        -32, 1.30841709971078146E-014
          0, 3.82423895605847008E-015
