         0, 2147483647,  1015, 3.53018733546059663E+305
         1,       2062,  1015, 5.26532529890501255E-001
         2,       2054,  1015, 2.71346749848024482E-001
         3,       2028,  1015, 4.41552769400675657E-002
         4,       2017,  1015, 1.78913878486826740E-003
         5,       2016,  1015, 2.31626437142220183E-005
         6,       1875,  1015, 2.03199851568089078E-008
         7,        503,  1015, 3.70397718317733696E-014
         8,         20,  1015, 4.11766931293801298E-016
         9,          0,  1015, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 4.86360963655648117E-015
          2, 5.45060789525533457E-015
          3, 5.57706150636623577E-015
          4, 4.73348492133629296E-015
          5, 3.54746683177989918E-015
          6, 3.51696265885460096E-015
          7, 3.42217383314327806E-015
          8, 4.50073039408703944E-015
          9, 7.46424207787133497E-015
         10, 4.53591619636424782E-015
         11, 4.64314444035702497E-015
         12, 3.69643111999139648E-015
         13, 5.48547877038755511E-015
         14, 6.27156727856027201E-015
         15, 5.42617361389960108E-015
         16, 6.68338284904623445E-015
         17, 6.54668471758604308E-015
         18, 5.26651596469508255E-015
         19, 6.57657180041758427E-015
         20, 7.15967658054312387E-015
         21, 7.07529036709605211E-015
         22, 7.46889275247844089E-015
         23, 8.34877084874214632E-015
         24, 5.41085094715440416E-015
         25, 1.06201304244310759E-014
         26, 1.11291101614125847E-014
         27, 9.36189783373737973E-015
         28, 6.71500715386103311E-015
         29, 6.21986359445461569E-015
         30, 9.14174190073835307E-015
         31, 9.04033419728168782E-015
         32, 1.41347390645638262E-014
         33, 4.05458004059660101E-015
         34, 5.12069281092396228E-015
         35, 2.99307142723569026E-015
         36, 3.63197488982932248E-015
         37, 4.47678354834266506E-015
         38, 3.82020509734581822E-015
         39, 3.04740939684732613E-015
         40, 4.21804440428991258E-015
         41, 5.44791396273310710E-015
         42, 8.39637650868879959E-015
         43, 4.58928947815665942E-015
         44, 5.12592748154090854E-015
         45, 6.57177972892282751E-015
         46, 5.90055333636565726E-015
         47, 4.78379768674638084E-015
         48, 2.58792428089963282E-015
         49, 5.05619837091552189E-015
         50, 5.85897089833629754E-015
         51, 5.73493047197636025E-015
         52, 6.31778417128397439E-015
         53, 5.17954322727196039E-015
         54, 6.96810974085752216E-015
         55, 9.02433942970862035E-015
         56, 7.60068271430396572E-015
         57, 8.29181042935115801E-015
         58, 9.73910448436417418E-015
         59, 5.78172944804365915E-015
         60, 9.02933631624695478E-015
         61, 1.12940115271316138E-014
         62, 6.76059088976598787E-015
         63, 1.29852789091067093E-014
         64, 1.32999820694622675E-014
        -32, 1.41347390645638262E-014
          0, 3.50843575450454668E-015
